INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : NANA-LIMA
CODIGO  : NNAA
LATITUD : -11.990
LONGITUD: -76.844

2. SISMO
FECHA LOCAL     : 2021/01/20
HORA LOCAL      : 17:27:44
LATITUD         : -15.03
LONGITUD        : -75.6
PROFUNDIDAD     : 36 km
MAGNITUD        : M5.6
DIST. EPICENTRAL: 364.2 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/01/20 22:28:17  UTC
NUMERO DE MUESTRAS         : 18001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   0.1916     0.3213        0.3260

              Z              N              E
       0.000069      -0.001742       0.001679
       0.000973      -0.000292      -0.001497
       0.000682       0.001127       0.002354
       0.000122      -0.000481       0.002029
       0.000894      -0.000211      -0.000863
      -0.000911      -0.000245       0.002105
      -0.001179      -0.000219       0.001408
      -0.000456       0.000049       0.002049
      -0.000321       0.001313      -0.000650
       0.000769       0.001335       0.000572
      -0.000321      -0.001779       0.000729
      -0.000336      -0.001299       0.000363
       0.000373      -0.000099       0.002225
      -0.000486      -0.001663      -0.000042
      -0.000294      -0.000182       0.001657
      -0.000783      -0.000814       0.000033
      -0.000236      -0.000858       0.000051
      -0.000183      -0.000060       0.000536
      -0.000099      -0.000935      -0.000247
       0.001080      -0.000212       0.000325
       0.000214       0.000321      -0.000477
      -0.000256       0.001190       0.001923
       0.000446      -0.000251       0.000738
       0.000505       0.001129      -0.000204
      -0.000549       0.001310       0.001357
      -0.000955      -0.000939       0.000674
       0.000442      -0.000498       0.002772
      -0.000081      -0.001482       0.003382
      -0.001099      -0.000889      -0.000675
      -0.000978      -0.000541      -0.000952
       0.000488      -0.000881       0.000118
       0.001504       0.001048      -0.001140
       0.000221       0.000632      -0.001429
       0.000126      -0.000692       0.001767
       0.000095      -0.000512       0.002199
      -0.000776      -0.001186       0.000229
      -0.000309       0.000073       0.001896
      -0.000563      -0.000331       0.000245
      -0.000814      -0.000312      -0.000712
