INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : EL AGUSTINO-LIMA
CODIGO  : HJUN
LATITUD : -12.051
LONGITUD: -76.999

2. SISMO
FECHA LOCAL     : 2021/01/20
HORA LOCAL      : 18:09:16
LATITUD         : -15.28
LONGITUD        : -75.9
PROFUNDIDAD     : 43 km
MAGNITUD        : M5.5
DIST. EPICENTRAL: 378.6 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/01/20 23:09:54  UTC
NUMERO DE MUESTRAS         : 16001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   0.2725     0.4351        0.3828

              Z              N              E
      -0.009651       0.018219      -0.039421
      -0.000658      -0.028531       0.023288
      -0.002885       0.044026      -0.011908
       0.030945      -0.067534       0.007535
      -0.012221       0.022992       0.015176
      -0.029555       0.045729      -0.005439
       0.003935      -0.073797      -0.003871
       0.012688       0.048627      -0.006008
       0.007504      -0.034136       0.002528
      -0.009705      -0.019882      -0.010287
       0.011127       0.011722       0.005968
      -0.010134       0.003048      -0.038296
      -0.008783       0.021642       0.013597
       0.010863      -0.033755       0.026343
       0.009456       0.004390       0.004144
      -0.011509      -0.006520      -0.014476
      -0.020904       0.021554      -0.015359
       0.019096      -0.026865       0.029264
       0.016926       0.004432      -0.042287
       0.005113       0.006398      -0.007140
      -0.012015       0.001070       0.022323
      -0.008892       0.024431       0.015746
      -0.012096      -0.025551       0.001043
      -0.004976      -0.016737      -0.009454
       0.008721      -0.009141       0.014244
      -0.004067       0.024215      -0.035534
       0.025183      -0.022512       0.013549
      -0.030049       0.024682       0.010156
       0.004969      -0.037333      -0.017205
       0.052700      -0.008161       0.003789
      -0.026639       0.035094      -0.018980
      -0.023252      -0.035424       0.015928
      -0.029344       0.021220       0.004765
       0.015959      -0.046809       0.002566
       0.020525       0.037320      -0.001553
       0.010728       0.040207      -0.019030
       0.023385      -0.033987      -0.003713
      -0.028673      -0.036747       0.007022
       0.004798      -0.014086       0.029315
      -0.022042       0.059678      -0.047124
      -0.017878      -0.023262       0.005943
       0.025678      -0.012112       0.030394
       0.014208       0.003309      -0.028103
       0.016742      -0.033978       0.030712
      -0.017420       0.036500      -0.030383
      -0.012685       0.031064       0.005976
      -0.007856      -0.053106       0.007447
       0.003003       0.001437      -0.022942
       0.004520       0.029636       0.020365
       0.003302      -0.052614      -0.006660
       0.017728       0.016066      -0.000024
      -0.011454       0.014764      -0.015067
      -0.004436       0.008337       0.025691
      -0.009299      -0.000607      -0.010807
      -0.009924      -0.065539      -0.001135
       0.002140       0.023125       0.004599
       0.010800       0.012173      -0.030641
       0.018695       0.017514       0.022674
       0.004752       0.006385      -0.016450
       0.004895      -0.019274       0.003707
      -0.018808      -0.007965       0.001241
      -0.020113      -0.026543      -0.000866
      -0.007835       0.022154      -0.009796
       0.015181      -0.009340      -0.003932
       0.020607       0.005980       0.007675
      -0.009283       0.032703       0.018325
       0.001462      -0.034974       0.000409
       0.000922      -0.044961      -0.047202
      -0.005392       0.032645       0.042559
      -0.007150       0.021115      -0.020667
      -0.011317      -0.024077      -0.001038
       0.010758      -0.000690       0.021340
       0.016175       0.013154      -0.011536
      -0.004711      -0.015891       0.006618
       0.014272      -0.020051      -0.038195
      -0.012573       0.049189       0.030358
      -0.039961      -0.038104      -0.023052
       0.029382      -0.028013       0.000725
       0.019117       0.053541       0.019671
      -0.028184      -0.026511      -0.022766
       0.010000      -0.019521       0.023340
       0.026643       0.015425      -0.016858
      -0.030104       0.010448       0.006274
      -0.017106      -0.002949      -0.000632
       0.021067       0.015437      -0.008448
      -0.003087      -0.013681      -0.005603
       0.005319      -0.018913       0.004619
       0.005093       0.004365      -0.004817
      -0.004058      -0.024527      -0.009083
      -0.003459       0.024876       0.032101
      -0.009639      -0.015971      -0.031705
       0.004636      -0.021692       0.002343
       0.006756       0.038343       0.028183
      -0.001404      -0.036589      -0.024450
       0.011024      -0.015624      -0.008920
      -0.009713       0.059086      -0.000758
      -0.024310      -0.002637      -0.005695
       0.020611      -0.039416       0.021124
       0.008694       0.007457       0.014979
      -0.014535       0.000673      -0.029611
       0.011253      -0.002142      -0.005403
       0.006842       0.008454      -0.002486
      -0.005578      -0.022336       0.000253
      -0.009928       0.036176       0.026009
      -0.001372       0.001781      -0.032393
       0.002116      -0.053285       0.018316
       0.005640       0.011256       0.031580
       0.006589      -0.001253      -0.078024
      -0.007754       0.035855       0.016942
       0.007248      -0.033145       0.027287
      -0.021164      -0.052965      -0.031679
      -0.004000       0.030397       0.035585
       0.004294       0.038484       0.002484
      -0.000466      -0.017692      -0.047708
       0.046456      -0.034766       0.030150
      -0.044108       0.081087      -0.004565
      -0.011799      -0.060418      -0.028720
       0.031347      -0.034216       0.066629
      -0.037605       0.029246      -0.043835
       0.021309      -0.009792      -0.006426
       0.030185       0.054237       0.020355
      -0.019859      -0.041232      -0.053596
      -0.018427       0.005459       0.051200
       0.006541      -0.008724      -0.002815
      -0.000605      -0.031556      -0.027470
       0.012745       0.035958       0.039151
      -0.003429       0.018520      -0.042386
      -0.013292      -0.036065      -0.031356
       0.021687      -0.032300       0.057244
      -0.022669       0.017579      -0.006463
       0.001326      -0.022935      -0.013417
       0.016998       0.039932       0.017983
      -0.021675       0.007982      -0.036285
       0.009075      -0.051657       0.005618
       0.012959       0.032851       0.021381
      -0.003995       0.007179      -0.033868
      -0.001638      -0.017073       0.035074
      -0.012276      -0.021336       0.001372
      -0.009969       0.000694      -0.016391
       0.024118       0.037377       0.027389
       0.004919       0.001892      -0.047825
      -0.015809      -0.034084       0.006948
      -0.000097       0.010525       0.022297
      -0.010011       0.013902      -0.033245
       0.010224      -0.042894       0.000922
      -0.004294       0.033163       0.012230
       0.005259      -0.020134      -0.019632
       0.017674       0.004531       0.031890
      -0.022864       0.006874       0.000545
       0.012060      -0.063253      -0.034565
      -0.001240       0.062314       0.042070
      -0.025292      -0.017827      -0.031463
       0.003585      -0.002067      -0.020220
       0.044002      -0.010231       0.029352
      -0.000511      -0.022658      -0.007833
      -0.048510       0.035858       0.012592
       0.016464      -0.034960      -0.002493
      -0.001913       0.008662      -0.035745
      -0.001057       0.031187       0.016381
      -0.001965       0.022608       0.013039
       0.002914      -0.057887      -0.015693
       0.037306       0.003770       0.026593
      -0.025742       0.040055      -0.037428
      -0.033110      -0.047247      -0.021568
       0.030930       0.004422       0.044932
       0.003814       0.013749      -0.008157
      -0.017651      -0.012474       0.000693
       0.024531      -0.002909      -0.003379
      -0.014360      -0.002588      -0.021277
      -0.000472      -0.029584       0.027421
      -0.007329       0.018863      -0.015650
      -0.003652      -0.005907      -0.014978
       0.021501       0.030052       0.031304
      -0.015550      -0.007819      -0.039612
       0.000653      -0.042893       0.024268
       0.003281       0.012747       0.010714
       0.011199      -0.032816      -0.025628
      -0.028113       0.059258       0.036756
       0.013491      -0.045073      -0.037315
       0.012445       0.016693      -0.002908
      -0.010218       0.039841       0.008682
       0.006077      -0.045866      -0.025152
      -0.035989       0.029457       0.020587
       0.028179      -0.041210       0.033474
      -0.004489       0.029342      -0.039705
       0.002551      -0.000114      -0.001812
       0.018459      -0.025958       0.020223
      -0.020572      -0.005445      -0.042964
       0.007916      -0.005196       0.043441
      -0.006917       0.021881      -0.029432
      -0.007219      -0.009345      -0.017798
       0.008717      -0.029129       0.058857
       0.002239       0.005387      -0.044210
      -0.008597       0.021292      -0.009693
       0.006475      -0.036637       0.029252
      -0.014941       0.015880      -0.030912
       0.016024       0.001393       0.011799
       0.020067       0.001810       0.017528
      -0.034034      -0.001074      -0.029187
      -0.005867      -0.000015       0.014868
       0.018462       0.017675      -0.022136
       0.015633      -0.044005      -0.007601
      -0.011941       0.021042       0.036597
      -0.009316       0.011762      -0.011810
       0.001848      -0.027605       0.016597
       0.005345       0.008782      -0.007883
      -0.011690       0.026383      -0.028347
       0.018400      -0.061790       0.026393
       0.010311       0.017312      -0.015013
      -0.056930       0.045688      -0.012889
       0.040741      -0.086216       0.024411
       0.030766       0.062525      -0.024948
      -0.032276      -0.024325      -0.002641
      -0.005938      -0.017622       0.017555
      -0.019723       0.044477      -0.041370
       0.007279      -0.066409       0.013363
       0.009156       0.034235       0.015962
       0.005898       0.001311      -0.009806
       0.020529      -0.017236       0.028765
      -0.016875       0.028421      -0.040253
      -0.014009      -0.029961       0.016099
       0.019303      -0.009109       0.008742
      -0.020589       0.056469      -0.040632
       0.006579      -0.029652       0.054584
       0.026946      -0.031079      -0.025770
      -0.018855       0.033236      -0.006995
       0.003221      -0.017629       0.025197
      -0.015985      -0.006849      -0.042207
       0.012915      -0.018078       0.024729
      -0.004343       0.001591       0.009295
      -0.039761       0.014997      -0.036162
       0.046567      -0.033436       0.020725
       0.002503       0.023243      -0.017212
      -0.008509      -0.007127       0.008183
       0.002650      -0.010122       0.032310
      -0.015762       0.013175      -0.059211
