INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : HUANCANO-ICA
CODIGO  : PRS2
LATITUD : -13.642
LONGITUD: -75.545

2. SISMO
FECHA LOCAL     : 2021/01/20
HORA LOCAL      : 18:09:16
LATITUD         : -15.28
LONGITUD        : -75.9
PROFUNDIDAD     : 43 km
MAGNITUD        : M5.5
DIST. EPICENTRAL: 186.4 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/01/20 23:09:24  UTC
NUMERO DE MUESTRAS         : 12001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   3.2875     5.2297        5.6601

              Z              N              E
      -0.205749      -0.294286      -0.073854
       0.179075       0.103025       0.042694
       0.074326       0.339129       0.015930
      -0.091178      -0.024920      -0.100165
       0.011634      -0.419764      -0.001030
      -0.179232      -0.204129       0.085083
       0.194089       0.197875       0.030774
       0.167380       0.398412       0.019742
      -0.168338      -0.076942       0.021166
      -0.140698      -0.515469      -0.161345
       0.083503      -0.190955       0.046885
       0.203121       0.421155       0.143566
      -0.030818       0.326427       0.002075
      -0.055135      -0.346589      -0.132152
      -0.119950      -0.558586      -0.056580
       0.014918       0.062969       0.086879
       0.185227       0.535497       0.055867
       0.080447       0.047735      -0.009409
      -0.173926      -0.399988      -0.000590
      -0.204899      -0.379939      -0.081999
       0.258504       0.207218      -0.078661
       0.181155       0.500366       0.269599
      -0.219621      -0.074440       0.054367
      -0.121474      -0.458072      -0.225059
       0.064777      -0.336538      -0.003065
       0.062331       0.381751      -0.003307
       0.103869       0.477365       0.175537
      -0.037472      -0.278348       0.049604
      -0.217045      -0.578652      -0.243137
       0.031704      -0.078842       0.041805
       0.252822       0.585547      -0.005347
       0.123410       0.231721       0.099397
      -0.210932      -0.432304       0.113887
      -0.207677      -0.510966      -0.169201
       0.217155       0.138945       0.008977
       0.191284       0.571971       0.099392
      -0.095834       0.057845      -0.048949
      -0.151834      -0.483294       0.032944
      -0.089322      -0.462105       0.039362
       0.147040       0.291211      -0.143417
       0.179084       0.478353       0.061685
      -0.110036      -0.083763       0.055255
      -0.119984      -0.444532       0.036952
      -0.009315      -0.267023       0.015757
       0.117343       0.297296      -0.148697
       0.165764       0.341576       0.019016
      -0.231814      -0.146008       0.126413
      -0.088703      -0.511134      -0.071108
       0.090775      -0.093650       0.002705
       0.074265       0.461913       0.069235
       0.133008       0.229172      -0.131814
      -0.185302      -0.406683       0.079356
      -0.057224      -0.456164      -0.080913
       0.031603       0.121931       0.072604
       0.170735       0.507047       0.113273
       0.074381       0.079370      -0.171321
      -0.234977      -0.585111      -0.052349
      -0.017294      -0.247037       0.011900
       0.057567       0.296892       0.250707
       0.202794       0.366581      -0.100569
       0.005129      -0.190489      -0.117745
      -0.355861      -0.455768       0.033302
      -0.006469       0.057072       0.017585
       0.376659       0.171209       0.133736
       0.081068       0.176012      -0.079552
      -0.279391      -0.137560       0.022201
      -0.172457      -0.294308      -0.003509
       0.229881      -0.016992       0.001392
       0.145809       0.124368       0.103543
      -0.155491       0.179908      -0.020681
       0.022153      -0.129815      -0.055966
      -0.075401      -0.281973       0.000394
