INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : MOQUEGUA-MOQUEGUA
CODIGO  : MOQA
LATITUD : -17.190
LONGITUD: -70.935

2. SISMO
FECHA LOCAL     : 2021/02/27
HORA LOCAL      : 21:16:00
LATITUD         : -17.73
LONGITUD        : -72.75
PROFUNDIDAD     : 25 km
MAGNITUD        : M5.9
DIST. EPICENTRAL: 201.9 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/02/28 02:16:14  UTC
NUMERO DE MUESTRAS         : 16001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   0.9436     2.8090        1.8769

              Z              N              E
      -0.000805      -0.000650      -0.000279
      -0.000109      -0.001475       0.000087
      -0.000377      -0.001290       0.000077
      -0.001056       0.000483      -0.001384
      -0.002941       0.002136      -0.001552
      -0.002310       0.000597       0.000022
       0.003190      -0.001265       0.000135
       0.002643      -0.000947       0.000190
      -0.001361       0.000996      -0.000302
      -0.001793       0.002049      -0.000375
      -0.000550       0.001256      -0.000298
      -0.000593       0.000362       0.000317
      -0.001854      -0.000715       0.000947
       0.001563       0.000171       0.000048
       0.001821       0.001178      -0.001040
      -0.002353       0.000330      -0.000849
      -0.000425       0.000899       0.001126
       0.001130       0.000147      -0.000521
       0.000507       0.000111      -0.000876
      -0.000188      -0.000266      -0.000053
      -0.000878       0.000039      -0.000782
      -0.001895       0.001065       0.000341
      -0.002419      -0.000226       0.000404
       0.000581      -0.000663       0.000605
       0.002554      -0.000183       0.000289
      -0.000809       0.001550      -0.000155
      -0.004097      -0.000290      -0.000426
      -0.000658      -0.002026      -0.000453
       0.001499      -0.000542      -0.000029
      -0.000381       0.000916      -0.000913
       0.000102       0.002491       0.000127
       0.001366       0.000934      -0.000001
       0.000854       0.000223      -0.000656
