INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : CHIMBOTE-CIP
CODIGO  : CBTA
LATITUD : -9.130
LONGITUD: -78.519

2. SISMO
FECHA LOCAL     : 2021/03/05
HORA LOCAL      : 19:09:45
LATITUD         : -9.24
LONGITUD        : -79.33
PROFUNDIDAD     : 17 km
MAGNITUD        : M5.1
DIST. EPICENTRAL: 90.0 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/03/06 00:09:48  UTC
NUMERO DE MUESTRAS         : 10001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   1.2168     1.8821        1.7536

              Z              N              E
      -0.021373       0.006214      -0.001362
       0.017525       0.000879      -0.002161
       0.026758      -0.004606       0.007162
      -0.011599       0.006469      -0.008621
      -0.011167       0.001827      -0.002118
      -0.001451      -0.002169       0.001948
       0.009372       0.005096      -0.003373
       0.010165       0.004063      -0.004178
      -0.012770       0.002648       0.000316
      -0.007838      -0.006227       0.016443
       0.011301      -0.000963       0.001008
       0.013726       0.009449      -0.014298
      -0.007211       0.000566      -0.007437
      -0.002970      -0.003189       0.005997
       0.004459      -0.000003       0.005908
      -0.010255       0.005183      -0.008874
       0.001626       0.001174       0.000666
      -0.001459      -0.001054       0.006965
      -0.001722       0.007612       0.002200
       0.006866       0.001568      -0.000849
       0.000191      -0.001122      -0.007649
      -0.000814       0.004406       0.001542
      -0.012073      -0.000398       0.001495
      -0.007362      -0.001934      -0.008269
       0.009708       0.002953       0.003778
       0.004110       0.006229       0.005836
      -0.006252      -0.004302      -0.003630
      -0.002335      -0.004552       0.002151
       0.009250       0.010302      -0.001951
      -0.002852       0.005232      -0.001172
      -0.014562      -0.000923       0.010286
       0.003046      -0.003269      -0.000978
       0.007649      -0.004208      -0.007833
       0.000079       0.002067      -0.000716
       0.000614       0.004718       0.009088
      -0.002645       0.001663       0.000234
      -0.008761      -0.002082      -0.009998
       0.001906       0.003660       0.002684
       0.006400       0.003256       0.003393
      -0.006378       0.000533       0.001079
       0.000803       0.003818       0.002089
       0.001003       0.000175       0.003770
       0.001842      -0.003458       0.002215
       0.013473      -0.002608      -0.005877
      -0.006479       0.004968      -0.004259
      -0.010457       0.006939       0.001601
       0.004703       0.000133      -0.003168
       0.004870      -0.005104      -0.001214
       0.006484      -0.001196       0.007204
       0.000578       0.004496      -0.001778
      -0.002047      -0.001666      -0.004285
       0.004912       0.001380      -0.000407
       0.004518       0.002167       0.001963
      -0.008976      -0.005441      -0.003834
      -0.007402       0.002778      -0.004775
       0.011805       0.002738       0.009732
       0.002142      -0.003983       0.003045
      -0.007272       0.004711       0.001915
       0.006635      -0.000470      -0.000255
       0.003298      -0.005643      -0.002370
      -0.009137       0.005643       0.006456
       0.001667      -0.003818      -0.005030
       0.009034      -0.003645      -0.002401
      -0.009474       0.007226       0.005867
      -0.003393       0.000519      -0.004275
       0.007681       0.002814      -0.004564
       0.001086       0.000324       0.002361
       0.002989      -0.003717       0.003304
      -0.001532       0.003002       0.006187
      -0.003557       0.002414       0.001100
      -0.006751      -0.001606      -0.004723
       0.000912      -0.001394      -0.000593
       0.008366       0.002984      -0.000036
       0.002957       0.005566      -0.002930
       0.001606       0.001185       0.002009
      -0.002447      -0.004065       0.005865
       0.000840      -0.002227      -0.002871
      -0.007149       0.004965      -0.004121
      -0.002322       0.006064       0.002682
       0.005349      -0.001245       0.003415
