INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : CIENEGUILLA-LIMA
CODIGO  : CIJS
LATITUD : -12.118
LONGITUD: -76.813

2. SISMO
FECHA LOCAL     : 2021/03/09
HORA LOCAL      : 14:16:30
LATITUD         : -8.87
LONGITUD        : -75.94
PROFUNDIDAD     : 132 km
MAGNITUD        : M5.4
DIST. EPICENTRAL: 374.0 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/03/09 19:17:06  UTC
NUMERO DE MUESTRAS         : 11001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   1.2583     2.0643        1.4840

              Z              N              E
       0.006129      -0.000945       0.041476
       0.011640      -0.010652      -0.029626
      -0.021418       0.010757       0.025193
      -0.020251      -0.010249      -0.011360
       0.020747      -0.010037      -0.007091
      -0.004770       0.006281      -0.008281
       0.000338      -0.006521      -0.027858
       0.019017       0.013451       0.013958
      -0.024948      -0.005780       0.001091
       0.012350      -0.005456       0.027838
      -0.028923       0.012990      -0.013936
      -0.005889      -0.023491      -0.017660
       0.012269      -0.000071      -0.003461
       0.000950      -0.003664       0.001104
       0.008941      -0.005817       0.012863
      -0.012381       0.026583      -0.002262
      -0.001449      -0.007091      -0.001188
      -0.026213      -0.018087      -0.021000
       0.030408      -0.002919      -0.003024
       0.001538       0.014989      -0.005687
      -0.026792      -0.015380       0.007641
       0.012419      -0.008393       0.009811
      -0.018728       0.011448      -0.001298
       0.004813      -0.014853       0.016182
      -0.002794       0.000043      -0.029739
       0.002273       0.006891       0.008182
       0.005286       0.014149       0.001356
      -0.014739      -0.007150      -0.017760
       0.004158      -0.011704       0.003253
       0.001024      -0.000719      -0.008476
       0.008919      -0.004159       0.007278
      -0.016454       0.000267      -0.018948
      -0.017764      -0.009699       0.026300
       0.005750      -0.000294      -0.002852
      -0.004364       0.003671      -0.003024
       0.007679       0.004783       0.001232
      -0.000797       0.001776      -0.025719
      -0.011086      -0.012877       0.011245
       0.006090      -0.006745       0.009884
       0.021309      -0.006321       0.006147
      -0.030799       0.008490      -0.048244
      -0.011461       0.012538       0.013119
       0.000450      -0.016068      -0.005261
      -0.006875       0.009643       0.038780
       0.024080      -0.007519       0.010388
      -0.023670      -0.024630      -0.048119
       0.023523       0.017536       0.034390
      -0.014637      -0.008567      -0.053475
      -0.024482       0.004844       0.013921
       0.011293       0.018117      -0.016953
       0.000996      -0.015618       0.025580
       0.022638      -0.001077       0.039819
      -0.028682      -0.021612      -0.045837
      -0.011712       0.002542       0.015712
      -0.007380       0.022227      -0.035165
       0.026799      -0.023237       0.012394
      -0.006577      -0.002509      -0.007233
      -0.017266       0.002541       0.002476
       0.011134       0.012552       0.026822
      -0.022812      -0.007482      -0.017959
       0.014437      -0.009453      -0.005588
      -0.009976       0.004570      -0.016427
       0.005323      -0.017007       0.004672
      -0.006663       0.014119       0.001587
      -0.001635      -0.017342       0.018344
       0.010472      -0.000659      -0.003987
      -0.022127       0.013855      -0.024211
      -0.006011      -0.011636       0.006777
       0.001645       0.010613      -0.002945
       0.017717      -0.002881      -0.001384
      -0.025009       0.002568      -0.008836
       0.002961      -0.001935       0.004824
       0.013819      -0.010796       0.001829
      -0.020635      -0.011027      -0.009845
       0.008270      -0.001424       0.005177
      -0.012935       0.007197      -0.006762
       0.010186       0.000762       0.016488
      -0.001143       0.007752      -0.007278
      -0.020545      -0.016127      -0.009134
       0.022517      -0.013512      -0.004166
      -0.022851       0.017310      -0.016167
      -0.009886       0.003891       0.028972
       0.017321      -0.010821      -0.010853
      -0.002463      -0.005695      -0.005451
       0.005773      -0.001469       0.002561
      -0.023070      -0.004895      -0.012049
       0.002080       0.003951      -0.003409
       0.008750      -0.002842      -0.006241
      -0.021701      -0.004454       0.020924
       0.000047       0.008859      -0.003584
       0.016984       0.003140      -0.010936
      -0.001795       0.010691       0.006192
      -0.001374      -0.014178      -0.004776
      -0.009078      -0.016859      -0.016078
      -0.025581      -0.014457       0.002931
       0.004814      -0.004479       0.007769
       0.004195       0.026424      -0.004722
