INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : LA PERLA-LIMA
CODIGO  : PERL
LATITUD : -12.066
LONGITUD: -77.108

2. SISMO
FECHA LOCAL     : 2021/03/09
HORA LOCAL      : 14:16:30
LATITUD         : -8.87
LONGITUD        : -75.94
PROFUNDIDAD     : 132 km
MAGNITUD        : M5.4
DIST. EPICENTRAL: 378.0 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/03/09 19:17:10  UTC
NUMERO DE MUESTRAS         : 11001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   0.3736     0.3012        0.3106

              Z              N              E
       0.014103      -0.031692       0.037839
       0.026657       0.002930      -0.004587
      -0.018660       0.010085      -0.027585
       0.004509      -0.009119       0.017661
      -0.007404       0.025698      -0.000029
      -0.003336      -0.022515       0.017395
      -0.011451      -0.017291      -0.037909
       0.003946      -0.018688       0.004135
      -0.002598      -0.001322       0.031625
      -0.016386       0.018548      -0.025673
       0.016655       0.033803      -0.001630
      -0.018961      -0.019744      -0.005555
      -0.000191      -0.040456       0.004827
      -0.015992       0.025018       0.026698
       0.002803      -0.035357       0.006717
       0.043912       0.015015      -0.027507
      -0.004937       0.023161      -0.027512
      -0.024979      -0.030240       0.044392
      -0.027032       0.030336      -0.003297
       0.026348      -0.035401      -0.047437
       0.024019      -0.014443       0.046755
      -0.023439       0.037637      -0.009660
      -0.006799      -0.015722       0.015867
       0.014623      -0.024373       0.012896
       0.005095       0.011483      -0.049719
       0.001920       0.016018       0.042527
      -0.005783       0.009888      -0.011458
      -0.015847      -0.040039       0.017268
       0.010670       0.000857      -0.003983
       0.007094       0.066554      -0.056523
      -0.003632      -0.067127       0.041600
       0.003828       0.010319      -0.022656
      -0.027189       0.003503       0.003226
      -0.004274      -0.019682       0.025412
       0.021996       0.021820      -0.028200
       0.003611      -0.005993       0.015565
      -0.010674       0.032176      -0.001397
      -0.020917      -0.072505      -0.015620
       0.019906       0.033879       0.009891
       0.012949      -0.011130       0.021814
       0.001942      -0.009210      -0.045683
      -0.026837       0.025871      -0.000017
      -0.000829      -0.028892       0.060415
       0.026321       0.036328      -0.029011
      -0.021822      -0.081719      -0.003605
       0.000751       0.072136      -0.022757
      -0.022297       0.015368       0.028318
       0.030530      -0.049029       0.037546
       0.007209      -0.005276      -0.070100
      -0.031744      -0.062793       0.033484
       0.020479       0.071963       0.017666
      -0.031175       0.003615      -0.006190
       0.014867      -0.042946       0.028932
       0.007790       0.028940      -0.047108
      -0.031443       0.037179       0.009549
       0.015398      -0.084616       0.034851
       0.034465      -0.000937      -0.030062
      -0.004598       0.072375       0.022125
      -0.031506      -0.052857      -0.003657
       0.029573      -0.025486      -0.048321
      -0.013362       0.020986       0.025747
      -0.019101       0.008439       0.008685
       0.009626       0.006113      -0.025825
      -0.021470       0.025764       0.021365
       0.041342      -0.085699       0.021788
       0.016657       0.031598      -0.046581
      -0.018486       0.046334       0.003439
      -0.018759      -0.045862       0.041158
      -0.033023       0.034021      -0.050076
       0.047122      -0.062918       0.034648
       0.016180       0.061102       0.021344
      -0.045443       0.039296      -0.068191
       0.002678      -0.084861       0.070897
       0.029933      -0.016106      -0.010823
      -0.007904       0.001721      -0.039007
      -0.007295       0.035322       0.029427
       0.015886      -0.030003      -0.000368
      -0.027668      -0.001285       0.012020
      -0.015952       0.032380      -0.051463
      -0.014085      -0.017424       0.033832
       0.029459      -0.045652       0.035094
       0.028303      -0.007297      -0.020681
      -0.033374       0.035778      -0.025467
      -0.005357      -0.017753       0.008867
       0.009273       0.000150       0.004724
       0.012690       0.021953      -0.018550
      -0.020902       0.000347       0.053195
       0.008570      -0.045366      -0.030147
       0.007066       0.032429       0.004110
      -0.009304       0.015838       0.007617
       0.000277      -0.027691      -0.048660
      -0.032407       0.042329       0.031263
       0.017312      -0.051081       0.032257
       0.017334       0.004001      -0.014622
      -0.008302      -0.011739      -0.036000
      -0.010811       0.001441      -0.011107
       0.009076       0.004713       0.042082
       0.011742      -0.011124       0.003488
      -0.025531       0.068702       0.022839
       0.034948      -0.059002      -0.021535
       0.005102      -0.009197      -0.066669
      -0.031203      -0.021683       0.056597
      -0.005805       0.022092      -0.018208
      -0.012709      -0.007421       0.018295
       0.030841       0.000515       0.022906
       0.011142       0.031213      -0.053739
      -0.011117      -0.063439       0.012966
      -0.025071       0.044740       0.009343
       0.017326      -0.055940       0.021846
       0.018650       0.028751      -0.002341
      -0.048924      -0.008831      -0.011311
      -0.017711       0.015001      -0.034517
       0.024854       0.007284       0.035657
       0.039233      -0.046502       0.049712
      -0.026054       0.046925      -0.058115
       0.005245      -0.070250       0.020843
       0.004936       0.062780       0.007027
      -0.034714      -0.038720      -0.003437
       0.003763       0.016103       0.009821
      -0.003927       0.008468      -0.021937
       0.042064      -0.036943       0.014045
       0.005687       0.033543       0.026869
      -0.004750      -0.045550      -0.018393
      -0.001791       0.042094      -0.066719
      -0.012619      -0.065616       0.048425
       0.015636       0.047715       0.006009
      -0.029126       0.028901      -0.006836
       0.005799      -0.031073       0.011853
       0.005174       0.003178      -0.070261
      -0.021736      -0.029341       0.045342
       0.010738      -0.000835       0.017379
       0.031414      -0.026122      -0.047279
      -0.028550       0.054595       0.024493
