INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : RIMAC-LIMA
CODIGO  : RIMA
LATITUD : -12.023
LONGITUD: -77.027

2. SISMO
FECHA LOCAL     : 2021/03/09
HORA LOCAL      : 14:16:30
LATITUD         : -8.87
LONGITUD        : -75.94
PROFUNDIDAD     : 132 km
MAGNITUD        : M5.4
DIST. EPICENTRAL: 370.6 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/03/09 19:17:07  UTC
NUMERO DE MUESTRAS         : 11001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   0.9901     1.2105        1.1010

              Z              N              E
      -0.032239       0.024361       0.034693
       0.012785       0.012708      -0.047928
       0.007153      -0.011035      -0.024006
      -0.008618      -0.003315      -0.012041
       0.022934       0.005579      -0.005295
      -0.002533       0.013461       0.021352
       0.008063      -0.011433       0.020506
       0.028382       0.006297       0.015473
      -0.010670       0.037794      -0.015471
       0.007472      -0.027665      -0.000205
      -0.037656      -0.006966      -0.050900
       0.000979       0.016773       0.001993
       0.042399      -0.045481       0.029417
       0.009140       0.057673      -0.012323
       0.029057       0.027748       0.023340
      -0.016563      -0.067636      -0.018835
      -0.017638       0.018271       0.026736
      -0.012944       0.024484      -0.035819
       0.010286       0.009783      -0.024577
       0.030303      -0.002327       0.035545
      -0.001330       0.007000      -0.048092
       0.024329      -0.040510       0.032174
      -0.021668      -0.012249       0.012930
       0.012812       0.077085       0.014143
       0.005673      -0.008794      -0.015291
      -0.030699      -0.011992      -0.059074
       0.049794       0.002331       0.038299
      -0.025246       0.013339      -0.003112
       0.016229      -0.034961       0.002747
       0.029762      -0.023729       0.017164
      -0.018778       0.050528      -0.008749
      -0.009862       0.006967      -0.025905
      -0.014906       0.034638       0.006505
       0.048307      -0.017006      -0.009368
      -0.003162      -0.038075      -0.025467
      -0.001439      -0.007429       0.048919
       0.006056       0.014243      -0.000443
      -0.000500       0.020651       0.017183
       0.012978       0.038921      -0.042564
      -0.010423       0.018127      -0.031342
      -0.009121      -0.089283       0.054725
       0.020976       0.020577      -0.039166
       0.044617       0.035501       0.010821
      -0.008337      -0.007265       0.019303
      -0.021400       0.018827      -0.022000
      -0.004916      -0.018868       0.004019
      -0.010901       0.019494      -0.019125
       0.006764       0.002800      -0.001018
       0.054583      -0.034543       0.028258
       0.007293       0.000647       0.012776
      -0.019038       0.046042      -0.033240
       0.016164       0.017466      -0.013537
      -0.003088      -0.054210       0.025634
      -0.014624      -0.001400      -0.003510
      -0.027103       0.044538      -0.023274
       0.026797      -0.030262      -0.025873
       0.054353       0.035420       0.053414
      -0.004784       0.031881       0.016477
      -0.030894      -0.054631      -0.063072
      -0.010607       0.006331       0.017334
       0.038746      -0.001519       0.011477
       0.038284       0.006004       0.009534
      -0.015369       0.021934      -0.024666
      -0.018485      -0.000872      -0.018082
      -0.016468      -0.020120       0.032201
      -0.022347       0.025644      -0.026389
       0.013171       0.022941      -0.019940
       0.062863      -0.041697       0.040559
       0.042869       0.004148       0.023568
      -0.017986       0.013899      -0.047712
      -0.028787       0.008256       0.014201
      -0.038341      -0.011867       0.013213
       0.018355       0.041769      -0.016679
       0.032454       0.001951      -0.024990
      -0.012921      -0.074879      -0.041577
       0.039641       0.021037       0.055871
       0.011994       0.042846       0.030581
      -0.038643       0.028455      -0.036294
       0.003685      -0.024299      -0.003608
       0.013906      -0.011113       0.041697
       0.006190       0.011306      -0.016897
       0.007853      -0.008074      -0.026719
       0.017491       0.015323      -0.015298
       0.024462       0.011039      -0.013561
