INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : VILLA MARIA DEL TRIUNFO-LIMA
CODIGO  : SCVM
LATITUD : -12.142
LONGITUD: -76.941

2. SISMO
FECHA LOCAL     : 2021/03/09
HORA LOCAL      : 14:16:30
LATITUD         : -8.87
LONGITUD        : -75.94
PROFUNDIDAD     : 132 km
MAGNITUD        : M5.4
DIST. EPICENTRAL: 380.3 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/03/09 19:17:10  UTC
NUMERO DE MUESTRAS         : 11001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   0.9833     1.6543        2.0267

              Z              N              E
       0.025958      -0.007254      -0.015978
      -0.039299       0.003175      -0.016969
       0.018265       0.007246      -0.009785
       0.018244       0.003529       0.020920
       0.001955       0.006415      -0.023589
      -0.004585       0.001799      -0.004581
       0.007319      -0.002400       0.001778
       0.007886       0.009903      -0.024424
       0.007698       0.002439       0.015890
       0.024195       0.029033      -0.005353
      -0.009355      -0.000719      -0.031313
      -0.011130      -0.002547       0.004882
       0.023577       0.015194      -0.006510
       0.005494      -0.014345       0.000786
      -0.013786       0.013740      -0.006590
       0.010841       0.007297      -0.014566
       0.020723       0.017304       0.005027
      -0.007473       0.003492      -0.014668
       0.012648      -0.019172      -0.012272
      -0.002381       0.016940      -0.011180
      -0.001022       0.000305       0.011710
       0.038056       0.010266      -0.011906
      -0.024457       0.024502      -0.029224
      -0.003935      -0.029909       0.010497
       0.027579       0.020616       0.001391
       0.002041       0.026643      -0.029103
      -0.007273      -0.023903       0.009895
       0.013231       0.034584       0.015665
       0.025429      -0.026978      -0.055192
      -0.018421       0.013587       0.013372
      -0.002720       0.020038       0.002829
       0.021973      -0.030884      -0.019147
       0.013615       0.062885       0.022179
      -0.016387      -0.038789      -0.017562
       0.018429       0.005969      -0.005645
       0.015153       0.043782      -0.037798
      -0.018325      -0.031791      -0.003906
       0.015918       0.034768       0.031082
       0.000891      -0.025365      -0.022313
       0.006267       0.007264      -0.007716
      -0.003950       0.049249      -0.002652
       0.012037      -0.037797      -0.015304
       0.016304       0.011813      -0.000802
       0.006184       0.017838      -0.008068
       0.001058      -0.021779      -0.027018
       0.003075       0.036692       0.009097
       0.023253      -0.005833      -0.004735
      -0.027023      -0.002707      -0.024073
       0.010556       0.026944       0.020028
       0.011472      -0.023540       0.000851
       0.002443       0.013480      -0.022678
       0.015282       0.008998      -0.019537
      -0.011337       0.020480       0.009780
       0.020643       0.002153       0.010232
       0.011241      -0.020745      -0.039616
      -0.001512       0.036327       0.001468
      -0.000573      -0.014690      -0.001590
       0.018960       0.010359      -0.022714
      -0.009426       0.008775       0.008383
      -0.001310      -0.027198      -0.010324
       0.040063       0.048155       0.005585
      -0.027105      -0.007196      -0.013906
      -0.002476       0.004985      -0.009158
       0.026766       0.008017      -0.005590
      -0.003085      -0.008116      -0.017772
       0.012657       0.036512       0.013000
      -0.006178      -0.035534      -0.017235
       0.012044       0.036726       0.004353
       0.009391       0.004774      -0.021390
      -0.021229      -0.030638      -0.001086
       0.034505       0.049462       0.009822
      -0.012265      -0.032732      -0.036519
       0.011770       0.019895       0.022669
       0.032527       0.021380      -0.033856
      -0.048071      -0.017185      -0.007206
       0.047658       0.034206       0.019590
       0.008555      -0.007113      -0.022888
      -0.024087      -0.000712       0.009394
       0.018151       0.005196      -0.032963
      -0.000496       0.002645       0.006682
       0.030321       0.018852       0.018706
      -0.036488      -0.020715      -0.048564
       0.018912       0.012724       0.000993
       0.039980       0.029569       0.005394
      -0.035064      -0.017543      -0.016371
       0.017463       0.032025       0.006458
       0.016051      -0.010902      -0.026399
      -0.004521      -0.015923       0.010828
      -0.003267       0.039037       0.002285
       0.014319      -0.014026      -0.022143
       0.020101       0.026024       0.011150
      -0.010517      -0.003900      -0.028895
      -0.006049      -0.006986      -0.002382
       0.023136       0.009178      -0.003347
       0.000789       0.004200      -0.018564
      -0.004553       0.026966       0.003686
       0.018504      -0.034734      -0.008396
       0.000935       0.032771      -0.003441
      -0.001667       0.010285      -0.011425
       0.010629      -0.017235       0.009145
       0.016788       0.034997      -0.002770
      -0.018249      -0.017861      -0.028587
       0.011284       0.002240       0.010389
       0.017847       0.022135      -0.021664
      -0.005061       0.008802      -0.025454
       0.011944      -0.006804       0.005167
      -0.008368      -0.004028       0.007920
       0.025993       0.019846       0.014364
      -0.004803      -0.010639      -0.039729
      -0.003938       0.026376      -0.001982
       0.016597       0.015332       0.001758
      -0.015168      -0.050149      -0.011850
       0.024116       0.043035      -0.005374
       0.008099       0.011262      -0.032289
       0.011993      -0.000561       0.040278
      -0.011819       0.020944      -0.027213
      -0.014181      -0.032757      -0.007641
       0.050443       0.046447       0.011814
      -0.013158      -0.016581      -0.042208
