INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : UNALM-LIMA
CODIGO  : UNAL
LATITUD : -12.085
LONGITUD: -76.948

2. SISMO
FECHA LOCAL     : 2021/03/09
HORA LOCAL      : 14:16:30
LATITUD         : -8.87
LONGITUD        : -75.94
PROFUNDIDAD     : 132 km
MAGNITUD        : M5.4
DIST. EPICENTRAL: 374.5 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/03/09 19:17:09  UTC
NUMERO DE MUESTRAS         : 11001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   0.3423     0.4265        0.4059

              Z              N              E
       0.000693      -0.001135       0.000769
       0.000817      -0.000463       0.000978
       0.000175       0.000823      -0.000308
       0.000066       0.000150      -0.000888
      -0.001581       0.000369       0.000011
      -0.000468      -0.000388      -0.000493
       0.000287      -0.000564      -0.000421
      -0.001026      -0.000081       0.000264
       0.000974       0.000671      -0.000262
       0.000451       0.001097      -0.000146
      -0.001485       0.000317       0.000730
       0.000166      -0.001122       0.000291
      -0.000395      -0.000726       0.001007
      -0.000006       0.000861      -0.000072
       0.000829       0.000375      -0.000634
      -0.000130       0.000631       0.000251
      -0.000615      -0.000442       0.000042
      -0.001065      -0.000719       0.000237
      -0.000019       0.001403      -0.000452
       0.000849       0.001293       0.000572
       0.000371       0.000112       0.000434
      -0.000133      -0.000078      -0.000181
      -0.000307       0.000111      -0.000006
       0.000103      -0.000620       0.000091
      -0.000850      -0.000549       0.000408
      -0.000013       0.000146      -0.001701
       0.000559       0.000134      -0.000337
      -0.000321       0.000425       0.000433
       0.000393       0.000844      -0.000173
      -0.000138      -0.000162       0.000231
       0.000189      -0.000542      -0.000456
      -0.000487       0.000400       0.000039
      -0.001438       0.000088      -0.000531
       0.000868      -0.000311      -0.000882
      -0.000431       0.000391       0.000554
      -0.000535       0.000119       0.000446
      -0.000381       0.000445      -0.000452
      -0.000066       0.000811       0.000065
      -0.000706      -0.000362       0.000506
      -0.000926      -0.000083      -0.000032
       0.001034      -0.000386      -0.000940
      -0.001119      -0.000020       0.000116
       0.000262       0.000838       0.000966
      -0.000036       0.000401       0.000240
      -0.000917       0.000608      -0.000778
       0.001309       0.000155      -0.001370
      -0.000131       0.000910       0.000031
       0.000407       0.000825      -0.000753
      -0.000424       0.000119       0.000174
      -0.000273      -0.000343       0.001691
      -0.000202       0.000445       0.001001
      -0.000760       0.000558       0.000158
       0.000351       0.000228      -0.001662
      -0.000356       0.001587      -0.000408
       0.000440       0.000307      -0.000786
       0.000543      -0.000330      -0.000579
      -0.000871      -0.000345       0.000972
      -0.000520       0.000436      -0.000012
       0.000331       0.000306       0.000101
      -0.000886      -0.000015       0.001258
      -0.000513       0.001078       0.000413
       0.000340       0.000135      -0.000933
      -0.000095       0.000653      -0.000439
       0.000101       0.000067      -0.000216
      -0.000587      -0.000568      -0.000236
       0.000404      -0.000065      -0.000425
      -0.001007       0.001185       0.000818
      -0.001365       0.001542       0.000379
       0.001531       0.000350      -0.001680
      -0.000667      -0.000376      -0.000893
       0.000261      -0.000283      -0.000755
       0.000768       0.000602      -0.000608
       0.000190       0.000183       0.001014
       0.000579       0.001635       0.000179
       0.000426      -0.000036      -0.000922
       0.000519      -0.000637       0.000103
      -0.001061       0.001776       0.000698
       0.000713      -0.000145      -0.000744
       0.000756       0.000170      -0.000369
      -0.000056      -0.000390       0.000460
       0.000584       0.000502      -0.001006
      -0.000401       0.001001      -0.000839
      -0.000287      -0.000583       0.000749
       0.000862      -0.000073      -0.000281
       0.000331       0.000393      -0.000388
       0.000424       0.000073       0.000247
       0.000274      -0.000805       0.000053
      -0.000799       0.000447       0.000254
       0.000096       0.000847       0.000059
      -0.001129       0.000904       0.000496
       0.000015       0.000819      -0.000509
       0.001030      -0.000128      -0.000658
       0.000124      -0.000613      -0.000228
      -0.000135      -0.000546      -0.000472
       0.000465       0.000414      -0.000704
       0.000974       0.001168      -0.000433
      -0.001337       0.001538      -0.000223
       0.000502      -0.000142       0.000083
       0.000707       0.000187       0.000743
      -0.000798      -0.000461      -0.000009
       0.000123      -0.000974      -0.000747
      -0.000126       0.000348      -0.001682
       0.000133      -0.000052      -0.000599
      -0.000165       0.001386       0.000502
      -0.000875       0.000545       0.000818
      -0.000521       0.000198       0.000643
       0.001101       0.000329      -0.001156
       0.000038      -0.000077       0.000053
      -0.000038      -0.000449      -0.000752
      -0.000005      -0.001491       0.000437
      -0.001257       0.000699       0.001079
       0.000911       0.000833      -0.001405
       0.000798       0.001453       0.000113
       0.000642       0.001474       0.000185
       0.000574      -0.000610      -0.000943
       0.000089      -0.000574      -0.000674
      -0.001173      -0.000053      -0.000486
      -0.000979       0.000865      -0.000931
       0.000577       0.000092       0.000113
       0.000138       0.000217       0.000704
       0.000583       0.001094      -0.000486
      -0.000400       0.000346      -0.000685
      -0.000095       0.000186      -0.000436
      -0.000694       0.001148       0.000331
      -0.000486       0.000777       0.000994
       0.000763      -0.000563       0.000223
      -0.000867       0.000966      -0.000448
      -0.000091       0.000984      -0.000468
      -0.000694      -0.000822      -0.000418
      -0.000510      -0.000062       0.000271
       0.000286       0.000392      -0.000512
      -0.000306       0.000603      -0.000633
       0.000533      -0.000675       0.000275
      -0.001379      -0.000706       0.000017
       0.000271       0.001643       0.000070
       0.000690       0.001286       0.000778
      -0.000511       0.000668      -0.000089
       0.000792       0.000816      -0.001913
      -0.000371      -0.000650      -0.000854
       0.000092      -0.000772       0.000287
      -0.000856       0.000133       0.000801
       0.000955      -0.000109       0.000980
       0.000424       0.000441       0.000252
      -0.000743       0.000822      -0.000216
       0.000262      -0.000116      -0.000200
      -0.001070       0.000175      -0.000509
       0.000127       0.000360      -0.001159
      -0.000121       0.000147      -0.000451
       0.000856       0.000117      -0.000971
      -0.000757      -0.000360      -0.000083
      -0.000677      -0.000055       0.001193
       0.001237       0.000614      -0.000253
      -0.000363       0.000121      -0.000418
       0.000907       0.000438       0.000052
       0.000483       0.000828       0.000254
      -0.000846      -0.000134      -0.000755
      -0.000084      -0.000048      -0.000862
       0.000305       0.000875       0.000556
      -0.000640       0.000041       0.000747
      -0.000348      -0.001026       0.000249
      -0.000134       0.000705      -0.000475
       0.000659       0.000486      -0.000406
       0.000758      -0.001280       0.000271
      -0.000375       0.000470      -0.000230
      -0.000125       0.000520       0.000090
       0.000120      -0.000546       0.000220
       0.000070       0.000403      -0.000124
      -0.000363       0.000366       0.001520
       0.000115       0.000119       0.000409
       0.000102      -0.000347      -0.000643
       0.000095       0.000162       0.000026
      -0.000139      -0.000441      -0.000480
      -0.000157      -0.000992      -0.000397
      -0.000350       0.000934       0.000532
       0.000605       0.001595      -0.000018
      -0.000498       0.000754      -0.000130
      -0.000999      -0.001593       0.000718
       0.000839       0.000083      -0.001020
       0.000309       0.001459      -0.001086
       0.000117      -0.001119       0.000299
