INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : SAN BORJA-LIMA
CODIGO  : CERA
LATITUD : -12.102
LONGITUD: -76.999

2. SISMO
FECHA LOCAL     : 2021/04/19
HORA LOCAL      : 23:53:29
LATITUD         : -12.61
LONGITUD        : -76.87
PROFUNDIDAD     : 44 km
MAGNITUD        : M5
DIST. EPICENTRAL: 58.2 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/04/20 04:53:25  UTC
NUMERO DE MUESTRAS         : 10001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   6.0030     6.4227        6.5297

              Z              N              E
      -0.002518       0.001150       0.000471
      -0.003404      -0.003299      -0.000125
       0.001108      -0.000643       0.002229
      -0.000538      -0.000590      -0.000593
       0.001774       0.004879       0.001247
       0.000980       0.001766       0.000477
      -0.000199      -0.000647       0.000347
       0.000650      -0.000013       0.001442
       0.000678      -0.000838      -0.000739
      -0.000945       0.003912       0.000550
      -0.001042       0.002891      -0.002032
       0.001503       0.000381       0.002469
      -0.001522       0.000226       0.003967
       0.000524       0.002452      -0.000557
      -0.000685       0.001926      -0.000380
       0.001288       0.000855      -0.001024
       0.003490       0.004265      -0.000680
      -0.002469       0.000387      -0.001640
       0.001412      -0.000316       0.002966
       0.001369       0.001954       0.001363
      -0.001464      -0.000292       0.000086
      -0.001882       0.001142       0.000999
      -0.001191       0.000408      -0.000019
       0.004584       0.002454      -0.000822
       0.000311       0.000885      -0.002727
      -0.002285       0.000200       0.004472
      -0.000711       0.002857       0.001373
      -0.002595      -0.001835      -0.002724
       0.002339       0.001147       0.003557
       0.001891       0.002735       0.004815
       0.000945       0.003513      -0.000587
       0.003406       0.002952      -0.002872
      -0.001940      -0.003296       0.000262
      -0.001801      -0.001087       0.001600
       0.000143       0.002216       0.000803
       0.000821       0.004534      -0.000315
       0.002275       0.000496       0.000441
      -0.001184      -0.003563       0.001137
      -0.001315       0.001913      -0.000019
       0.001076       0.004907      -0.001616
      -0.001903       0.001473       0.003466
      -0.001537       0.001334       0.000418
       0.001381       0.002626      -0.002608
       0.000670      -0.001594       0.004319
       0.000056       0.000883       0.001146
      -0.003305       0.002170       0.000828
      -0.000931       0.000203       0.000347
       0.003299       0.001154      -0.002349
       0.001022       0.001945       0.001426
      -0.001312       0.003043       0.000827
      -0.000905       0.001564       0.001419
       0.000624       0.001400      -0.000561
      -0.000537       0.000533      -0.001010
       0.000188       0.000042       0.002971
      -0.001351       0.002931      -0.000407
       0.000775       0.002954       0.001831
       0.004717       0.000569       0.000752
