INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : JESUS MARIA-LIMA
CODIGO  : JEMA
LATITUD : -12.078
LONGITUD: -77.046

2. SISMO
FECHA LOCAL     : 2021/04/19
HORA LOCAL      : 23:53:29
LATITUD         : -12.61
LONGITUD        : -76.87
PROFUNDIDAD     : 44 km
MAGNITUD        : M5
DIST. EPICENTRAL: 62.2 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/04/20 04:53:25  UTC
NUMERO DE MUESTRAS         : 10001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   4.6792     6.4749        11.2102

              Z              N              E
       0.003356       0.008100      -0.008459
       0.000408      -0.006933       0.008028
      -0.000729      -0.002641      -0.007526
      -0.000622       0.006595       0.002437
       0.000516      -0.008463       0.005063
      -0.000133       0.005688      -0.003977
      -0.004465      -0.000180      -0.003456
       0.000403      -0.000857       0.001811
       0.005992       0.003974       0.008192
      -0.002999      -0.011094      -0.009793
      -0.003641       0.007623       0.002899
       0.003605      -0.001790       0.002236
      -0.001645      -0.006986      -0.001928
       0.001987       0.007510       0.000247
       0.002633      -0.006897      -0.004195
      -0.003730      -0.000834       0.010652
      -0.000286       0.004332      -0.003747
       0.001855      -0.002232      -0.009933
      -0.002808       0.000908       0.008346
       0.002155      -0.003769       0.002422
       0.006326       0.001684      -0.002668
      -0.002228       0.005694       0.000193
      -0.001290      -0.006651      -0.001753
       0.000529      -0.000080       0.004776
       0.001100       0.001817      -0.005045
       0.003443      -0.005054      -0.006888
      -0.000796       0.001075       0.006498
      -0.001544      -0.000232      -0.001768
       0.002899       0.003933       0.001506
       0.001667      -0.000510      -0.000355
      -0.001158      -0.008918      -0.001168
      -0.003845       0.000506       0.004063
      -0.000545       0.006278      -0.004980
       0.005760      -0.000397      -0.000005
      -0.002117      -0.006975       0.001002
      -0.001634       0.008085       0.002784
       0.001928       0.003621      -0.000575
      -0.000035      -0.007783      -0.001647
       0.001160      -0.004629       0.004899
       0.001611       0.000023      -0.003354
      -0.000853       0.010697      -0.001439
      -0.001865      -0.004739      -0.001066
       0.005172      -0.005458       0.009092
      -0.002458       0.007497       0.001333
      -0.000685      -0.002886      -0.010924
       0.001638      -0.004375       0.001426
      -0.007105       0.003335       0.005215
       0.002952       0.002102       0.006308
       0.001629      -0.003706      -0.006120
      -0.000421      -0.004385      -0.007126
       0.003633      -0.003088      -0.003996
       0.000155       0.004063       0.007292
       0.002211      -0.000268       0.002040
       0.000050      -0.002556      -0.009157
      -0.003594       0.005763       0.008353
       0.001101      -0.001968       0.000429
       0.001592      -0.005123      -0.003079
      -0.001703       0.003602      -0.000858
       0.001472      -0.000342      -0.003592
      -0.000652      -0.004564       0.002898
      -0.001907       0.002374       0.009059
