INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : MARQUEZ-LIMA
CODIGO  : MARQ
LATITUD : -11.943
LONGITUD: -77.133

2. SISMO
FECHA LOCAL     : 2021/04/19
HORA LOCAL      : 23:53:29
LATITUD         : -12.61
LONGITUD        : -76.87
PROFUNDIDAD     : 44 km
MAGNITUD        : M5
DIST. EPICENTRAL: 79.6 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/04/20 04:53:26  UTC
NUMERO DE MUESTRAS         : 10001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   12.0125     16.9835        16.1912

              Z              N              E
       0.018145       0.011030      -0.005780
       0.008188      -0.001787       0.018749
       0.030691      -0.013334       0.020498
       0.017433      -0.046874       0.047596
      -0.013401      -0.042513       0.033422
      -0.025213      -0.009274      -0.005455
      -0.008231       0.045982      -0.039834
       0.003770       0.026511      -0.037437
      -0.003712      -0.015225       0.005038
       0.065661      -0.018975       0.025918
       0.092347       0.001683       0.036824
       0.047328       0.027116       0.027862
       0.006450       0.007469       0.019687
       0.025224      -0.033253       0.010679
       0.012084      -0.035314       0.005200
      -0.020832      -0.015357       0.004304
       0.039524      -0.017144       0.007876
       0.052587      -0.000106       0.000795
       0.035323       0.033281      -0.009375
       0.032605       0.057905       0.035724
       0.043303       0.004957       0.030687
       0.057951      -0.047806       0.009657
       0.026435      -0.032641       0.031319
       0.002863       0.004364       0.029661
      -0.012600      -0.006796       0.007132
       0.019680      -0.098277      -0.008392
       0.050630      -0.024199       0.004259
       0.057797       0.072239      -0.006514
       0.067879       0.047243       0.013981
       0.052484      -0.023870       0.052090
       0.050768      -0.074312       0.051321
       0.002101       0.042878       0.025276
       0.000758       0.029497      -0.012828
       0.030751      -0.050506       0.004104
       0.022691      -0.034386       0.025941
       0.012760      -0.018197       0.000050
       0.007262       0.007269      -0.063362
       0.006423      -0.010795      -0.009877
       0.008044       0.010781       0.077348
       0.050476      -0.007065       0.055051
       0.057042       0.028470       0.019849
       0.040834       0.077085      -0.027241
       0.002928      -0.048955      -0.008616
       0.015121      -0.120205       0.015997
       0.053427      -0.062757       0.022253
       0.002994       0.023150       0.014421
       0.010605       0.066877      -0.033624
       0.059602       0.011439       0.008384
       0.038209      -0.098217       0.060225
       0.012683      -0.043998       0.037009
       0.030667       0.052264      -0.005564
       0.038890       0.057838      -0.002188
       0.041618       0.049042       0.003413
       0.016542      -0.026696       0.010321
      -0.022479      -0.070393       0.073662
      -0.014503      -0.069660       0.031809
       0.000822      -0.021985      -0.022883
       0.049419       0.019840      -0.002127
       0.085006       0.023460      -0.011980
       0.064267       0.052230      -0.005774
       0.052612       0.069746       0.010429
      -0.018522      -0.022811       0.044783
      -0.046246      -0.103941       0.029734
       0.009771      -0.024019       0.015888
       0.019953       0.044200       0.015307
       0.016267       0.030040      -0.053358
       0.044061      -0.027665      -0.035901
       0.081368      -0.071345       0.039189
       0.037366      -0.027518       0.063004
       0.017145       0.054003       0.027091
       0.006586       0.024008      -0.020934
      -0.039638      -0.060467      -0.027457
      -0.025411       0.035340      -0.019260
      -0.010837       0.123130      -0.037236
      -0.001858      -0.022594      -0.032132
       0.018865      -0.109424       0.018484
       0.054955      -0.042819       0.027758
       0.078625       0.001685       0.020483
       0.065225       0.039538       0.029401
       0.028247       0.050864       0.053877
      -0.005284      -0.044680       0.017198
      -0.023398      -0.057347      -0.025598
      -0.016439       0.060091      -0.018362
       0.040436       0.056534      -0.028352
       0.050746      -0.066381      -0.002261
       0.028086      -0.081595       0.006889
       0.020864      -0.017403       0.042742
       0.009078       0.007229       0.081951
       0.010861      -0.021404       0.030789
       0.007252      -0.048050      -0.036260
       0.018002       0.025869      -0.033074
       0.023586       0.035409       0.011305
      -0.008829       0.026122       0.013263
      -0.014638       0.019240       0.004281
       0.038728      -0.039593      -0.009431
       0.010244      -0.033551       0.043614
       0.010513      -0.010097       0.061304
       0.069572       0.030618       0.015197
       0.039862      -0.009508      -0.011032
       0.055085      -0.041836      -0.027513
       0.010325       0.042213       0.014769
      -0.014582       0.030900       0.045701
      -0.010603       0.036920       0.035970
      -0.057787       0.002300      -0.012751
      -0.027255      -0.055274      -0.030216
      -0.024373       0.012485      -0.018454
       0.004288      -0.031258       0.002179
       0.023564      -0.037339       0.028568
       0.021582       0.002736       0.026663
       0.042497      -0.018021       0.059239
       0.010181      -0.009145       0.017165
      -0.034122       0.027767      -0.013946
      -0.062335       0.036446      -0.015603
      -0.039003      -0.050357      -0.021274
      -0.029790      -0.004131       0.009524
      -0.012877       0.036335       0.021153
       0.035976      -0.001813       0.061074
       0.054170       0.006456       0.009895
       0.057883      -0.057541       0.012909
       0.037159      -0.056267       0.035050
       0.023564      -0.022639      -0.001237
       0.000115      -0.010100       0.006004
       0.010610       0.029656      -0.014800
       0.053252       0.038002       0.009430
       0.028242       0.025341       0.011440
      -0.008025       0.010997       0.010475
      -0.014525      -0.044865      -0.009305
       0.020534      -0.071516       0.027196
       0.056858      -0.018383       0.075687
       0.049803       0.023410       0.010688
       0.024521      -0.001498       0.011329
       0.002810      -0.048838      -0.011990
      -0.026931       0.015841       0.019127
      -0.038131       0.049748       0.037013
       0.033936       0.040667      -0.052536
       0.065145       0.006676      -0.031448
       0.039844      -0.044309       0.039024
       0.004858      -0.006488       0.095313
      -0.069406      -0.017010       0.050635
      -0.033845      -0.045938       0.000542
       0.009952      -0.085744      -0.004779
       0.007095      -0.035847      -0.024846
       0.040593       0.072873       0.007627
       0.012890       0.087705      -0.002092
      -0.025197       0.054518       0.003981
      -0.038868      -0.016947       0.020372
      -0.020041      -0.007455       0.046300
      -0.007209      -0.014122       0.088228
      -0.005567      -0.071461       0.002942
       0.033281       0.011269      -0.086998
       0.023663       0.008552      -0.055046
       0.001772      -0.031039       0.040790
       0.009950       0.067474       0.051336
      -0.016994       0.015064       0.011367
      -0.044266      -0.080194       0.027559
      -0.010344      -0.100393       0.006104
       0.066666      -0.017011      -0.013067
       0.033771       0.094712      -0.013024
       0.017781       0.059903      -0.021186
       0.068654       0.012043      -0.012285
       0.021042      -0.080907       0.043427
      -0.003596      -0.088923       0.114257
      -0.020750      -0.020981       0.054369
       0.010496      -0.005510      -0.041700
       0.049684       0.003601      -0.062827
       0.043294       0.025829      -0.017963
       0.054274       0.110028       0.043717
       0.009240       0.044049       0.041212
       0.001661      -0.064774       0.027696
       0.024287      -0.125298       0.002315
       0.045043      -0.110982       0.035465
       0.047076       0.094028       0.036000
       0.019946       0.100896      -0.023761
       0.009044      -0.003427      -0.033857
       0.017862      -0.025136      -0.020539
       0.065766      -0.064187       0.036439
       0.060657      -0.004057       0.023241
       0.050534       0.020964       0.014851
       0.029217      -0.032383       0.003396
      -0.040527      -0.035379      -0.026695
      -0.020152       0.009571       0.008427
       0.009803       0.062318       0.011413
       0.066369      -0.012971      -0.007670
       0.127420      -0.085900       0.027236
       0.063616      -0.030228       0.078122
       0.008338       0.046527       0.042326
      -0.062917       0.128069      -0.017313
      -0.064635       0.086395      -0.073518
       0.050994      -0.024957      -0.025414
       0.089464      -0.073011       0.067155
       0.058034      -0.108455       0.040488
       0.020785      -0.064493       0.002325
       0.037820      -0.053175       0.003997
       0.029889      -0.042991       0.014875
       0.027900       0.113049       0.022052
       0.027145       0.171917       0.033034
       0.035008       0.039747      -0.014596
       0.048085      -0.121544      -0.052849
      -0.037620      -0.122398      -0.045723
      -0.043672      -0.037483      -0.006238
       0.010548       0.042951       0.060784
       0.074567       0.074242       0.058424
       0.125556      -0.005906       0.018724
       0.072702      -0.064081      -0.009543
      -0.019563      -0.053595       0.038057
      -0.037313       0.024841       0.063776
       0.029474       0.062405       0.041142
       0.055072       0.030758       0.016105
       0.048833       0.044160      -0.069724
       0.007475       0.005878      -0.061413
      -0.030763      -0.099085       0.027153
      -0.006547      -0.103312       0.074439
       0.017942      -0.024060       0.047744
       0.036866       0.092550      -0.018377
       0.067585       0.096231      -0.009719
       0.067894      -0.020397       0.023793
       0.010194      -0.066717       0.043709
      -0.021751      -0.107555       0.036731
      -0.003787      -0.022469      -0.003077
       0.019692       0.078455      -0.004173
       0.048605       0.061562       0.000433
       0.066779       0.008520      -0.009465
       0.053447      -0.065006      -0.020393
       0.008224      -0.034551       0.011864
       0.021413      -0.049566       0.064391
       0.030889      -0.030206       0.066543
      -0.029705      -0.000792      -0.006351
      -0.007582      -0.012118      -0.072697
