INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : PUNTA NEGRA-LIMA
CODIGO  : PNEG
LATITUD : -12.367
LONGITUD: -76.794

2. SISMO
FECHA LOCAL     : 2021/04/19
HORA LOCAL      : 23:53:29
LATITUD         : -12.61
LONGITUD        : -76.87
PROFUNDIDAD     : 44 km
MAGNITUD        : M5
DIST. EPICENTRAL: 28.3 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/04/20 04:53:26  UTC
NUMERO DE MUESTRAS         : 8001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   41.0259     42.8764        39.7103

              Z              N              E
      -0.003270       0.003232      -0.003931
      -0.005827      -0.004810      -0.001576
      -0.002390      -0.007301       0.003560
       0.000868      -0.005426       0.005395
       0.005601      -0.001481       0.010724
       0.002428       0.002110       0.009136
      -0.001802      -0.003721       0.007856
       0.004015      -0.002384      -0.001301
       0.002698       0.003926      -0.011797
      -0.001049       0.005784      -0.009936
       0.006429       0.004575      -0.007013
       0.010576      -0.000843      -0.002582
       0.009479      -0.003656      -0.001155
       0.008238      -0.000732      -0.001336
       0.001538      -0.001278       0.004694
      -0.003364      -0.002361       0.008022
      -0.006637       0.000337       0.002144
      -0.007150      -0.001074       0.000868
      -0.000287       0.000415       0.001931
       0.002941      -0.001737      -0.002358
      -0.002190      -0.000198      -0.000726
      -0.005023       0.004144       0.004137
       0.007914       0.000819       0.002289
       0.014352       0.001748      -0.004698
       0.011083       0.003082      -0.005384
       0.005759       0.003280       0.000028
      -0.002853       0.000687       0.000058
      -0.003628      -0.001247      -0.001016
      -0.007232      -0.000388      -0.000798
      -0.001677      -0.001927      -0.000254
       0.007645      -0.004409       0.000415
       0.010707      -0.006701       0.001021
       0.008426      -0.004504       0.002567
       0.005423       0.001452      -0.001122
       0.004363       0.007017      -0.006268
      -0.004655       0.003933      -0.006235
      -0.002989      -0.001066      -0.000718
      -0.000568      -0.000839       0.004411
       0.005072      -0.001639       0.005837
       0.009307      -0.003123       0.004302
       0.001333      -0.003344      -0.001697
      -0.004601       0.001847      -0.002655
      -0.010281       0.002510      -0.002039
      -0.003812      -0.004006       0.000220
       0.000558      -0.006624       0.004295
       0.004680      -0.003210       0.001410
       0.016674       0.003264      -0.002371
       0.019632       0.003799      -0.004503
       0.006697      -0.000947      -0.003881
      -0.010822      -0.000870      -0.002772
      -0.009186       0.003235      -0.001609
      -0.002630       0.005264       0.002042
       0.003470       0.003915       0.005239
       0.009233       0.001355       0.008042
       0.009708       0.001880       0.007431
       0.009315      -0.001235       0.004574
