INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : RINCONADA-LIMA
CODIGO  : RINC
LATITUD : -12.087
LONGITUD: -76.923

2. SISMO
FECHA LOCAL     : 2021/04/19
HORA LOCAL      : 23:53:29
LATITUD         : -12.61
LONGITUD        : -76.87
PROFUNDIDAD     : 44 km
MAGNITUD        : M5
DIST. EPICENTRAL: 58.5 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/04/20 04:53:24  UTC
NUMERO DE MUESTRAS         : 10001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   19.0710     34.8359        30.6038

              Z              N              E
      -0.003556       0.076114       0.051596
       0.017875      -0.022314       0.041565
       0.027419      -0.051367      -0.045697
      -0.007051       0.021600       0.007189
      -0.007506       0.003291       0.040658
      -0.007998      -0.019155      -0.019143
      -0.015273       0.005610       0.001344
       0.001631       0.027953       0.001707
       0.000662       0.023234      -0.047622
      -0.000352      -0.017140       0.023284
       0.010787      -0.014575       0.075719
       0.027068      -0.010826       0.022371
      -0.013282      -0.020790      -0.044437
      -0.017908       0.025737      -0.029008
       0.011242       0.039012       0.017777
      -0.013070       0.007836      -0.040306
      -0.001338      -0.006576       0.002466
       0.009510      -0.012454       0.130733
       0.015862      -0.047813       0.014022
      -0.003148      -0.002295      -0.093779
      -0.019793       0.071328      -0.005061
      -0.004609       0.023234      -0.001485
      -0.011002      -0.018107      -0.011881
      -0.004487      -0.015830       0.045480
       0.020989      -0.021061       0.044997
       0.041299      -0.032736      -0.014575
      -0.005634       0.010505      -0.020255
      -0.031418       0.051474       0.033384
      -0.013124       0.018882      -0.019392
      -0.011577       0.006749      -0.042514
       0.009621       0.001392       0.033024
       0.016505      -0.054732       0.043131
       0.014483      -0.034754       0.008812
       0.011309       0.044910      -0.012553
      -0.013162       0.037553      -0.002775
      -0.045298       0.006500      -0.011118
      -0.000162      -0.008768      -0.021296
       0.043106      -0.002938       0.029254
       0.000470      -0.021704       0.048676
      -0.004594      -0.030971       0.001786
      -0.002355       0.014703      -0.022811
      -0.014394       0.040163      -0.031063
      -0.003852       0.037325      -0.007117
       0.005525      -0.010743       0.039923
       0.009272      -0.048375       0.038548
       0.005090      -0.016995      -0.005213
      -0.011435       0.028264      -0.023660
      -0.000872       0.025543       0.022386
       0.007105       0.012251       0.005786
      -0.031408      -0.010131      -0.033759
       0.002170      -0.015623       0.013705
       0.033026      -0.009100       0.044098
       0.014466       0.002219      -0.021315
      -0.009071       0.021243      -0.023027
      -0.022615      -0.006284       0.058321
       0.005221       0.006376       0.006591
      -0.017891       0.012939      -0.034397
       0.001198       0.014124       0.002305
       0.029803      -0.015340      -0.017845
       0.006833      -0.032257       0.004330
      -0.018966       0.009689       0.055943
      -0.027985      -0.005883       0.027220
       0.018964       0.016389      -0.018272
       0.016270       0.035109      -0.033292
       0.000914       0.023811      -0.006028
      -0.010617      -0.046531       0.017179
      -0.008314      -0.050822       0.010047
      -0.000270       0.028311       0.037504
      -0.011934       0.006261       0.004460
