INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : SANTA ANITA-LIMA
CODIGO  : SANI
LATITUD : -12.046
LONGITUD: -76.973

2. SISMO
FECHA LOCAL     : 2021/04/19
HORA LOCAL      : 23:53:29
LATITUD         : -12.61
LONGITUD        : -76.87
PROFUNDIDAD     : 44 km
MAGNITUD        : M5
DIST. EPICENTRAL: 63.8 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/04/20 04:53:25  UTC
NUMERO DE MUESTRAS         : 10001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   9.2703     10.2531        8.0996

              Z              N              E
       0.003171      -0.018688      -0.002498
      -0.006104       0.012908      -0.003485
      -0.010721       0.027349      -0.000563
       0.013209       0.016012      -0.003381
       0.032900       0.003894      -0.002389
       0.014343      -0.029947       0.003105
      -0.010703      -0.034030       0.007371
      -0.026295      -0.007251       0.005141
      -0.026037       0.025726       0.005038
       0.002900       0.025872      -0.001123
       0.022972      -0.008199      -0.022621
       0.010185      -0.011965      -0.018447
      -0.003424       0.003900       0.016508
      -0.002199      -0.000551       0.020429
       0.003460      -0.005462      -0.001751
      -0.000720       0.011130      -0.004224
      -0.004923      -0.000090       0.007203
      -0.010185      -0.004197      -0.008213
      -0.004667       0.012111      -0.017982
       0.010980       0.001924      -0.005301
      -0.007189      -0.006114       0.004759
      -0.010715      -0.000566       0.031510
       0.012915       0.006441       0.006931
       0.010920       0.000561      -0.034208
       0.000227      -0.017889      -0.008335
      -0.008829      -0.015819       0.005099
      -0.010374       0.014938      -0.011351
       0.005154       0.031304      -0.013922
       0.013543       0.001912       0.018436
      -0.008107      -0.030328       0.031197
      -0.012748      -0.012771      -0.002997
       0.012081      -0.002742      -0.026147
       0.006563      -0.013698      -0.019783
      -0.011981       0.015488       0.006166
      -0.000387       0.039665       0.011631
       0.007760       0.018071      -0.003983
      -0.003709      -0.021668       0.001107
      -0.000512      -0.025384       0.007964
      -0.000293      -0.002468      -0.001848
      -0.001606      -0.008150       0.002320
       0.009680       0.010819       0.008011
       0.016863       0.029022      -0.006441
       0.005772      -0.005882      -0.006831
      -0.012390      -0.026836      -0.005643
      -0.008848      -0.013233      -0.005960
      -0.018118       0.013368       0.003401
      -0.027505       0.007599       0.007215
      -0.001215       0.006228       0.017945
       0.030446       0.019995       0.002832
       0.028175      -0.003387      -0.009887
       0.013235      -0.008755      -0.003143
       0.006357      -0.008360      -0.023427
      -0.013791      -0.011448      -0.012825
      -0.017803       0.001707       0.009781
      -0.010813       0.014983       0.007837
       0.002379       0.009194       0.004016
       0.008684      -0.014396      -0.005901
      -0.004779      -0.004203      -0.004663
      -0.000904       0.013792      -0.007285
       0.007231       0.004497      -0.004255
      -0.000992      -0.009588       0.008007
      -0.006326      -0.003677       0.005069
       0.001005       0.001643      -0.000649
      -0.009131      -0.007845       0.000861
      -0.017240      -0.002080       0.004997
      -0.003771       0.007444       0.001922
       0.011093       0.014828      -0.006682
       0.015971       0.008869      -0.010696
       0.010503      -0.008528       0.006700
       0.006196      -0.012590       0.019217
      -0.008620      -0.003165      -0.002174
      -0.011523       0.001726      -0.020249
      -0.005346      -0.000564      -0.016538
      -0.009173       0.000401       0.004035
       0.002476      -0.006366       0.021394
       0.007381       0.011735       0.007546
       0.007930       0.020963      -0.006075
       0.010397      -0.004007      -0.005893
      -0.007653      -0.009492      -0.014734
      -0.009741      -0.013021      -0.007548
      -0.000222      -0.004760       0.001856
       0.004722       0.005306      -0.007146
       0.004017       0.007725      -0.000403
      -0.002699       0.008366       0.012104
       0.000215      -0.004080      -0.000676
      -0.008845       0.004343      -0.009312
      -0.012049      -0.004609       0.011950
      -0.001508      -0.017382       0.010629
       0.006121       0.004255      -0.010236
       0.014028       0.013971       0.001871
       0.015612       0.010958       0.001740
       0.010452      -0.009419      -0.008384
      -0.001702      -0.006233       0.000927
      -0.019582       0.000899      -0.009168
      -0.018412      -0.007845      -0.002571
       0.006375       0.001790       0.009337
       0.000556       0.000791       0.004377
      -0.002370       0.013059       0.016566
       0.013219      -0.000710      -0.006748
       0.000230      -0.011923      -0.021987
      -0.001624       0.013374       0.001247
       0.002637       0.004218      -0.006599
       0.010949      -0.005657      -0.009616
       0.005799      -0.011236       0.005970
      -0.019249      -0.006241       0.019056
      -0.001664       0.002236       0.006110
      -0.001302      -0.005734      -0.023779
      -0.021383       0.010177      -0.010170
       0.002677       0.030615       0.012152
       0.028552       0.006405       0.003337
       0.022758      -0.018890      -0.002380
       0.007713      -0.014507       0.006471
      -0.006838      -0.013938       0.002915
      -0.029413      -0.008798      -0.013540
      -0.028291       0.004778      -0.013260
      -0.002204       0.029043       0.004514
       0.015653       0.019968       0.013016
       0.012761      -0.010181       0.001956
       0.007277      -0.003666      -0.009757
       0.009355      -0.012205      -0.001813
      -0.011272      -0.018149       0.000674
      -0.025437      -0.003786       0.000603
      -0.004819       0.019249       0.012184
       0.017333       0.023095      -0.000851
       0.011309      -0.005551      -0.007566
       0.004799       0.003724      -0.000347
       0.010432      -0.004522      -0.005393
      -0.008265      -0.023880      -0.005251
      -0.022452      -0.002985      -0.006142
      -0.008155       0.008474       0.002766
       0.009465       0.014018       0.006677
       0.010793       0.005387      -0.009400
       0.007543      -0.007056      -0.008334
       0.004957       0.001410       0.006299
      -0.005636      -0.000126       0.007622
       0.000109      -0.014807       0.004410
