INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : LA VICTORIA-LIMA
CODIGO  : VICT
LATITUD : -12.086
LONGITUD: -77.022

2. SISMO
FECHA LOCAL     : 2021/04/19
HORA LOCAL      : 23:53:29
LATITUD         : -12.61
LONGITUD        : -76.87
PROFUNDIDAD     : 44 km
MAGNITUD        : M5
DIST. EPICENTRAL: 60.7 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/04/20 04:53:25  UTC
NUMERO DE MUESTRAS         : 10001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   5.6934     7.9650        6.8027

              Z              N              E
       0.000752      -0.003628       0.000003
      -0.001771      -0.005711       0.002182
      -0.001159      -0.001004      -0.004475
       0.001824       0.006269       0.000400
       0.003786      -0.001608       0.004782
       0.000401      -0.001902      -0.005985
      -0.003974      -0.003609       0.002218
      -0.001169       0.000942      -0.005279
       0.003832      -0.003154      -0.001389
       0.002058      -0.001870       0.004462
       0.001924       0.004035      -0.001760
      -0.001083      -0.004287      -0.004247
      -0.002390       0.003917      -0.000527
       0.003395      -0.006018       0.007229
       0.001775      -0.005448      -0.002748
       0.000917       0.003954      -0.003703
      -0.000869       0.001066      -0.002839
       0.000117       0.001304       0.003036
       0.001366      -0.004351       0.001133
       0.002811      -0.004533      -0.003759
       0.001738       0.001352      -0.000004
      -0.002145      -0.000244      -0.005016
       0.005077      -0.000850       0.002219
      -0.002641       0.001034       0.005342
      -0.004190      -0.007796      -0.000227
       0.006221      -0.000359      -0.005165
       0.001343       0.001721      -0.002021
      -0.001208      -0.000683       0.001206
      -0.002115       0.003631      -0.002823
      -0.000142      -0.010628       0.000925
       0.005151      -0.004739       0.000552
      -0.001898       0.007554      -0.001691
      -0.001115       0.000707      -0.001807
       0.006782      -0.004836       0.003474
      -0.002245      -0.005049      -0.000080
      -0.003676       0.005469      -0.008951
       0.003809      -0.000421       0.004708
      -0.000079       0.000039      -0.002029
       0.000375      -0.000417      -0.003399
       0.004807      -0.006086       0.005536
      -0.002805      -0.000511      -0.004515
      -0.002848      -0.004206       0.001877
       0.002453       0.006197      -0.004369
       0.004121      -0.002750      -0.000235
       0.000985      -0.000181       0.004949
      -0.004557      -0.001910      -0.008547
       0.000697      -0.012002       0.001703
       0.002818       0.005954       0.000460
       0.004247       0.005171      -0.001739
       0.002114       0.001783       0.001150
      -0.006141      -0.011826      -0.004084
       0.000568      -0.005020      -0.001022
       0.005858       0.003689      -0.000045
      -0.003208       0.001303      -0.000462
      -0.001057       0.006633      -0.001233
       0.002582      -0.006175      -0.001160
