INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : CHORRILLOS-LIMA
CODIGO  : CHRR
LATITUD : -12.201
LONGITUD: -76.977

2. SISMO
FECHA LOCAL     : 2021/04/25
HORA LOCAL      : 18:50:33
LATITUD         : -15.63
LONGITUD        : -74.66
PROFUNDIDAD     : 44 km
MAGNITUD        : M5.4
DIST. EPICENTRAL: 456.5 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/04/25 23:51:19  UTC
NUMERO DE MUESTRAS         : 16001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   0.6559     0.7990        0.7948

              Z              N              E
       0.005615      -0.046904      -0.008958
       0.042504       0.050782       0.026463
      -0.013804      -0.007329       0.010566
      -0.010832       0.007217      -0.003967
       0.037701       0.011246      -0.011015
       0.024954      -0.016767       0.005298
      -0.025569       0.019843      -0.011563
      -0.044103      -0.006753      -0.005308
       0.062572      -0.011234       0.038835
       0.002778       0.030569      -0.019865
      -0.027117      -0.053268       0.009004
       0.028267       0.023646       0.014907
       0.026311       0.053019      -0.059365
       0.021061      -0.060227      -0.001370
      -0.052296      -0.001306       0.037976
       0.011975       0.066233       0.001927
       0.039610       0.035412      -0.007291
       0.012049      -0.053287      -0.001655
      -0.018710       0.013349       0.033356
       0.003158       0.005815      -0.005717
       0.067539      -0.030246      -0.055109
      -0.042820       0.047514       0.025822
      -0.029375      -0.020286       0.015571
       0.030273      -0.013344      -0.013437
      -0.004099       0.017756       0.019643
      -0.001097      -0.003852      -0.009835
       0.062056       0.018088       0.003904
       0.032966      -0.024795       0.020493
      -0.046689      -0.011733      -0.008917
      -0.003705       0.023812      -0.021839
      -0.004691       0.011617       0.007954
       0.017701       0.026123      -0.005815
       0.040876      -0.028971      -0.036901
       0.005736      -0.005199       0.021321
      -0.041786       0.024931       0.024111
       0.000070       0.007537       0.007052
       0.066793       0.024456       0.015089
      -0.009853       0.001222      -0.019597
      -0.000949       0.008347      -0.017972
       0.020618      -0.050550       0.004073
      -0.022924      -0.002944       0.029980
      -0.006840       0.057007      -0.021302
       0.024035      -0.007191      -0.021958
       0.019781      -0.005640       0.026578
      -0.013888      -0.032511      -0.014000
      -0.005726       0.035690       0.013473
       0.029728       0.017282      -0.003300
       0.021287      -0.070332       0.024856
      -0.018839       0.058722       0.013648
      -0.008471       0.012155      -0.030052
       0.036806      -0.039703      -0.006266
       0.033561       0.035782      -0.033502
      -0.025985      -0.030409       0.020719
      -0.016948       0.010779      -0.001599
       0.048807       0.046422       0.010797
      -0.003367       0.008396       0.041770
