INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : HUAYCAN 1-LIMA
CODIGO  : HYN1
LATITUD : -12.010
LONGITUD: -76.827

2. SISMO
FECHA LOCAL     : 2021/04/25
HORA LOCAL      : 18:50:33
LATITUD         : -15.63
LONGITUD        : -74.66
PROFUNDIDAD     : 44 km
MAGNITUD        : M5.4
DIST. EPICENTRAL: 466.1 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/04/25 23:51:26  UTC
NUMERO DE MUESTRAS         : 18001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   0.5776     0.7654        0.9430

              Z              N              E
       0.039160      -0.001998       0.004730
       0.027199       0.001442      -0.004155
      -0.056777      -0.022699       0.008774
       0.003672       0.012463      -0.008797
       0.052794       0.015937       0.017214
       0.013000      -0.041327       0.002586
      -0.010560      -0.028848      -0.005825
      -0.018782       0.026406       0.019451
       0.029565       0.014552      -0.004095
       0.028037      -0.039784      -0.008407
      -0.011533       0.002572       0.010504
      -0.023700       0.018045       0.004179
      -0.011359      -0.027964      -0.004858
       0.042054      -0.007078       0.007651
       0.032503       0.004011       0.012139
      -0.006954       0.008148      -0.001495
      -0.002582      -0.028056       0.012009
       0.001571      -0.019576       0.010777
       0.001438       0.028054      -0.015622
      -0.022496      -0.008946      -0.000985
      -0.007923      -0.018383       0.000354
       0.054306      -0.024216       0.015498
       0.040711       0.000567       0.011878
      -0.035073       0.017756      -0.016765
      -0.022126      -0.009607       0.018633
       0.039420      -0.009624       0.007729
       0.023775      -0.019163      -0.014491
      -0.010088       0.017107       0.003043
      -0.019676       0.001814       0.008900
       0.007113      -0.039272       0.007306
       0.028590      -0.001317       0.001935
       0.000852       0.007416       0.005899
      -0.016110       0.003533      -0.005987
       0.008907      -0.010402       0.009548
       0.030451      -0.014600       0.021593
       0.011804       0.011241      -0.024740
      -0.009543       0.001357      -0.004235
      -0.005277      -0.013156       0.023472
       0.023666      -0.012624      -0.006259
       0.003893      -0.020021       0.011993
      -0.019657       0.004297       0.008314
       0.010243       0.011893      -0.005157
       0.015421      -0.019798      -0.003189
       0.011873      -0.020033      -0.015952
       0.011164       0.000518       0.023079
       0.009663       0.012812       0.019949
      -0.017160      -0.006874      -0.011808
      -0.011668      -0.000531       0.000865
       0.042657      -0.009924      -0.002857
       0.013184      -0.039138       0.010884
      -0.023318       0.004260       0.009867
      -0.005689       0.024242      -0.000070
       0.012534       0.006740      -0.013290
       0.031789      -0.025154      -0.006810
       0.006841      -0.025057       0.041381
      -0.020735       0.011028      -0.003836
       0.008004       0.005669      -0.027927
       0.013741       0.004898       0.022266
      -0.000917      -0.008885       0.013661
       0.010797      -0.025169      -0.019198
       0.002578      -0.003541      -0.007253
       0.007530      -0.008905       0.029358
       0.007515       0.002130       0.008097
      -0.012561       0.009573      -0.016541
       0.029322      -0.023133       0.003045
       0.032733      -0.013870       0.009559
      -0.029142      -0.013350       0.012877
      -0.031479       0.014455      -0.005868
       0.019199       0.010366       0.001977
       0.040180      -0.033873       0.007452
       0.001847       0.010244      -0.021459
      -0.003054      -0.009027       0.028143
       0.011890       0.002121       0.010368
      -0.015614       0.002231      -0.021059
       0.006541      -0.030996       0.018662
       0.022530       0.037397       0.006386
       0.001626      -0.013501      -0.000217
       0.008021      -0.033576      -0.006443
      -0.006854      -0.004048       0.015157
       0.001613      -0.014508       0.003926
       0.006834       0.022892      -0.026188
       0.002474      -0.009702       0.019643
       0.019187      -0.015518       0.011305
      -0.004220      -0.014744      -0.003417
      -0.000783      -0.012687       0.002618
       0.007210       0.025495      -0.010783
       0.009931      -0.015318       0.008198
       0.021726      -0.012847       0.009280
      -0.011790       0.009815       0.002656
      -0.005212      -0.011720       0.005497
       0.021255      -0.004919       0.013030
       0.014366      -0.009609       0.007436
       0.000230      -0.010930      -0.023954
      -0.010417       0.002036      -0.002269
       0.017353       0.004562       0.016201
       0.020325      -0.001980       0.012360
      -0.001083      -0.010694       0.009419
      -0.004477      -0.001940      -0.012144
      -0.006758       0.000922      -0.007690
