INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : AYACUCHO-AYACUCHO
CODIGO  : AYAA
LATITUD : -13.150
LONGITUD: -74.206

2. SISMO
FECHA LOCAL     : 2021/05/12
HORA LOCAL      : 10:56:56
LATITUD         : -14.28
LONGITUD        : -75.85
PROFUNDIDAD     : 59 km
MAGNITUD        : M5.6
DIST. EPICENTRAL: 217.8 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/05/12 15:57:06  UTC
NUMERO DE MUESTRAS         : 12501
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   0.1481     0.1412        0.1465

              Z              N              E
      -0.001132       0.001033      -0.002500
      -0.002291      -0.002316       0.001533
      -0.000171      -0.000168       0.001667
       0.001973      -0.001591      -0.002709
       0.002868      -0.005842       0.000982
      -0.003117      -0.000447      -0.000178
      -0.003079       0.002345      -0.003192
       0.002669      -0.002024       0.000147
       0.000841      -0.004304       0.003652
      -0.000535       0.002010      -0.000525
       0.004131      -0.000933      -0.004323
      -0.001047       0.002077      -0.002570
       0.001037       0.000821       0.003786
       0.001127      -0.004037       0.003665
      -0.005002       0.001647      -0.004508
       0.002350       0.000894      -0.002281
      -0.000181      -0.001799       0.003634
      -0.000203      -0.002029       0.003224
       0.003242      -0.000258      -0.000535
       0.001764       0.000137      -0.001647
      -0.000175      -0.002713       0.000719
      -0.002112      -0.005147       0.003467
      -0.000561       0.002869       0.002588
       0.001398       0.001211      -0.001994
       0.003511      -0.005911       0.000770
      -0.002618      -0.005520       0.001117
      -0.001135       0.000724      -0.001159
       0.003376       0.006271       0.001540
       0.001331      -0.003628       0.003943
      -0.000350      -0.005546       0.002017
       0.002128      -0.002538      -0.002120
       0.006035       0.005288      -0.002129
       0.001819       0.003914      -0.000726
       0.001463      -0.007316       0.003055
       0.001693      -0.003568      -0.001078
       0.002496       0.001195      -0.004497
       0.001508       0.007198       0.000830
       0.001114      -0.004184       0.003137
       0.002091      -0.009653       0.000872
       0.002692       0.001172      -0.007107
       0.004052       0.004525      -0.004259
      -0.001509       0.000367       0.006142
      -0.004337      -0.008042       0.003360
       0.000080      -0.000884      -0.001331
       0.004034       0.003486      -0.002938
       0.000804       0.000249      -0.000334
       0.001675      -0.003124       0.002501
      -0.002914      -0.001272      -0.004271
      -0.003205      -0.000170      -0.003017
       0.004866      -0.002575       0.004502
       0.000502      -0.002086       0.003025
       0.001541      -0.003248      -0.003462
       0.000554       0.000796      -0.004988
       0.001852       0.000686      -0.000282
       0.003932      -0.000483       0.003338
      -0.003757      -0.000009       0.000794
      -0.001638       0.001113      -0.007063
       0.001077       0.004154      -0.004408
       0.001194       0.004070       0.004431
       0.002279      -0.000761       0.001563
       0.000040      -0.000260      -0.002875
       0.001098      -0.000516      -0.001499
       0.003743      -0.001297       0.003046
      -0.002067       0.002064       0.002711
       0.000297      -0.002390      -0.003105
       0.004824      -0.001501      -0.004214
       0.000938      -0.000239       0.001110
       0.002049      -0.000070       0.002273
       0.000825       0.001329      -0.003827
       0.002972      -0.002405       0.000502
       0.001483      -0.001114       0.001987
      -0.000341      -0.000802       0.000133
       0.000043       0.001780      -0.000896
       0.000645       0.001011      -0.002111
       0.001791      -0.003378       0.003839
      -0.001943       0.000298       0.002564
       0.001218      -0.000230      -0.001105
      -0.002032      -0.001462       0.000644
      -0.002337      -0.000460       0.001604
       0.003503      -0.001150       0.002019
       0.000080      -0.000027       0.000302
      -0.004945      -0.000276      -0.002424
