INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : LURIN-LIMA
CODIGO  : LURN
LATITUD : -12.293
LONGITUD: -76.858

2. SISMO
FECHA LOCAL     : 2021/05/12
HORA LOCAL      : 10:56:56
LATITUD         : -14.28
LONGITUD        : -75.85
PROFUNDIDAD     : 59 km
MAGNITUD        : M5.6
DIST. EPICENTRAL: 246.6 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/05/12 15:57:16  UTC
NUMERO DE MUESTRAS         : 12001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   3.5395     9.9387        10.2508

              Z              N              E
      -0.063459      -0.040134       0.024236
      -0.041264      -0.041938       0.010788
      -0.007093      -0.002599      -0.016770
       0.064955       0.030755       0.053842
       0.051962       0.018595       0.007840
       0.000071       0.044208      -0.001224
      -0.036080       0.023104       0.014025
      -0.047496      -0.038713      -0.004305
      -0.021786      -0.006062       0.026128
       0.016436       0.001138       0.060385
       0.054921       0.003109       0.014283
       0.034887       0.049705      -0.102999
       0.006440       0.056055      -0.045035
       0.008739      -0.001090       0.009123
      -0.015495      -0.016971      -0.034514
      -0.039528      -0.052250      -0.013272
      -0.042548      -0.070605       0.006783
      -0.051122      -0.001932      -0.002994
      -0.024060       0.018301       0.018749
       0.032833       0.003437       0.044231
       0.030101      -0.013330      -0.009432
       0.006245       0.002170       0.001823
       0.017455      -0.002014       0.044819
       0.003493       0.021925       0.008709
      -0.027934       0.060466      -0.014191
      -0.014550       0.012891      -0.008515
       0.002226       0.009100      -0.039892
       0.000033       0.036882      -0.065370
       0.009925       0.018782       0.011779
       0.027043      -0.017797       0.037769
      -0.000478      -0.026413       0.005467
      -0.023656      -0.043490       0.011023
      -0.003648      -0.029629      -0.015352
      -0.024267       0.032598      -0.019106
      -0.003795       0.027697       0.034274
       0.034954      -0.006957       0.039541
       0.015464       0.012455      -0.006201
      -0.017928       0.035024       0.019804
      -0.026058       0.009075       0.020526
      -0.006630       0.004088      -0.048724
      -0.016346       0.001900      -0.032831
       0.032636       0.002185      -0.004229
       0.043168       0.034213      -0.023271
      -0.013940       0.027051       0.021786
       0.025071       0.002841       0.063116
       0.014659      -0.009705      -0.025231
      -0.034329      -0.029028      -0.042089
      -0.012241      -0.025052       0.034419
      -0.008950      -0.001611       0.006836
       0.001573       0.032672       0.023321
       0.035946       0.052944       0.050930
       0.016210       0.043133      -0.023185
      -0.036965       0.054140      -0.040076
      -0.044368       0.009262       0.002673
      -0.013217      -0.028437       0.005118
      -0.003585       0.006861      -0.005489
       0.025030       0.002862       0.010817
       0.055569      -0.003095      -0.016232
       0.023640       0.012957      -0.027074
       0.005028       0.011974       0.015602
      -0.003245      -0.028252      -0.005598
      -0.046658      -0.017738      -0.016300
      -0.064620       0.000488       0.037723
      -0.011237      -0.036491       0.070330
       0.030712       0.005639       0.024416
       0.033256       0.061299      -0.009597
       0.058904       0.049011       0.003384
       0.014096       0.046869      -0.043633
      -0.049355       0.041358      -0.026065
      -0.023998      -0.030015       0.038073
      -0.004109      -0.023663       0.017514
       0.008591       0.037495      -0.010263
       0.024148       0.009601      -0.015928
       0.022531      -0.003160      -0.030110
       0.004336      -0.003916      -0.034763
      -0.003641      -0.043417       0.024788
      -0.018755      -0.047710       0.031189
      -0.040654       0.011988      -0.003825
      -0.004609       0.033693       0.031186
       0.025899      -0.001366       0.012787
       0.032868       0.027215      -0.027350
       0.026327       0.052149       0.009257
       0.011991      -0.004771       0.033162
      -0.005944       0.019839       0.007725
      -0.021176       0.051175      -0.001230
      -0.003741       0.017674      -0.009607
      -0.002476       0.038500      -0.043930
      -0.007777      -0.021383       0.009564
       0.006405      -0.076390       0.054131
      -0.002109      -0.038781      -0.053458
      -0.049328      -0.023752      -0.033662
      -0.037977      -0.002277       0.064921
      -0.009191       0.013498      -0.034023
