INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : MALA-LIMA
CODIGO  : MALA
LATITUD : -12.659
LONGITUD: -76.629

2. SISMO
FECHA LOCAL     : 2021/05/12
HORA LOCAL      : 10:56:56
LATITUD         : -14.28
LONGITUD        : -75.85
PROFUNDIDAD     : 59 km
MAGNITUD        : M5.6
DIST. EPICENTRAL: 199.2 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/05/12 15:57:13  UTC
NUMERO DE MUESTRAS         : 10801
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   4.6410     8.3306        8.6110

              Z              N              E
       0.000103      -0.004650       0.000970
      -0.000593       0.003068      -0.000211
      -0.001276       0.003282      -0.004987
       0.001550       0.000772      -0.002393
       0.001991       0.001134       0.000175
       0.001948      -0.004441       0.001864
       0.000430      -0.004756       0.001499
      -0.000629      -0.000198      -0.000253
       0.003016       0.000183      -0.003439
       0.004255      -0.001029      -0.003620
      -0.004245       0.005089      -0.000276
      -0.000173      -0.000141       0.001059
       0.004142      -0.004757      -0.000496
      -0.000543      -0.002034      -0.001240
      -0.001093       0.000924       0.000033
       0.003065       0.002201      -0.002441
       0.004924      -0.003098      -0.002114
      -0.005823       0.001617       0.002465
      -0.000850      -0.003599       0.001700
       0.008275      -0.001183      -0.004002
      -0.000381       0.004464      -0.000418
      -0.002810      -0.002599      -0.001414
       0.001977      -0.006610      -0.001367
      -0.000124       0.000916       0.004249
       0.000274       0.009760      -0.004721
       0.002868      -0.004063      -0.004580
       0.000395      -0.011172       0.006573
      -0.001439      -0.000412       0.001302
       0.000811       0.009103      -0.009341
       0.003985       0.002251      -0.003007
      -0.001049      -0.005185       0.004294
       0.001858      -0.003268       0.003245
       0.003044       0.002504      -0.004607
      -0.003470      -0.000977      -0.003094
      -0.003007      -0.007554       0.005997
       0.000258       0.000839      -0.002527
       0.005590       0.000213      -0.005303
       0.005569       0.001645      -0.004057
      -0.001715       0.001469       0.000910
      -0.003066      -0.004008       0.007212
       0.003070      -0.003174       0.000257
       0.001141      -0.000400      -0.003470
      -0.002210       0.001197      -0.001734
