INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : MIRAFLORES-LIMA
CODIGO  : MIRA
LATITUD : -12.127
LONGITUD: -77.008

2. SISMO
FECHA LOCAL     : 2021/05/12
HORA LOCAL      : 10:56:56
LATITUD         : -14.28
LONGITUD        : -75.85
PROFUNDIDAD     : 59 km
MAGNITUD        : M5.6
DIST. EPICENTRAL: 270.6 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/05/12 15:57:20  UTC
NUMERO DE MUESTRAS         : 12001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   1.9545     2.7612        2.5845

              Z              N              E
       0.004447      -0.002580      -0.001299
      -0.001633       0.013264       0.002429
       0.004275      -0.002641      -0.007715
      -0.010497      -0.011133       0.002325
       0.005300       0.005403      -0.011023
       0.007817      -0.011308      -0.016345
      -0.007069      -0.006822       0.027603
       0.016640       0.000732       0.001872
       0.011538       0.002936      -0.017084
      -0.024153       0.003409       0.005153
       0.012963      -0.000803       0.000318
       0.039422       0.001544      -0.019893
      -0.016221      -0.007371      -0.001781
      -0.035191      -0.001727       0.012666
       0.015003       0.006809      -0.005020
       0.031675       0.004032      -0.003283
      -0.008063      -0.002391      -0.012719
      -0.011055      -0.016037      -0.000915
       0.012213      -0.000934       0.008282
       0.008668       0.005441      -0.003188
      -0.002887      -0.001789      -0.005649
      -0.001106       0.001061       0.009624
       0.012333      -0.015049      -0.001115
       0.004479       0.007903      -0.016085
       0.001722       0.007558       0.003128
       0.005086      -0.017874      -0.000790
      -0.009019       0.010018      -0.004786
       0.009448      -0.006354      -0.015796
       0.013195      -0.001643       0.017774
      -0.006406       0.011570      -0.007239
       0.003287      -0.013163      -0.018980
      -0.002915       0.009600       0.034696
       0.016130       0.002365      -0.012821
       0.018276      -0.018033      -0.016553
      -0.012747      -0.009710      -0.010012
       0.009671       0.015466       0.003584
       0.002472       0.003042       0.001367
      -0.009020      -0.018396      -0.002323
       0.000766       0.013016       0.016195
       0.006948       0.002737      -0.026070
