INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : CHORRILLOS-LIMA
CODIGO  : MSOL
LATITUD : -12.183
LONGITUD: -77.031

2. SISMO
FECHA LOCAL     : 2021/05/12
HORA LOCAL      : 10:56:56
LATITUD         : -14.28
LONGITUD        : -75.85
PROFUNDIDAD     : 59 km
MAGNITUD        : M5.6
DIST. EPICENTRAL: 266.2 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/05/12 15:57:18  UTC
NUMERO DE MUESTRAS         : 12001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   0.7639     2.0257        1.6573

              Z              N              E
       0.000069      -0.000310       0.001123
      -0.000391      -0.000554       0.000122
       0.000413       0.000283       0.000735
      -0.000025      -0.000437      -0.000410
      -0.000773      -0.000902       0.000839
       0.000468      -0.000790       0.002029
       0.000174       0.000287      -0.001657
      -0.000401      -0.000259      -0.000308
       0.000039      -0.000830       0.000229
       0.000721       0.000330      -0.000375
       0.000394      -0.000228       0.001180
      -0.001207      -0.000250      -0.000278
       0.000704      -0.000146       0.001379
       0.000891       0.000046       0.001037
      -0.000969      -0.000165      -0.001264
       0.000203      -0.000404       0.001280
       0.000641      -0.000069       0.000025
       0.000180      -0.000474      -0.000009
      -0.000324      -0.000187       0.001242
       0.000621      -0.000699       0.000043
       0.000464      -0.000115       0.000332
      -0.001066       0.000196       0.000616
      -0.000243      -0.000375       0.001429
       0.000598      -0.000484       0.000823
      -0.000364      -0.000616       0.000032
      -0.000391      -0.000056       0.001086
       0.000818      -0.000323       0.000383
      -0.000039      -0.000521      -0.000299
      -0.000525      -0.000175       0.001117
       0.000074       0.000239       0.001065
       0.000730      -0.000472       0.000112
       0.000356      -0.000805       0.000539
      -0.000407      -0.000279       0.001053
       0.000730      -0.000960       0.000518
       0.000414      -0.000242      -0.000816
      -0.000729       0.000288       0.000592
      -0.000117      -0.000659       0.001464
       0.000538      -0.000868       0.000238
      -0.000694      -0.000263      -0.000257
      -0.000981       0.000269       0.000317
       0.001590      -0.000616       0.001495
       0.000364      -0.000900      -0.000190
      -0.001521       0.000226      -0.000087
       0.000506       0.000087       0.001149
       0.000750      -0.000701      -0.000797
      -0.000510      -0.000096       0.000113
      -0.000898       0.000559       0.000487
       0.000412      -0.000228      -0.000259
       0.000461      -0.001355       0.001593
      -0.001257      -0.000265       0.001068
       0.000217       0.000250       0.000769
       0.000871      -0.001448       0.001133
      -0.000398      -0.000944       0.000755
      -0.000054       0.000770       0.001173
       0.000408      -0.000216      -0.000494
       0.000114      -0.001739       0.000726
      -0.000282      -0.000099       0.001939
      -0.000431       0.001272      -0.001179
       0.000802      -0.001014       0.000281
       0.000343      -0.002033       0.001602
      -0.000523       0.000229       0.000802
       0.000432       0.000548       0.000227
       0.000163      -0.001295      -0.000284
       0.001101      -0.000863       0.002104
       0.000174       0.000094       0.000362
      -0.000476      -0.000592      -0.000579
       0.000191      -0.001452       0.001236
      -0.000259      -0.000443       0.000319
       0.000716       0.000628       0.000343
      -0.000280      -0.000923      -0.000343
      -0.000395      -0.001130       0.000903
       0.000259       0.000744       0.001170
      -0.000331       0.000949      -0.001195
       0.000229      -0.001334       0.000857
       0.000748      -0.001196       0.001334
      -0.000039       0.000319      -0.000003
      -0.000179      -0.001007       0.000756
       0.000203      -0.001255       0.000772
       0.000392       0.000248       0.000573
      -0.000068       0.000949      -0.000081
      -0.000581      -0.000548       0.001145
       0.000973      -0.000863       0.001279
      -0.000290       0.000299      -0.001478
      -0.000537      -0.000564       0.000588
       0.001199      -0.001495       0.001533
       0.000133      -0.000898      -0.001105
      -0.000353      -0.000475       0.000256
      -0.000228      -0.001198       0.001597
       0.000828      -0.000809       0.000439
      -0.000236      -0.000089      -0.000767
      -0.000739       0.000287       0.000221
       0.001488      -0.000475       0.001465
       0.000426      -0.000480      -0.000887
      -0.000770       0.000451      -0.000236
      -0.000180      -0.000387       0.001441
       0.000758      -0.000641      -0.000190
       0.000828      -0.000572       0.000722
      -0.000382      -0.000007       0.000477
      -0.000011      -0.000378       0.000473
       0.000933      -0.000740       0.001259
      -0.000148      -0.000045      -0.000836
      -0.000072      -0.000779       0.000671
       0.000766      -0.000732       0.000351
       0.000299      -0.000865       0.000413
      -0.000164      -0.000700       0.001186
      -0.000166      -0.000032      -0.001096
       0.001263      -0.000848       0.001258
       0.000011      -0.000722       0.000260
      -0.001165      -0.000088      -0.000377
       0.000717      -0.000293       0.001584
      -0.000406      -0.000779      -0.000639
      -0.000513      -0.000623       0.000835
       0.000575       0.000331       0.000998
      -0.000400      -0.000552      -0.000938
       0.000149      -0.001916       0.001505
      -0.000406      -0.000502       0.001154
       0.000160      -0.000484      -0.000123
       0.000277      -0.001583       0.000168
      -0.000484      -0.000644       0.000407
       0.000866       0.000359       0.001182
      -0.000544      -0.000624      -0.001171
      -0.000898      -0.001674       0.000854
      -0.000193      -0.000274       0.001710
      -0.000286      -0.000222      -0.001555
      -0.000111      -0.001358       0.000811
      -0.000907      -0.000359       0.000205
       0.000072       0.000605       0.000117
       0.000401      -0.000543       0.000337
      -0.000481      -0.001244      -0.000028
      -0.000303      -0.000473       0.002376
      -0.000157      -0.000573       0.000252
      -0.000368      -0.001345       0.000555
      -0.000583      -0.001051       0.002140
      -0.000091       0.000522      -0.000313
       0.000477      -0.000234       0.000426
      -0.000084      -0.001468       0.001126
      -0.000972      -0.000234      -0.000359
      -0.000181       0.000246       0.000119
      -0.000110      -0.001337       0.000249
      -0.000021      -0.001738       0.000385
       0.000416       0.000222       0.000178
      -0.000973       0.000091      -0.000550
      -0.000078      -0.001837       0.002116
       0.000385      -0.001076       0.000772
      -0.001063       0.000598      -0.001255
      -0.000515      -0.000489       0.001330
      -0.000003      -0.001358       0.000868
       0.000232      -0.000108       0.000481
      -0.001043       0.000272      -0.000157
      -0.000269      -0.001009       0.000438
       0.001292      -0.001203       0.001766
      -0.001009       0.000557      -0.001380
      -0.000892      -0.000435       0.000856
       0.000213      -0.001357       0.002077
      -0.000080       0.000035      -0.001607
      -0.000219       0.000029       0.000123
      -0.000903      -0.000756       0.000430
       0.000265      -0.001124       0.000623
      -0.000070      -0.000082       0.000400
      -0.001405       0.000191      -0.001256
       0.000384      -0.000493       0.001201
       0.000395      -0.000612       0.000429
      -0.000519      -0.000691       0.000382
      -0.000898      -0.000719       0.001342
      -0.000497      -0.000443      -0.000478
       0.000667      -0.000455       0.000320
      -0.000425      -0.000703       0.000144
      -0.000037      -0.000290       0.000722
      -0.000066      -0.000574       0.000734
      -0.001017      -0.000294      -0.000130
       0.000051      -0.000532       0.001875
       0.000764      -0.000493      -0.000021
      -0.000325       0.000010      -0.000967
      -0.001113      -0.000228       0.001663
      -0.000026       0.000193       0.000016
      -0.000171      -0.000362      -0.000538
      -0.001045      -0.000347       0.000853
      -0.000134      -0.000749       0.000507
       0.000576      -0.000739       0.000973
      -0.000991      -0.000336      -0.000464
      -0.000561      -0.000802       0.001430
       0.000948      -0.000708       0.001922
      -0.000613      -0.000667      -0.001494
      -0.000431      -0.000373       0.001074
      -0.000407      -0.001208       0.000569
      -0.000249      -0.000700      -0.000100
       0.000005       0.000023       0.000799
      -0.001433      -0.000439      -0.000660
       0.000850      -0.001015       0.000942
       0.000363      -0.001015       0.000158
      -0.001523      -0.000556       0.000171
      -0.000344      -0.001257       0.000801
      -0.000133      -0.000706      -0.000135
       0.000229      -0.000438       0.000803
      -0.000859      -0.000663      -0.000086
      -0.000175      -0.000743       0.000233
       0.000237      -0.000735       0.000587
      -0.001169      -0.000060      -0.000685
       0.000125      -0.000399       0.000599
       0.000379      -0.000805      -0.000291
      -0.000727      -0.000828      -0.000195
      -0.000999       0.000179       0.001692
      -0.000066      -0.000040       0.000093
      -0.000017      -0.000907      -0.000350
      -0.000540      -0.000310       0.000575
       0.000214      -0.000317       0.000911
       0.000187      -0.000642      -0.000247
      -0.000927      -0.000900       0.000613
      -0.000260       0.000005       0.002219
       0.000564       0.000069      -0.000554
      -0.000439      -0.000547      -0.000401
      -0.000418      -0.000695       0.001712
       0.000187      -0.000714       0.000598
       0.000030       0.000020      -0.000367
      -0.000253      -0.000923       0.000587
       0.000697      -0.000791       0.001354
       0.000517       0.000013       0.000467
      -0.000618       0.000071       0.000374
      -0.000342      -0.000853       0.001257
       0.000045      -0.000857      -0.000414
       0.000621      -0.000096      -0.000184
      -0.000599      -0.000985       0.001105
      -0.000523      -0.001187      -0.000157
       0.000616      -0.000895       0.001066
      -0.000516       0.000050       0.000471
      -0.000026      -0.000309       0.000402
       0.000297      -0.000552       0.000503
       0.000163      -0.000342      -0.000524
       0.000075      -0.001190       0.002029
      -0.000852      -0.000682       0.000429
       0.000611      -0.000494      -0.000893
       0.000511      -0.000629       0.001097
      -0.000912      -0.000291      -0.000186
       0.000490      -0.000460       0.000421
      -0.000450      -0.000527      -0.000028
      -0.001163       0.000205       0.000163
       0.000911       0.000184       0.001900
      -0.000163      -0.000464      -0.001354
      -0.001017      -0.001173       0.000218
      -0.000279      -0.001273       0.002565
       0.000176      -0.000435      -0.000320
      -0.000100      -0.000601      -0.000175
      -0.000460      -0.000457       0.001167
       0.000405       0.000114       0.001590
      -0.000172       0.000262       0.000215
      -0.000724      -0.000102       0.000538
       0.000069      -0.000567       0.001238
       0.000502      -0.000116      -0.000708
       0.000234      -0.000531       0.000499
      -0.000597      -0.000939       0.001005
      -0.000583      -0.000438       0.000546
      -0.000064      -0.000557       0.001020
      -0.000183      -0.000447       0.000525
      -0.000312      -0.000137       0.001027
      -0.000049      -0.000218       0.000483
      -0.000357      -0.000420       0.000698
      -0.000529      -0.000420       0.000738
       0.000312      -0.000084      -0.000278
       0.000757      -0.001089       0.000466
      -0.000359      -0.001926       0.001094
      -0.000299      -0.000685       0.001320
       0.000026      -0.000905       0.000915
      -0.000923      -0.001663       0.000492
       0.000113      -0.000587       0.001759
       0.000815       0.000601       0.000737
      -0.000192       0.000365      -0.000255
      -0.000558      -0.000703       0.001240
       0.000284      -0.000005       0.000242
       0.000780      -0.000029      -0.000741
      -0.000655      -0.000720      -0.000812
      -0.000055      -0.000652       0.000923
       0.000972      -0.001183       0.001293
      -0.000551      -0.000300      -0.000703
      -0.000832       0.000148       0.000824
       0.000418      -0.000749       0.000538
       0.000681      -0.000619      -0.000187
      -0.000770       0.000285       0.000658
      -0.000805      -0.000063       0.001134
       0.001080      -0.001339       0.000823
       0.000247      -0.000268       0.000007
      -0.000739       0.000208       0.000997
       0.000196      -0.001108       0.000973
       0.000243      -0.001426       0.001564
      -0.000344      -0.000800       0.001267
      -0.000402      -0.000096      -0.000503
       0.001022      -0.000630       0.000577
       0.000314      -0.000762       0.000613
      -0.000479      -0.000205       0.000409
       0.000004       0.000502       0.000474
      -0.000230       0.000331      -0.000278
       0.000289      -0.000619       0.001237
       0.000321      -0.000196       0.000797
