INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : CHIMBOTE 2-ANCASH
CODIGO  : CBTB
LATITUD : -9.065
LONGITUD: -78.618

2. SISMO
FECHA LOCAL     : 2021/06/22
HORA LOCAL      : 21:54:18
LATITUD         : -12.77
LONGITUD        : -76.91
PROFUNDIDAD     : 32 km
MAGNITUD        : M5.8
DIST. EPICENTRAL: 452.7 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/06/23 02:54:36  UTC
NUMERO DE MUESTRAS         : 26488
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   0.8064     2.1458        3.1822

              Z              N              E
       0.000689      -0.000533       0.000162
       0.000675      -0.001369       0.001612
       0.000030       0.002151      -0.000071
       0.000084      -0.001646      -0.002031
       0.000036      -0.000223       0.003270
       0.000782      -0.000284      -0.000997
       0.002529       0.003603       0.004659
      -0.000721       0.000627      -0.003263
      -0.001755      -0.002026      -0.000023
      -0.000557       0.000900      -0.000769
      -0.000532      -0.000890      -0.001251
       0.000707       0.000915       0.003726
       0.000022      -0.001564      -0.003515
       0.000756       0.001687       0.002190
       0.001253       0.000204      -0.002458
      -0.000625       0.001058      -0.000931
      -0.000498       0.000860      -0.002950
       0.002022       0.001684       0.003709
       0.001834       0.000079       0.001005
       0.000041      -0.002008      -0.002624
       0.000032       0.001501       0.002640
      -0.000546      -0.002157      -0.001661
       0.000710       0.003637       0.001543
       0.000019       0.000706       0.000897
       0.000756       0.001122       0.003980
       0.001242      -0.000599      -0.001915
      -0.001277      -0.002556      -0.001476
      -0.001115       0.002793      -0.001763
       0.000051      -0.000960       0.001861
       0.000113       0.002266       0.004280
       0.001941      -0.001747      -0.004187
      -0.000722       0.000592       0.002353
      -0.001062       0.001355      -0.000019
       0.001956      -0.002129      -0.000205
      -0.000057      -0.000332       0.001384
      -0.000507      -0.002847       0.000321
       0.000683      -0.001461       0.002050
       0.000017      -0.000260      -0.001090
      -0.001252       0.000302      -0.000351
      -0.001093      -0.000258      -0.001032
       0.001995       0.001578       0.001654
       0.000550      -0.001014       0.001955
      -0.001201       0.001107      -0.001688
      -0.001206       0.000817      -0.000295
      -0.001150       0.001108       0.000867
       0.000751       0.002048       0.000196
       0.000603      -0.000889       0.000298
      -0.000549       0.000921       0.001473
       0.000691      -0.000885      -0.000466
      -0.000625       0.002906      -0.000314
       0.000817      -0.000487       0.000867
       0.002502       0.000485       0.000226
      -0.000034      -0.001183       0.001590
       0.000116      -0.002563       0.001325
       0.000638       0.002156      -0.002899
      -0.000596      -0.001567       0.002372
      -0.000571       0.002300       0.000539
      -0.000541      -0.001772      -0.002007
       0.000699       0.000637       0.005307
      -0.000661       0.001966      -0.000660
      -0.001153      -0.001443       0.000490
      -0.000592       0.002207       0.001299
      -0.001189      -0.000346      -0.001553
       0.000123       0.000976       0.000845
       0.000636      -0.000988      -0.001643
      -0.000591       0.000404       0.001626
       0.000081      -0.001020      -0.000597
       0.000054       0.001174      -0.002118
       0.001352       0.002000       0.001545
      -0.000100      -0.002151      -0.001164
      -0.002449       0.001707      -0.001485
      -0.001804       0.001533       0.000835
      -0.001134       0.002228      -0.000948
       0.000043      -0.000487       0.003488
      -0.001239      -0.002094      -0.000632
      -0.000493      -0.000272       0.001207
       0.001352       0.000400       0.003131
       0.001907       0.001548      -0.000895
       0.000592      -0.000357       0.001334
      -0.000565      -0.000246      -0.005408
       0.000713       0.001674       0.002463
      -0.000703       0.002110      -0.000059
      -0.002421      -0.000299       0.000553
      -0.000495       0.002294       0.001201
       0.000703       0.000132      -0.002676
       0.000619      -0.002127       0.003387
      -0.001253      -0.000223      -0.002422
      -0.000482       0.001674       0.000477
       0.001313       0.002787       0.000098
      -0.000047       0.000217      -0.000227
      -0.001180      -0.000903       0.002152
       0.000089      -0.000285       0.002812
       0.000017      -0.000953       0.002701
