INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : MAGDALENA DEL MAR-LIMA
CODIGO  : MAGD
LATITUD : -12.095
LONGITUD: -77.072

2. SISMO
FECHA LOCAL     : 2021/06/22
HORA LOCAL      : 21:54:18
LATITUD         : -12.77
LONGITUD        : -76.91
PROFUNDIDAD     : 32 km
MAGNITUD        : M5.8
DIST. EPICENTRAL: 77.2 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/06/23 02:54:25  UTC
NUMERO DE MUESTRAS         : 5587
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   61.4886     54.3277        48.2496

              Z              N              E
      -0.006855      -0.012672      -0.000982
       0.001525       0.007608       0.006264
      -0.003723       0.004340      -0.001973
      -0.007267      -0.002626       0.005112
       0.001446      -0.003187      -0.001299
       0.000689       0.001649       0.004987
       0.004397       0.006094       0.004940
       0.004129       0.001331      -0.010566
      -0.004934       0.000176       0.013293
      -0.003872      -0.000650      -0.001933
       0.003867       0.001300      -0.001815
      -0.005315      -0.002954       0.008885
      -0.004313       0.002504      -0.004133
      -0.005379       0.001855       0.000956
      -0.003973       0.001669       0.000799
       0.003040       0.000208       0.002113
      -0.000855       0.003191       0.000621
       0.001192       0.002592      -0.000375
      -0.005897      -0.004939       0.002494
      -0.003450       0.000669      -0.005381
       0.000052      -0.004444       0.002261
      -0.003338       0.006908       0.004080
       0.001482       0.004299      -0.000460
      -0.008948      -0.005674       0.003332
       0.007438       0.008678       0.003094
      -0.001719       0.000749       0.003681
      -0.013920      -0.001834      -0.005929
       0.004494      -0.003980       0.002429
      -0.008048      -0.003162       0.007124
       0.003491       0.002888       0.003524
       0.000020      -0.000080      -0.000720
      -0.004677       0.011888      -0.007786
       0.002118      -0.000018       0.006300
      -0.007822      -0.008873       0.005175
       0.000748      -0.000370      -0.002912
       0.002578       0.009316      -0.000725
       0.002286       0.010652       0.004451
      -0.004181      -0.012997       0.001230
      -0.008256      -0.004421      -0.004891
      -0.001395       0.011697      -0.002926
      -0.000912       0.005776       0.006548
       0.004489      -0.009906       0.013274
      -0.001381      -0.003238      -0.006883
      -0.004526       0.015353      -0.009243
      -0.003092      -0.002953       0.009451
      -0.005403       0.000032       0.003071
      -0.003444       0.004542       0.003336
      -0.005458      -0.003963      -0.001430
       0.000531      -0.001446       0.003512
       0.004165       0.002744       0.010119
      -0.002816       0.000165      -0.007410
      -0.002001      -0.006401       0.003852
      -0.000303       0.008042       0.000166
      -0.004218       0.002600       0.003185
       0.003256      -0.006116       0.003181
      -0.002856       0.002589      -0.003374
       0.004348       0.010738       0.006772
       0.003127      -0.001694       0.000861
      -0.012017      -0.008160       0.005193
      -0.000174       0.006800      -0.002535
      -0.006160       0.000838       0.005355
       0.001042       0.007392       0.000028
      -0.003726      -0.002593      -0.003923
      -0.005462      -0.005755      -0.000983
       0.006516       0.002962      -0.003037
      -0.003346      -0.003381       0.013474
