INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : VENTANILLA-LIMA
CODIGO  : PAVE
LATITUD : -11.832
LONGITUD: -77.154

2. SISMO
FECHA LOCAL     : 2021/06/22
HORA LOCAL      : 21:54:18
LATITUD         : -12.77
LONGITUD        : -76.91
PROFUNDIDAD     : 32 km
MAGNITUD        : M5.8
DIST. EPICENTRAL: 107.8 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/06/23 02:54:26  UTC
NUMERO DE MUESTRAS         : 7125
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   61.0668     84.1595        63.7937

              Z              N              E
      -0.006764       0.024103       0.008395
      -0.015208      -0.007362       0.006572
       0.007090      -0.018852      -0.016523
       0.014426       0.054996      -0.004339
      -0.013935       0.020626      -0.005683
       0.011430      -0.028334      -0.014473
       0.016636      -0.012938      -0.008058
      -0.003994       0.004724       0.004128
       0.007162       0.010067       0.011181
      -0.014143      -0.013197      -0.003948
      -0.003092      -0.008639      -0.008327
       0.006960       0.003662      -0.013419
       0.015096       0.010371       0.001514
      -0.001150      -0.005317       0.008673
      -0.007046      -0.011314       0.006030
       0.009458       0.015118       0.018079
      -0.034222      -0.010387      -0.004855
       0.007205      -0.024428      -0.009749
       0.037100       0.004401       0.001878
      -0.005065       0.006540       0.008997
      -0.016099      -0.010600      -0.004037
      -0.004077      -0.003919      -0.015299
       0.002920       0.009729       0.014684
      -0.008642      -0.011554       0.005975
       0.006243      -0.002948      -0.006749
      -0.003229       0.017459       0.000604
       0.007337      -0.012024      -0.006443
       0.018002      -0.014822      -0.005309
      -0.011172       0.000596       0.003800
      -0.008886      -0.003863       0.011719
      -0.013890       0.008894       0.009472
      -0.012272      -0.006939      -0.004498
       0.013372      -0.027226      -0.018468
       0.034393       0.023602      -0.005858
       0.004589       0.014147      -0.000169
      -0.020337      -0.023697      -0.002992
      -0.003002       0.023877       0.003435
      -0.009071       0.002668      -0.006572
       0.006670      -0.023696       0.005895
       0.018323       0.010201       0.014997
      -0.007523      -0.011766      -0.013431
       0.004377      -0.005556      -0.009087
       0.014816       0.013622       0.013595
      -0.004712      -0.003721      -0.007291
       0.007448       0.009838      -0.012881
       0.008700       0.019478       0.009570
      -0.010352      -0.006961      -0.000036
      -0.008372      -0.019408      -0.011325
      -0.000625      -0.006295      -0.001720
      -0.005743      -0.002654      -0.006642
      -0.004094       0.004297       0.000129
       0.014919       0.002509       0.020671
      -0.001429      -0.009292       0.004376
       0.004251       0.003369      -0.004886
       0.021842      -0.000227      -0.000034
      -0.028739      -0.027549      -0.010797
      -0.022572      -0.008893      -0.009523
       0.012086       0.016421       0.006876
      -0.002317      -0.000042       0.004495
       0.012244       0.006354      -0.001683
       0.013725       0.015662       0.007759
      -0.004146      -0.004033      -0.005658
       0.002866      -0.007330      -0.012630
       0.007432      -0.009383      -0.006726
      -0.003918      -0.013583       0.005254
      -0.024578      -0.004636       0.012960
      -0.009432      -0.000091      -0.005637
       0.024859       0.004277      -0.003480
       0.019847      -0.006118      -0.004246
       0.008708      -0.013955      -0.010158
      -0.000556       0.004348      -0.000242
      -0.003551       0.007569       0.005819
      -0.006130      -0.002740       0.011907
      -0.011326       0.001385       0.005344
      -0.001006       0.004529      -0.001168
      -0.001452      -0.001642       0.005149
       0.006253      -0.002129      -0.006403
       0.001758      -0.000662      -0.011647
       0.000875       0.002780       0.004663
      -0.001284       0.001350      -0.004025
      -0.007850      -0.003906      -0.011981
       0.002540      -0.012447      -0.001360
      -0.006962      -0.015590       0.000137
       0.016554       0.013128       0.003837
       0.006497       0.015644       0.003948
      -0.009322      -0.001559      -0.000859
       0.008312       0.006373      -0.005068
      -0.011421      -0.009617      -0.013549
       0.009513      -0.009873       0.001779
       0.020823       0.006224       0.011709
      -0.003211      -0.007577       0.001074
      -0.017151       0.003886       0.004362
      -0.001333       0.008574       0.003839
       0.022505      -0.013705      -0.005354
       0.016291      -0.001244      -0.009469
       0.002245       0.001602      -0.005099
      -0.026314      -0.008711      -0.004237
      -0.024048       0.008290       0.002534
      -0.001713       0.009057       0.008899
       0.020987      -0.017829      -0.007617
       0.027575      -0.021742      -0.013637
      -0.000377       0.015812       0.005852
      -0.015233       0.006159       0.000864
      -0.005274      -0.019344      -0.017729
       0.002462       0.004658       0.000116
      -0.003079       0.002487       0.003083
      -0.003920      -0.007619      -0.007053
      -0.010769      -0.003209       0.002763
       0.012511      -0.015960       0.005798
       0.017614      -0.000901       0.002488
      -0.014853       0.024979      -0.000547
      -0.002155       0.001117      -0.003918
       0.007245      -0.007640       0.003421
      -0.001243      -0.004228       0.004964
      -0.014129      -0.005209      -0.004144
       0.001207       0.015442       0.013199
       0.011704       0.013151       0.009554
      -0.004678      -0.001648       0.006210
       0.018712      -0.001408       0.005674
       0.001245       0.004220      -0.006607
      -0.007592       0.001621       0.005605
       0.016438      -0.010900      -0.000206
      -0.016194      -0.017916      -0.002066
      -0.013948      -0.007121      -0.018163
       0.011092       0.012492      -0.016837
      -0.005971       0.008845      -0.003744
      -0.008522      -0.025392      -0.012236
       0.009777      -0.015875      -0.003760
       0.005365       0.018931      -0.006517
       0.013580      -0.001757       0.006107
       0.029867      -0.013258       0.001249
       0.000871      -0.004008      -0.004845
      -0.014500       0.006832       0.001793
      -0.003799       0.018133      -0.011102
      -0.000997      -0.002403       0.003631
