INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : SAN ISIDRO-LIMA
CODIGO  : SNIS
LATITUD : -12.102
LONGITUD: -77.033

2. SISMO
FECHA LOCAL     : 2021/06/22
HORA LOCAL      : 21:54:18
LATITUD         : -12.77
LONGITUD        : -76.91
PROFUNDIDAD     : 32 km
MAGNITUD        : M5.8
DIST. EPICENTRAL: 75.5 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/06/23 02:54:24  UTC
NUMERO DE MUESTRAS         : 5853
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   36.3533     70.2589        64.7760

              Z              N              E
       0.010592      -0.001265      -0.011760
       0.002562       0.012871       0.001830
      -0.004101      -0.018252      -0.010778
      -0.001133      -0.005267       0.000442
      -0.003035       0.006694       0.015850
      -0.001389      -0.009441      -0.022433
       0.003888       0.014650       0.008289
      -0.003575      -0.012195      -0.000318
       0.002790       0.000082       0.005265
      -0.004399       0.002832       0.001726
      -0.000191      -0.014184      -0.024370
       0.017387       0.020290       0.004917
      -0.006790      -0.012215      -0.004471
      -0.000813      -0.003817       0.014190
      -0.004631       0.003434       0.004199
      -0.012549      -0.019629      -0.008634
       0.004579       0.007677      -0.007081
       0.003210       0.012335      -0.007632
       0.006020      -0.004662       0.009049
       0.000831      -0.010838      -0.004132
      -0.001460      -0.009125       0.002306
       0.003648       0.008893      -0.002231
      -0.000121       0.012740      -0.001258
      -0.000721      -0.014178      -0.009190
      -0.001010       0.000761       0.001965
      -0.005262      -0.007563       0.009597
       0.005239      -0.012370      -0.012687
       0.005278       0.013069       0.005846
      -0.001073       0.003145      -0.001611
       0.002288       0.003937      -0.000756
      -0.003703      -0.007371      -0.003506
      -0.001349      -0.003241      -0.008513
       0.000686      -0.003172      -0.001904
      -0.001259      -0.009117      -0.000980
      -0.002128       0.001825       0.004793
       0.005227      -0.001036      -0.008147
       0.001568       0.002554       0.002366
      -0.004050       0.002505      -0.000751
       0.003628      -0.001014      -0.004278
      -0.001510      -0.010570       0.004741
       0.002660       0.000044      -0.004226
       0.000271       0.001110      -0.013253
      -0.008939      -0.006051      -0.003160
       0.000662       0.003944       0.004951
       0.007547      -0.011091       0.001475
       0.002768       0.003591       0.011649
      -0.006439      -0.000540      -0.009083
      -0.002649      -0.005857      -0.009896
       0.006794       0.008829      -0.000121
       0.001270      -0.012362      -0.002857
       0.001029       0.008237       0.010518
      -0.001131       0.003950      -0.009976
      -0.003258      -0.012341      -0.006122
       0.005284       0.001697       0.000143
      -0.002463      -0.000526      -0.000507
      -0.002098      -0.006733       0.005576
      -0.003967      -0.009932      -0.006548
      -0.000161       0.008694       0.004812
       0.011399       0.000446      -0.013389
       0.000748       0.001116      -0.005460
       0.000191      -0.001940       0.012986
      -0.004583      -0.008758      -0.002285
      -0.007332       0.005356      -0.001035
       0.000877      -0.005380      -0.010553
       0.005128       0.005792       0.002338
       0.002452      -0.004995       0.003437
       0.003225      -0.012752      -0.004917
      -0.004999       0.010105      -0.003167
      -0.004977      -0.002316       0.001866
       0.007145      -0.001577      -0.005534
      -0.001910      -0.000121      -0.006246
       0.007484      -0.014023       0.004548
      -0.005802       0.011754      -0.000297
      -0.003961      -0.005070       0.002830
       0.003845      -0.010898      -0.012666
      -0.005243       0.012919      -0.000310
       0.012472      -0.013188       0.000449
      -0.007292       0.010303       0.001829
      -0.005548      -0.007292      -0.006957
       0.002328      -0.006906      -0.008799
       0.000349       0.012775       0.016663
       0.007016      -0.015146      -0.008596
      -0.003401       0.008340       0.002109
       0.004326      -0.006314      -0.006486
      -0.004294      -0.003500      -0.009615
      -0.005322      -0.002253       0.007165
       0.001590      -0.006026      -0.000042
       0.002398       0.010494       0.001468
       0.004176       0.001643      -0.007396
      -0.005804       0.000260      -0.002789
       0.000856      -0.015264       0.003200
       0.003315       0.000814       0.001047
      -0.001033       0.006168      -0.002991
      -0.000013      -0.009916       0.000883
      -0.000473       0.002384      -0.004593
       0.003196       0.001728      -0.004467
      -0.002546      -0.005851       0.007323
