INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : TOQUEPALA-TACNA
CODIGO  : TOQA
LATITUD : -17.300
LONGITUD: -70.643

2. SISMO
FECHA LOCAL     : 2021/07/09
HORA LOCAL      : 00:05:28
LATITUD         : -20.56
LONGITUD        : -69.02
PROFUNDIDAD     : 135 km
MAGNITUD        : M5
DIST. EPICENTRAL: 401.1 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/07/09 05:06:05  UTC
NUMERO DE MUESTRAS         : 15001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   0.4267     1.0232        0.9960

              Z              N              E
      -0.000030       0.000231      -0.001633
       0.000040      -0.000335       0.000522
      -0.000019      -0.000231       0.000800
      -0.000659       0.000251      -0.001144
      -0.001405       0.000970      -0.000174
      -0.000532       0.002060       0.000300
      -0.001206      -0.000520      -0.000777
      -0.000835      -0.001196      -0.000121
      -0.000768       0.000668       0.000588
       0.000008       0.000134      -0.001614
       0.000213       0.001178      -0.000579
      -0.000876       0.000606       0.000329
      -0.000216       0.000084      -0.001757
      -0.000585       0.000985      -0.000328
      -0.000725       0.000822      -0.000024
      -0.000959       0.000165      -0.001239
      -0.001077      -0.000724      -0.000713
       0.000205       0.000830      -0.000308
      -0.001062       0.000849      -0.002004
      -0.000309      -0.000714      -0.000354
      -0.000339       0.001113       0.000727
      -0.001450      -0.000374      -0.001316
       0.000615      -0.000780       0.000828
      -0.000739       0.000252       0.001554
       0.000555      -0.000909      -0.001472
      -0.000090       0.001495      -0.001773
      -0.001413      -0.000035      -0.000087
       0.000482       0.000371      -0.001527
      -0.001284       0.001017       0.000282
      -0.000428       0.000912       0.000903
      -0.000700       0.001513      -0.001709
      -0.000083      -0.000995      -0.000405
      -0.000655       0.000873      -0.000457
      -0.000759      -0.000780      -0.001095
       0.001085      -0.000347      -0.000097
      -0.000118       0.000867       0.000532
      -0.000045       0.000328      -0.000835
      -0.000417       0.001006      -0.001160
      -0.000405       0.000658       0.000125
      -0.000936       0.001159      -0.000876
      -0.000427      -0.000019       0.000255
      -0.000242       0.001169       0.001458
      -0.000759       0.000560      -0.001194
      -0.001030      -0.000395      -0.001715
      -0.000705       0.000609      -0.001056
       0.001089       0.000330      -0.001740
      -0.000966       0.000030      -0.002383
      -0.000754       0.000766       0.000733
      -0.000128       0.000768       0.000649
      -0.000545      -0.000200      -0.002620
       0.000009       0.000944      -0.000180
      -0.000789       0.001148      -0.001638
      -0.000343       0.000374      -0.001804
      -0.000888       0.000992       0.001040
       0.000683       0.000086      -0.000375
       0.000535       0.000743      -0.001400
      -0.000943       0.000980       0.000059
      -0.000161       0.000003      -0.000316
      -0.001325       0.000987      -0.002050
       0.000252       0.000679       0.000186
      -0.001035       0.000532      -0.000796
