INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : CANETE-LIMA
CODIGO  : SVIC
LATITUD : -13.075
LONGITUD: -76.387

2. SISMO
FECHA LOCAL     : 2021/07/09
HORA LOCAL      : 11:07:00
LATITUD         : -12.89
LONGITUD        : -73.95
PROFUNDIDAD     : 89 km
MAGNITUD        : M5
DIST. EPICENTRAL: 265.1 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/07/09 16:07:24  UTC
NUMERO DE MUESTRAS         : 9501
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   0.5893     0.7037        1.2570

              Z              N              E
       0.008444       0.055257       0.035892
      -0.020359      -0.120267       0.019585
      -0.028294       0.021795      -0.002234
       0.023087       0.014131      -0.048091
      -0.013488      -0.021999       0.028743
      -0.011610       0.083685       0.022003
      -0.009559       0.054784      -0.017687
       0.045884      -0.008781      -0.045217
       0.010662       0.019706       0.005268
      -0.051284       0.016584       0.035875
      -0.028375      -0.014534       0.011245
      -0.015050      -0.060528      -0.034316
       0.034096       0.020510      -0.010948
       0.014543       0.036675       0.033317
      -0.008459      -0.030450      -0.055049
       0.026627       0.072873      -0.001777
       0.011780       0.059036       0.066199
      -0.086942      -0.028088       0.001636
       0.006688      -0.011261       0.008100
       0.075207       0.017960      -0.002004
      -0.036480      -0.032058      -0.094279
       0.002831       0.034248      -0.012371
      -0.023009       0.024487       0.109902
      -0.034644      -0.048642      -0.002954
       0.054025       0.113756      -0.054906
      -0.002339       0.056943       0.012459
      -0.032707      -0.075337      -0.021104
       0.039235       0.010504      -0.013652
      -0.027575       0.042507       0.051681
      -0.057789      -0.038940      -0.003056
       0.029602       0.014796       0.001829
       0.000238       0.006061       0.008537
       0.023519       0.008490      -0.057179
       0.025794       0.078901      -0.003022
      -0.072429      -0.024800       0.047504
       0.003252       0.057406       0.007659
       0.062435      -0.014474      -0.013574
      -0.039967      -0.028383       0.000639
       0.005208       0.093373      -0.031634
       0.033535      -0.075441      -0.029844
      -0.032548      -0.057280       0.002526
      -0.006192       0.043757       0.043739
      -0.012491       0.039125       0.013039
      -0.034482       0.021856      -0.023394
      -0.009496       0.033320       0.006547
       0.028306       0.046239       0.003692
       0.000425       0.029973       0.024045
       0.037437      -0.042970      -0.029830
      -0.000673      -0.014188       0.002689
      -0.064832       0.043431      -0.003864
       0.013791       0.002428       0.006558
      -0.023917       0.019612       0.047938
      -0.007148      -0.035210      -0.036783
       0.044716       0.034325      -0.033692
       0.051166       0.044453      -0.058641
      -0.030434      -0.017627       0.039857
      -0.072425       0.015167       0.058206
       0.015554       0.017131       0.009684
      -0.008359      -0.010503      -0.003864
      -0.026751      -0.054440      -0.045926
      -0.002304       0.079071      -0.021127
       0.035793       0.062079      -0.008090
       0.019934      -0.023575       0.041649
       0.024944       0.003030      -0.051034
       0.003858       0.002857      -0.013482
      -0.048054       0.034931       0.050292
      -0.027811       0.008421       0.043544
      -0.036670      -0.037579       0.046877
       0.053419       0.023612      -0.073785
       0.046629       0.072281       0.007730
      -0.017775      -0.032177       0.044958
       0.020851      -0.002102      -0.068799
      -0.045773       0.015401      -0.030078
      -0.067954       0.005514       0.032381
       0.002849       0.048468       0.003158
       0.020187      -0.033200       0.008805
       0.027814       0.025026      -0.010335
       0.026723       0.086136      -0.028435
      -0.028742       0.007071       0.027069
      -0.040128      -0.041895       0.013652
       0.012412       0.006460      -0.038427
       0.001791      -0.014453       0.003212
      -0.014713      -0.023396       0.026038
