INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : CARAVELI-AREQUIPA
CODIGO  : CARV
LATITUD : -15.773
LONGITUD: -73.368

2. SISMO
FECHA LOCAL     : 2021/08/09
HORA LOCAL      : 16:03:20
LATITUD         : -14.8
LONGITUD        : -76.31
PROFUNDIDAD     : 32 km
MAGNITUD        : M5.4
DIST. EPICENTRAL: 334.0 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/08/09 21:03:54  UTC
NUMERO DE MUESTRAS         : 14001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   0.1523     0.2546        0.2431

              Z              N              E
      -0.013648       0.006459      -0.005665
       0.008474      -0.002657       0.001667
      -0.001370      -0.008943       0.002147
       0.002035       0.005429      -0.001156
      -0.001283       0.003065       0.005431
      -0.002804      -0.012201       0.000120
       0.007820       0.003625      -0.010501
      -0.009481       0.009356       0.002345
       0.001121      -0.006282       0.003698
       0.004582       0.002277       0.003001
      -0.005724      -0.002745       0.008256
       0.005160       0.004364      -0.008976
      -0.003295      -0.008695       0.003212
      -0.006655      -0.004619      -0.001350
      -0.003246       0.015439       0.001071
       0.000139      -0.004622       0.004234
       0.009834      -0.004670      -0.007970
       0.004043      -0.002438       0.014715
      -0.005994      -0.001604      -0.000726
      -0.006887       0.010180      -0.000949
      -0.004634       0.001427       0.004996
      -0.002780      -0.010085      -0.013478
       0.007635      -0.007516       0.000811
       0.010503       0.007736       0.006887
      -0.002535       0.010226       0.004265
      -0.007775      -0.017533       0.003237
       0.003185       0.007098      -0.003234
      -0.004800       0.013555       0.001997
      -0.013829      -0.007881       0.008467
       0.010191      -0.012599      -0.001057
       0.002879      -0.003672      -0.003451
      -0.010709       0.029507       0.004166
       0.009508      -0.014278       0.003685
       0.004151      -0.017672      -0.002765
      -0.006065       0.019814      -0.004761
      -0.004278       0.004623       0.013976
      -0.003419      -0.014498      -0.005650
       0.004352      -0.009203      -0.014008
      -0.000326       0.016805       0.018439
       0.003751      -0.001079      -0.002566
      -0.002124      -0.007079       0.001243
      -0.008190       0.001564       0.001022
       0.003720       0.005846      -0.007370
      -0.004232       0.000178       0.014910
       0.005517      -0.011207      -0.012040
       0.003976       0.006626       0.006972
      -0.015300      -0.001297       0.008016
       0.001473       0.005615      -0.005769
       0.012964      -0.001922       0.014290
       0.001391      -0.012696      -0.014258
      -0.008167       0.011334       0.009474
      -0.005675      -0.019797       0.000218
       0.008207       0.006661      -0.009564
       0.002680       0.016798       0.018827
      -0.015424      -0.013893      -0.010446
      -0.001110       0.012736       0.001463
       0.006433      -0.000178       0.006620
      -0.001560      -0.001259      -0.007780
      -0.001515      -0.008253       0.005917
      -0.003707      -0.001065       0.000778
       0.012118       0.006587      -0.001816
      -0.006713      -0.003698       0.014025
      -0.014221      -0.005948      -0.010204
       0.016986       0.002993      -0.002822
      -0.006704       0.012259       0.013608
      -0.006342      -0.015758      -0.008675
       0.010379      -0.000271      -0.000547
      -0.000592       0.005442      -0.006993
      -0.001635       0.005962       0.013422
      -0.007855      -0.014855       0.008298
       0.000653      -0.000943      -0.011205
       0.007988       0.021443       0.011706
      -0.003916      -0.016547      -0.001755
      -0.003066      -0.005866      -0.001038
      -0.001847       0.005780       0.007243
       0.002306       0.012759      -0.007751
       0.001597      -0.007497       0.011105
      -0.011410      -0.013983       0.002347
       0.010524       0.002027      -0.011254
      -0.003299       0.008934       0.016877
      -0.005323      -0.006539      -0.001364
       0.011439      -0.005747      -0.002565
      -0.016260       0.012466       0.001323
       0.007040      -0.005061      -0.000547
       0.007688       0.004887       0.003976
      -0.015814      -0.001046       0.004061
       0.005747      -0.010110      -0.004852
       0.003249       0.003842       0.002085
      -0.012291       0.000927       0.011003
       0.006932      -0.003376      -0.012220
       0.004039       0.005134       0.019624
      -0.008181      -0.006040      -0.010092
       0.007461       0.007509      -0.001144
      -0.001268       0.003596       0.006471
      -0.005295      -0.010911      -0.015612
      -0.000428       0.000852       0.020475
      -0.000641      -0.000467      -0.010341
       0.002356       0.008122       0.006205
      -0.005405      -0.006806      -0.005024
       0.001331       0.002849      -0.005707
       0.002842      -0.003386       0.008532
      -0.002907      -0.002403       0.008042
      -0.001581      -0.000995       0.010359
      -0.006763      -0.002894      -0.015795
       0.004649       0.009649       0.013511
       0.002949      -0.001399      -0.004439
      -0.003805      -0.008643      -0.003576
       0.002388      -0.005361      -0.000637
       0.000916       0.019941       0.004516
      -0.010906      -0.009138       0.011311
       0.000977      -0.009638      -0.023582
       0.010879       0.015336       0.017191
      -0.010171      -0.006159       0.001333
       0.006995      -0.009809      -0.009118
      -0.004787       0.014843       0.019186
      -0.009458      -0.007058      -0.008206
       0.010537       0.001328       0.003646
      -0.005920       0.010218       0.001636
      -0.000770      -0.024169      -0.005233
       0.003277       0.018856       0.006045
      -0.004559      -0.003110       0.000887
      -0.007986      -0.011425       0.001512
       0.007391       0.006060      -0.003305
       0.004181       0.002363       0.000757
      -0.003897       0.007197       0.001382
