INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : ESCUELA NAVAL-LIMA
CODIGO  : ENPE
LATITUD : -12.072
LONGITUD: -77.169

2. SISMO
FECHA LOCAL     : 2021/08/09
HORA LOCAL      : 16:03:20
LATITUD         : -14.8
LONGITUD        : -76.31
PROFUNDIDAD     : 32 km
MAGNITUD        : M5.4
DIST. EPICENTRAL: 317.5 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/08/09 21:04:04  UTC
NUMERO DE MUESTRAS         : 13401
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   0.1630     0.4017        0.5398

              Z              N              E
       0.018124       0.001879       0.007134
       0.000326      -0.002136       0.014483
       0.005744      -0.004020      -0.008196
       0.004134       0.016693      -0.000752
       0.006413      -0.011905      -0.000565
       0.010541       0.015208       0.003543
       0.014096      -0.000381       0.000955
       0.004053      -0.007214       0.007699
      -0.008194       0.012545       0.008594
      -0.001488       0.004829      -0.005221
       0.007752       0.008421       0.017248
       0.000074      -0.000938      -0.006925
      -0.010104       0.002684       0.003192
      -0.010779       0.001056      -0.000419
      -0.004285       0.003102      -0.002516
      -0.005913       0.013428       0.014585
      -0.015079       0.010903      -0.005260
       0.003379       0.007042       0.001589
       0.007110       0.006520      -0.004306
       0.002679       0.005743       0.005447
       0.014354      -0.000539      -0.005088
       0.009697      -0.010449       0.001276
       0.001912       0.005997       0.002170
       0.008558       0.007408      -0.004994
       0.007844      -0.001510       0.002719
       0.001609       0.010409      -0.002487
       0.020411       0.005083       0.008293
       0.006989       0.002598      -0.003103
      -0.005801      -0.004853       0.008858
       0.006836       0.008463      -0.002610
      -0.002150       0.008947       0.000372
      -0.001413      -0.006091       0.012966
      -0.008447       0.003483      -0.006530
      -0.002183       0.016663       0.000526
       0.010759       0.012783       0.010005
      -0.001618      -0.021303       0.000297
