INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : PUNTA HERMOSA-LIMA
CODIGO  : PHER
LATITUD : -12.335
LONGITUD: -76.826

2. SISMO
FECHA LOCAL     : 2021/08/09
HORA LOCAL      : 16:03:20
LATITUD         : -14.8
LONGITUD        : -76.31
PROFUNDIDAD     : 32 km
MAGNITUD        : M5.4
DIST. EPICENTRAL: 280.0 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/08/09 21:03:52  UTC
NUMERO DE MUESTRAS         : 12001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   0.4154     0.6786        0.9421

              Z              N              E
      -0.029649       0.003312      -0.045870
       0.017034       0.019742       0.000299
       0.043968      -0.009621       0.027804
      -0.027398       0.008540      -0.031626
      -0.019562       0.034615      -0.008662
       0.039719      -0.024604       0.029856
      -0.014322       0.007322       0.007352
       0.013453       0.013007      -0.009136
       0.029955       0.000127      -0.019002
      -0.027957      -0.002895      -0.022817
       0.001868       0.008976       0.047280
      -0.006222       0.011148       0.030563
      -0.020009       0.022395      -0.008038
       0.038529       0.018052       0.003147
      -0.024157      -0.021704      -0.024020
      -0.051330       0.042175       0.005619
       0.067852      -0.026657       0.001313
       0.024232      -0.033456      -0.026130
      -0.005973      -0.002548      -0.029601
       0.003003      -0.019694      -0.010198
      -0.099155       0.035922      -0.043855
       0.010246       0.016719       0.001076
       0.053469       0.010510       0.021470
      -0.031579      -0.018031      -0.048895
       0.015953       0.006523       0.027067
       0.010821       0.006564       0.017597
       0.026135      -0.000310       0.001411
      -0.007397       0.009789      -0.020644
      -0.004161      -0.011839      -0.050067
       0.023284       0.012475       0.009204
      -0.059662       0.001789      -0.016446
       0.014782       0.051448      -0.004522
       0.032685      -0.011764      -0.000354
      -0.007155      -0.036542       0.017405
       0.000190       0.020760       0.026646
      -0.039072      -0.012790      -0.026998
       0.064189      -0.006886       0.015828
       0.027608      -0.043930      -0.010251
      -0.095085      -0.009898       0.006059
       0.038489       0.013451       0.057459
       0.052744       0.004612       0.000984
      -0.039474      -0.010342      -0.043632
       0.013798       0.003168      -0.034941
      -0.052395       0.013410      -0.026278
      -0.044565       0.009988       0.021830
       0.088662       0.006369       0.067326
       0.025567      -0.066543      -0.025567
       0.032763       0.009499       0.028164
       0.011880       0.002979       0.011427
      -0.030017      -0.007122      -0.021031
      -0.021154       0.009795       0.028644
      -0.065384      -0.006536      -0.042766
       0.045766       0.062095       0.004899
       0.055022       0.013459      -0.004429
       0.019903      -0.032654      -0.002225
       0.002658      -0.008957       0.019078
      -0.031060      -0.021268       0.002507
      -0.015883      -0.002690       0.012903
      -0.032616       0.038947      -0.022412
       0.019153      -0.033691      -0.012048
      -0.021956      -0.020305      -0.010322
      -0.013116       0.033288      -0.032880
       0.052860      -0.007791      -0.010789
       0.016393      -0.021291       0.009387
       0.010597       0.001002       0.013988
       0.006610       0.039701       0.022526
       0.015539       0.005090       0.011109
      -0.013840      -0.021326       0.010593
      -0.016417       0.003803       0.002327
       0.019095       0.010330       0.002807
      -0.026410      -0.002298      -0.015076
      -0.023735       0.034881      -0.009885
       0.000791       0.030088      -0.027210
       0.016805       0.000518      -0.012154
       0.040575      -0.027619       0.047783
      -0.013772      -0.027275      -0.008214
      -0.020175       0.049904      -0.013598
       0.021136       0.001542      -0.034987
       0.013570      -0.000413       0.016057
      -0.020440      -0.000383       0.033633
      -0.008206      -0.018584      -0.015113
       0.014479      -0.004930       0.007836
      -0.002573      -0.018754      -0.014913
      -0.031934       0.018159      -0.001964
      -0.013879      -0.006405      -0.033060
       0.036237       0.030560      -0.025991
       0.030526       0.039063      -0.025001
       0.030597      -0.000471      -0.001263
      -0.022044       0.006802       0.024110
      -0.022026       0.003050       0.003390
      -0.034657      -0.003917      -0.005625
      -0.038710      -0.006338      -0.034490
       0.050142       0.010416      -0.004685
       0.013900      -0.017565      -0.021712
       0.005017      -0.001678      -0.011371
      -0.016537       0.021941      -0.008521
      -0.002745      -0.016032       0.019338
       0.017180      -0.014589       0.024672
      -0.031393      -0.000336      -0.020138
