INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : ICA-ICA
CODIGO  : UICA
LATITUD : -14.087
LONGITUD: -75.734

2. SISMO
FECHA LOCAL     : 2021/08/10
HORA LOCAL      : 10:20:19
LATITUD         : -14.81
LONGITUD        : -76.36
PROFUNDIDAD     : 41 km
MAGNITUD        : M5
DIST. EPICENTRAL: 105.0 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/08/10 15:20:29  UTC
NUMERO DE MUESTRAS         : 7001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   2.2976     2.6424        2.8266

              Z              N              E
       0.024543      -0.170134      -0.337995
       0.018684       0.034984      -0.061231
       0.121826       0.242662       0.152321
       0.054178      -0.230514      -0.103239
      -0.185629       0.006903       0.363840
      -0.043130      -0.088594      -0.354110
       0.089041       0.198342      -0.139920
      -0.031386       0.025530       0.514898
       0.073041      -0.191944      -0.479643
       0.073320       0.104370       0.067492
      -0.126343      -0.212132       0.181752
      -0.050176       0.090347      -0.243012
       0.065330       0.131044       0.096785
       0.020902      -0.041334      -0.012528
      -0.008843      -0.019326       0.181149
      -0.064795      -0.098852      -0.072607
      -0.018872       0.168356      -0.184160
       0.144635      -0.152337       0.007308
      -0.028762       0.002490      -0.012979
      -0.019895       0.076265       0.111599
      -0.075139      -0.213664       0.067441
      -0.158925       0.235876      -0.090555
       0.231572       0.010333      -0.193608
       0.112485      -0.162006       0.300878
      -0.163273       0.112719       0.156455
      -0.152586      -0.008849      -0.348119
       0.196085       0.005905      -0.028207
       0.197259       0.035885       0.166987
      -0.206458      -0.102963      -0.015719
       0.039805      -0.097923      -0.098361
      -0.110192       0.089893       0.249383
      -0.105490       0.053696      -0.145179
       0.245827      -0.045602      -0.221055
       0.005248       0.037263       0.358875
      -0.065852      -0.022098      -0.075873
      -0.124672       0.113663      -0.132080
       0.125763      -0.029494      -0.099686
       0.120183      -0.097593       0.108406
      -0.164491       0.212048       0.229313
       0.064641      -0.338729      -0.238706
      -0.063306       0.023060       0.048013
      -0.001699       0.204838      -0.046858
       0.068265      -0.325879      -0.064195
      -0.120129       0.274869       0.151153
       0.174742      -0.064734      -0.117669
      -0.060220      -0.073044       0.124486
      -0.276124       0.170472       0.010109
       0.327947      -0.052845      -0.314618
       0.009543       0.063917       0.258595
      -0.164586      -0.189456      -0.006080
       0.092732       0.005853      -0.133308
      -0.041586      -0.091470       0.169017
       0.059607       0.003168      -0.222525
      -0.056057       0.171357       0.102579
       0.086278      -0.094074      -0.043308
      -0.084706       0.137600      -0.058657
      -0.012738       0.005051       0.101284
       0.078105      -0.125617       0.053200
      -0.177219      -0.024805       0.094473
       0.060948      -0.039477      -0.227483
       0.037109       0.101375       0.053877
       0.097674      -0.103879       0.051394
       0.006984      -0.129766      -0.080206
      -0.131836       0.167732       0.163444
      -0.050116       0.070846       0.098341
       0.133699       0.093046      -0.244544
       0.029653      -0.153816      -0.020713
      -0.085703      -0.038820       0.209878
      -0.058921       0.193309       0.032243
       0.020588      -0.258322      -0.264581
       0.147373       0.074289      -0.044029
      -0.101074       0.122931       0.305375
       0.040107      -0.244256      -0.314705
      -0.094720       0.158758       0.117632
       0.006918       0.189964       0.103423
       0.168379      -0.278718      -0.303940
      -0.133993       0.034242       0.323296
       0.043420       0.133001       0.055791
      -0.062020      -0.264372      -0.128833
      -0.016255       0.160339      -0.050650
       0.114904       0.083500       0.009679
      -0.020319      -0.269640      -0.038608
       0.008481       0.087830      -0.113401
      -0.039929       0.173325       0.343185
      -0.044134      -0.064904       0.009113
       0.045523      -0.152046      -0.336770
       0.033249      -0.017049       0.123365
      -0.051010       0.165483       0.074588
       0.003653      -0.003110      -0.139337
       0.112661      -0.087378      -0.110645
      -0.031299       0.068169       0.151969
      -0.101921      -0.120529       0.075945
      -0.051333       0.044248      -0.163617
      -0.047006       0.146232       0.085932
       0.106850      -0.164585      -0.079106
      -0.037708       0.050921       0.081380
      -0.031664      -0.001030       0.064559
       0.145698      -0.015300      -0.160679
      -0.120273       0.142434       0.201093
       0.069889      -0.245160      -0.187144
       0.075429       0.060301      -0.022180
      -0.141564       0.033549       0.226673
       0.167015      -0.151658      -0.227765
      -0.114847       0.173025       0.186340
      -0.042237      -0.153149      -0.024975
       0.148258       0.076701      -0.105605
      -0.133922       0.066530       0.146630
       0.115103      -0.116741      -0.170838
      -0.005738       0.219048       0.104158
      -0.151320      -0.183385      -0.052318
       0.018068      -0.099656      -0.081456
       0.032409       0.266194       0.094228
      -0.005312      -0.186022       0.056473
       0.062736      -0.038323      -0.064731
      -0.036726       0.178892      -0.029001
      -0.059399      -0.173545       0.165724
       0.123353       0.076564      -0.184644
      -0.116671      -0.009387      -0.019568
       0.024076      -0.160068      -0.008445
       0.022955       0.246512       0.034524
      -0.144384      -0.084579       0.166799
       0.071008      -0.155118      -0.164412
       0.034379       0.206178      -0.047182
       0.041229      -0.023560       0.120722
       0.030673      -0.102807      -0.111178
       0.091321       0.008043      -0.128931
      -0.026709       0.020365       0.347115
      -0.114244       0.028198      -0.021183
      -0.031883      -0.046450      -0.154177
      -0.060561       0.010527       0.047649
       0.215291       0.069195      -0.251671
      -0.079633      -0.137309       0.324882
      -0.064254      -0.002304      -0.086321
       0.180105       0.093003      -0.220822
      -0.223617      -0.066647       0.395213
       0.059120      -0.075552      -0.377443
       0.029305       0.004368       0.118129
      -0.078947       0.124376       0.258121
       0.148814      -0.082509      -0.418770
      -0.132133       0.143928       0.170889
       0.013429      -0.010649       0.020622
       0.118750      -0.126596      -0.089031
      -0.092908       0.126658       0.174742
       0.067112      -0.144157      -0.081947
      -0.070783       0.116729       0.088894
      -0.073061      -0.102841      -0.044834
       0.101814      -0.036227      -0.078031
      -0.120961       0.114886       0.145970
       0.131195      -0.141760      -0.265247
       0.073307       0.131237       0.172656
      -0.132319      -0.027524       0.122200
       0.017141      -0.100481      -0.276249
      -0.023454       0.075605       0.156041
       0.069065       0.031808      -0.059067
      -0.075963      -0.223683       0.038557
       0.038574       0.024698      -0.003665
       0.048719       0.137488      -0.042349
      -0.082682      -0.045366       0.020113
       0.150163       0.084997      -0.199910
      -0.032492      -0.033063       0.284130
      -0.048626       0.000224       0.014916
      -0.014831       0.044461      -0.095987
      -0.088126      -0.001277       0.119361
      -0.000088      -0.040548      -0.236679
       0.001359      -0.050474       0.077480
       0.060141      -0.109474       0.070199
       0.060464       0.078555      -0.103081
      -0.007224       0.065468       0.024841
      -0.033888      -0.114659      -0.046881
       0.000621       0.171662       0.118927
      -0.084256      -0.061308       0.116261
      -0.010718      -0.036477      -0.173801
       0.090783       0.132785      -0.052704
       0.003454      -0.210828       0.003879
       0.054368      -0.105132      -0.108751
      -0.058890       0.153169       0.203169
      -0.058670      -0.022186      -0.005423
       0.077621      -0.021594      -0.146147
       0.000717       0.123201       0.203512
      -0.003795      -0.057111      -0.032952
      -0.024565       0.059933      -0.066856
      -0.048215       0.021437       0.029792
       0.071481      -0.088659      -0.045478
      -0.005831      -0.042682       0.105885
      -0.039236      -0.134851      -0.068494
       0.096508       0.108760      -0.104149
      -0.055017       0.056906       0.150422
      -0.050049      -0.073826      -0.021233
       0.015616       0.099252      -0.054803
      -0.108056       0.016840       0.040105
       0.138625      -0.052945      -0.160515
       0.067610      -0.014400       0.037405
      -0.159376      -0.056600       0.117115
       0.068750      -0.037348      -0.127225
      -0.052908       0.044366       0.135888
      -0.012733       0.053586      -0.031023
       0.103841       0.010672      -0.153707
      -0.076786      -0.008935       0.215005
       0.023905       0.023071      -0.090760
       0.070721      -0.067274      -0.124220
      -0.009826      -0.025138       0.145886
      -0.069463       0.015880       0.001850
       0.039187      -0.033277      -0.084562
       0.011288       0.124055      -0.022697
      -0.017751      -0.050130       0.070913
       0.104242      -0.081459       0.009616
      -0.128114       0.032439       0.022949
