INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : CHICLAYO-LAMBAYEQUE
CODIGO  : CHYA
LATITUD : -6.770
LONGITUD: -79.856

2. SISMO
FECHA LOCAL     : 2021/08/15
HORA LOCAL      : 00:40:01
LATITUD         : -3.68
LONGITUD        : -77.23
PROFUNDIDAD     : 121 km
MAGNITUD        : M5.7
DIST. EPICENTRAL: 450.6 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/08/15 05:40:43  UTC
NUMERO DE MUESTRAS         : 15001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   1.2217     1.0748        1.0742

              Z              N              E
       0.006508      -0.001744       0.001667
      -0.002185       0.002979      -0.001019
      -0.000228       0.003800      -0.005117
       0.011468       0.000715      -0.005675
       0.005252      -0.002504       0.003928
      -0.007950      -0.004326       0.006888
       0.008769      -0.003357       0.000375
      -0.003597       0.003003      -0.003648
      -0.002003       0.000488      -0.005729
       0.013604      -0.001344       0.002814
       0.001950      -0.000043       0.003813
       0.003280      -0.006289       0.004566
      -0.004815      -0.002805      -0.000146
       0.004090      -0.000045      -0.010609
       0.005977       0.000725       0.002229
       0.005374       0.003182       0.001728
       0.004663       0.000135      -0.003678
      -0.009003       0.000465       0.004234
       0.006733      -0.001422      -0.003985
       0.002630      -0.005944      -0.002474
       0.000105      -0.000313       0.004531
       0.009414       0.000807      -0.000971
      -0.003373      -0.000441      -0.000307
      -0.003338       0.002389      -0.001667
       0.009142      -0.005364       0.001332
      -0.001468      -0.002157       0.000938
       0.002257       0.000978      -0.002080
       0.010300      -0.000082       0.001356
      -0.005709       0.003562      -0.006548
       0.006967      -0.003828       0.000155
       0.005194      -0.000953       0.005425
       0.001150      -0.002780      -0.003660
      -0.004737      -0.002113       0.001232
       0.000063       0.003988       0.001360
       0.014686      -0.005086      -0.002142
      -0.007772      -0.000025       0.003027
       0.010105       0.001010       0.001157
       0.001048      -0.003496      -0.001990
      -0.003917       0.000805       0.002328
       0.013463       0.000107      -0.003400
      -0.006986      -0.001764      -0.005880
       0.007229      -0.001583       0.003758
       0.000476       0.002090       0.000552
       0.001434      -0.002674       0.000006
       0.004747      -0.000426       0.006896
      -0.003294       0.003344      -0.002239
       0.014666      -0.003561      -0.002875
      -0.004933       0.002928       0.000607
       0.005271      -0.001717      -0.001943
       0.003547      -0.004842      -0.000629
      -0.003743       0.000272       0.000233
       0.013397      -0.003691      -0.000079
      -0.010714       0.001854      -0.004145
       0.009521      -0.001115       0.003439
       0.002733      -0.000904       0.001215
      -0.002243       0.000048      -0.000530
       0.014551      -0.002702       0.002722
      -0.011202       0.002009      -0.000405
