INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : UDP PIURA-PIURA
CODIGO  : UDEP
LATITUD : -5.170
LONGITUD: -80.639

2. SISMO
FECHA LOCAL     : 2021/08/15
HORA LOCAL      : 00:40:01
LATITUD         : -3.68
LONGITUD        : -77.23
PROFUNDIDAD     : 121 km
MAGNITUD        : M5.7
DIST. EPICENTRAL: 413.1 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/08/15 05:40:37  UTC
NUMERO DE MUESTRAS         : 18001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   0.7368     1.1661        1.2150

              Z              N              E
      -0.012972       0.001525      -0.000847
       0.006774      -0.009482       0.000137
       0.001274       0.008900      -0.013766
      -0.012573       0.006015      -0.000332
      -0.001056      -0.005988      -0.002503
       0.000771      -0.000105      -0.015098
       0.007885      -0.004306      -0.008067
      -0.007866       0.003163      -0.006746
      -0.007640      -0.003054      -0.000343
       0.005841      -0.001615      -0.001774
      -0.007107       0.004753      -0.004945
      -0.001290       0.001016       0.005927
       0.003802      -0.001298      -0.001979
       0.000723       0.005264      -0.010725
      -0.016856       0.000229      -0.006070
       0.006483      -0.013573      -0.013187
       0.009684       0.009202      -0.018083
      -0.009382       0.004174      -0.004151
      -0.000442       0.001467      -0.005283
      -0.004983       0.002702      -0.001822
       0.000217      -0.004197      -0.004222
      -0.002831      -0.004587      -0.006151
       0.003280      -0.000003       0.000340
      -0.002638       0.005086      -0.009271
      -0.003443       0.000331      -0.011204
      -0.004652      -0.000285      -0.010128
       0.007311      -0.010226      -0.000613
       0.005581       0.006528       0.002548
      -0.008111       0.008389       0.004121
       0.001891       0.007499      -0.011071
      -0.015029      -0.003312      -0.010499
       0.002956      -0.015842      -0.001445
      -0.002099       0.006875      -0.017205
      -0.013330       0.003133      -0.007643
       0.002398       0.000890      -0.010442
      -0.000985       0.003523      -0.004444
       0.005622      -0.006622       0.005600
       0.003395       0.000304      -0.012188
      -0.010650       0.006591      -0.007039
       0.006056      -0.008386       0.004847
       0.002276       0.001987      -0.014661
      -0.011813       0.000332      -0.009286
       0.005746       0.000194      -0.008678
      -0.011614       0.010550      -0.011751
      -0.000804      -0.000956       0.015261
       0.010962       0.003766      -0.004407
      -0.004037       0.005060      -0.007047
      -0.006536      -0.001891       0.001520
      -0.008194       0.000996      -0.003618
       0.003885       0.001803       0.009434
       0.010280      -0.001876      -0.007091
      -0.003282       0.011569      -0.013986
      -0.003900      -0.001744       0.000343
      -0.001987      -0.002170      -0.014737
      -0.011954      -0.003723      -0.009016
       0.014098      -0.014743      -0.001141
       0.001782       0.011004      -0.009970
      -0.015067       0.003668       0.006278
      -0.004394       0.001847      -0.005936
      -0.001446       0.004484      -0.009660
       0.008464      -0.007998       0.002156
       0.005855      -0.000419      -0.006424
      -0.007923       0.010237      -0.008541
      -0.017718      -0.001844      -0.005851
      -0.008392      -0.004124      -0.006502
       0.003762      -0.010429      -0.001584
       0.018885       0.000174      -0.003671
      -0.010582       0.021682      -0.013093
      -0.009789      -0.006950      -0.005776
       0.011980      -0.002348      -0.009380
      -0.005187      -0.003395      -0.003018
      -0.000915      -0.005597      -0.000689
      -0.009356       0.013863      -0.002633
      -0.007693       0.001792       0.002728
       0.003988      -0.003038      -0.003652
       0.003805       0.000679      -0.010453
       0.004456      -0.007659      -0.015103
       0.004473       0.005125      -0.000595
      -0.009286       0.007452       0.001804
       0.003970      -0.010402      -0.001835
       0.000346       0.009662      -0.006131
      -0.020469       0.000407      -0.011572
      -0.001437      -0.002373      -0.002853
      -0.001861       0.005844      -0.002464
       0.000918      -0.007343      -0.004906
       0.006203       0.000328      -0.002518
      -0.005019       0.002780      -0.006900
      -0.009283      -0.001466      -0.000092
       0.007068      -0.001636       0.005870
       0.005800      -0.000890      -0.009239
       0.000980      -0.002327      -0.008453
      -0.009715       0.006591      -0.017378
      -0.010784      -0.004418      -0.018432
       0.008679      -0.002331       0.000702
      -0.003147       0.006303       0.005350
       0.003219       0.002626       0.001182
      -0.001977       0.006234      -0.011807
      -0.008756      -0.001687      -0.009630
       0.004421      -0.004620       0.004113
       0.002531       0.000592      -0.000146
      -0.009739       0.005314      -0.007509
      -0.005932      -0.005851      -0.003175
      -0.000214      -0.005687      -0.005207
       0.002651      -0.004878       0.003243
       0.007321       0.001339       0.002773
      -0.006248       0.008083      -0.004288
       0.002317       0.003647      -0.000303
      -0.002798       0.004062      -0.003094
      -0.000227      -0.000334      -0.000935
       0.006013       0.003362      -0.004840
      -0.010767       0.007762      -0.004228
      -0.015600       0.002376      -0.000311
      -0.004732      -0.014420      -0.003555
       0.006350      -0.005560      -0.004881
       0.000128       0.002791       0.000239
      -0.000258       0.005122      -0.000209
      -0.002608       0.010708      -0.001691
       0.002798       0.001065      -0.000400
       0.005122      -0.001280      -0.003865
       0.005682      -0.000456      -0.004490
      -0.007765       0.002783      -0.004335
      -0.011716      -0.000572       0.008204
      -0.000343      -0.002422       0.002233
      -0.004975      -0.008847      -0.006978
       0.006024      -0.007393       0.001458
      -0.003826       0.004202      -0.005302
      -0.007200       0.000209      -0.007384
       0.001718       0.002383      -0.001509
       0.000488       0.002435       0.002441
       0.009472      -0.000825       0.000292
      -0.004046       0.004288      -0.014819
      -0.012025       0.000030      -0.002754
       0.002412      -0.000171       0.014198
      -0.007574       0.003733      -0.004418
      -0.008604      -0.001825      -0.003740
       0.003397       0.003260      -0.002972
       0.002543       0.006979      -0.004592
       0.002896       0.001850       0.005511
      -0.005526      -0.000471      -0.000594
       0.000019       0.001511       0.000599
