INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : PUCALLPA-UCAYALI
CODIGO  : PUCA
LATITUD : -8.390
LONGITUD: -74.665

2. SISMO
FECHA LOCAL     : 2021/08/22
HORA LOCAL      : 03:28:08
LATITUD         : -8.28
LONGITUD        : -74.4
PROFUNDIDAD     : 163 km
MAGNITUD        : M5.2
DIST. EPICENTRAL: 31.7 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/08/22 08:28:22  UTC
NUMERO DE MUESTRAS         : 9001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   16.5542     12.7941        8.2333

              Z              N              E
       0.000393      -0.001206       0.001802
      -0.000099       0.001710      -0.000962
      -0.000055      -0.000158       0.001020
       0.000136      -0.000882       0.000995
      -0.000325       0.001524      -0.001600
       0.000611      -0.001823       0.001952
       0.000101      -0.000322       0.000111
      -0.000248       0.001781      -0.001124
       0.001125      -0.001622       0.002855
       0.000281      -0.000208      -0.000842
      -0.000266       0.000796      -0.000878
       0.000949      -0.001175       0.002654
      -0.000336       0.000593      -0.001366
      -0.001194      -0.000361      -0.000942
       0.000347      -0.001723       0.002618
       0.000051       0.001451      -0.002275
       0.000039      -0.000690      -0.000389
       0.000950      -0.001275       0.002392
      -0.000242       0.001821      -0.002916
       0.000554      -0.001405       0.001865
       0.000237      -0.000173       0.000765
      -0.000003       0.001524      -0.001751
       0.001013      -0.001619       0.003104
      -0.001555       0.000773      -0.002116
       0.000466      -0.000345       0.000412
       0.001170      -0.001014       0.001045
      -0.001681       0.001670      -0.002958
       0.001194      -0.002563       0.003005
       0.000373       0.000629      -0.001042
      -0.001041       0.001734      -0.000822
       0.000449      -0.003123       0.003626
      -0.000384       0.002803      -0.002752
       0.000271       0.000535       0.000477
      -0.000137      -0.002336       0.002201
      -0.000796       0.002585      -0.002554
       0.000667      -0.001615       0.002062
      -0.000613      -0.001311       0.000663
      -0.001261       0.002383      -0.002193
       0.001400      -0.000744       0.003204
      -0.000244       0.001758      -0.001341
      -0.000995       0.001636      -0.000612
       0.000911      -0.002053       0.002639
      -0.000695       0.002915      -0.002613
       0.000329      -0.001111       0.002629
       0.000355      -0.001356       0.000271
       0.000100       0.003971      -0.002139
