INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : SAN BORJA-LIMA
CODIGO  : CERA
LATITUD : -12.102
LONGITUD: -76.999

2. SISMO
FECHA LOCAL     : 2021/08/25
HORA LOCAL      : 02:15:08
LATITUD         : -12.36
LONGITUD        : -77.51
PROFUNDIDAD     : 41 km
MAGNITUD        : M5.1
DIST. EPICENTRAL: 62.6 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/08/25 07:15:14  UTC
NUMERO DE MUESTRAS         : 4998
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   4.9786     10.2536        6.8247

              Z              N              E
      -0.002497       0.000703       0.001071
      -0.001033      -0.001382      -0.000120
       0.001629      -0.000546       0.000169
      -0.000642       0.000405      -0.000977
      -0.000840       0.002283      -0.001899
       0.000592      -0.000773       0.001159
      -0.001750       0.001092      -0.000239
      -0.000123       0.000822      -0.000156
       0.000903       0.001156       0.001230
       0.001280       0.002241      -0.000498
       0.000483      -0.000498       0.002180
      -0.002361      -0.000309       0.000626
       0.001104      -0.001196      -0.002802
       0.001291       0.000512      -0.002443
       0.000057      -0.000068       0.000552
       0.001198       0.001104       0.001437
       0.000094       0.001253      -0.000740
      -0.001699      -0.001172       0.001617
       0.000360       0.001062      -0.001877
       0.000811       0.001063      -0.003480
      -0.000409      -0.000998       0.000905
       0.001171       0.000109       0.000892
      -0.000337       0.001368       0.001870
      -0.000465      -0.001134       0.000236
      -0.000270      -0.002100      -0.000982
       0.000816       0.000583       0.000390
       0.001900       0.001346       0.000150
       0.000860      -0.000515       0.000926
      -0.001574       0.001132       0.000239
      -0.000490       0.001727      -0.002063
       0.002521      -0.001152      -0.001509
      -0.001355       0.001775      -0.000234
      -0.000024      -0.000258       0.002681
       0.001520      -0.000429       0.001039
      -0.000453       0.002735      -0.003190
       0.000993      -0.001052      -0.000498
       0.000935      -0.000438      -0.000654
       0.000942      -0.000506       0.000266
      -0.000359       0.001316       0.000543
      -0.000645       0.000243       0.000725
       0.000950      -0.001310      -0.001471
       0.000740       0.000361      -0.004591
       0.001963      -0.001136       0.003937
      -0.000310       0.001731      -0.000070
      -0.003261      -0.000994      -0.001894
       0.001619      -0.000846       0.001898
       0.001188       0.004569      -0.000999
      -0.000564       0.000409       0.001662
       0.001556      -0.001999       0.000009
      -0.002348       0.001748       0.000578
      -0.000965      -0.000017       0.000873
       0.001857      -0.002595      -0.003071
       0.001520       0.000394      -0.002421
       0.001515       0.002117       0.000258
      -0.001726      -0.000159       0.000999
       0.000912      -0.001369      -0.000525
