INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : SURCO-LIMA
CODIGO  : ANRA
LATITUD : -12.128
LONGITUD: -76.982

2. SISMO
FECHA LOCAL     : 2021/09/03
HORA LOCAL      : 00:06:18
LATITUD         : -14.45
LONGITUD        : -76.69
PROFUNDIDAD     : 23 km
MAGNITUD        : M5.1
DIST. EPICENTRAL: 260.4 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/09/03 05:06:47  UTC
NUMERO DE MUESTRAS         : 11001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   0.2038     0.3340        0.2194

              Z              N              E
       0.003670      -0.003329       0.029387
      -0.006671       0.005579       0.013650
      -0.001431       0.007318      -0.013539
      -0.012980      -0.004228      -0.002362
       0.005282      -0.017932      -0.019001
       0.011576       0.021668       0.009985
      -0.006748       0.010378      -0.000125
      -0.010257      -0.019233       0.004095
      -0.015899      -0.018833       0.011723
      -0.003966       0.012257      -0.029944
       0.010532       0.002497       0.032553
       0.007706       0.004338       0.005519
      -0.023618      -0.006027      -0.036316
       0.002649       0.011498       0.015371
       0.001536       0.008269       0.004734
      -0.008526      -0.026006       0.005060
       0.010655       0.005323      -0.017619
      -0.001886      -0.018125      -0.007966
      -0.001807       0.023258       0.029301
      -0.017178       0.012631      -0.007301
       0.002000      -0.005911       0.004271
       0.001612       0.003899      -0.012315
      -0.005987      -0.027195      -0.019803
       0.002843       0.013782       0.021681
      -0.003812      -0.012322       0.014827
       0.003154       0.010190       0.002945
      -0.015520       0.011864      -0.021192
      -0.012586      -0.000765       0.007892
       0.003340      -0.001536       0.009004
       0.016475      -0.028816       0.001952
      -0.003784       0.025398      -0.006020
      -0.023541       0.000795      -0.021221
       0.001654      -0.000881       0.036930
      -0.002171      -0.002326      -0.002770
      -0.001111      -0.005821      -0.013450
       0.003257       0.001247      -0.001207
       0.006058      -0.011559      -0.011591
      -0.010738       0.033866       0.023521
      -0.025138      -0.015407      -0.010689
      -0.011554      -0.014500       0.015691
       0.016113      -0.008724      -0.001649
       0.049208      -0.021252      -0.028363
      -0.012323       0.035409       0.026322
      -0.045415       0.014115      -0.014549
      -0.013802      -0.003228       0.001562
       0.003728      -0.009171       0.009425
       0.009664      -0.011633      -0.011492
       0.004846      -0.009560       0.011683
       0.013903       0.016860       0.022810
      -0.019421       0.014212       0.008298
      -0.015644      -0.012621      -0.033182
      -0.013447       0.007736      -0.009006
      -0.006872      -0.029057      -0.019567
       0.029795       0.000647       0.036268
      -0.005308       0.034745       0.043354
       0.000491      -0.006012      -0.044118
      -0.001944       0.002501       0.009810
      -0.032049      -0.013011      -0.010895
       0.000299      -0.006084      -0.019822
       0.019997       0.003553       0.021571
       0.006059       0.001364       0.005042
      -0.012032       0.020799       0.006737
      -0.016756      -0.007537      -0.001115
      -0.007334      -0.026298      -0.010256
      -0.001372      -0.003767      -0.016828
       0.018310       0.016716       0.013141
       0.010869      -0.004497       0.011216
      -0.012709       0.005545       0.006599
      -0.016457       0.003383       0.014965
      -0.017293      -0.007343      -0.028419
       0.004323       0.002269       0.016674
      -0.002585      -0.015461       0.004094
       0.003424       0.016988      -0.031627
       0.010403       0.003615       0.027964
      -0.014491      -0.000079       0.002160
      -0.014410       0.007345      -0.002207
      -0.006180      -0.028626      -0.013055
       0.005508      -0.003511      -0.008482
      -0.001181       0.011146       0.038728
      -0.000088       0.005709      -0.008568
       0.004860      -0.005540      -0.014701
      -0.012642       0.001022       0.005582
      -0.000842      -0.002637      -0.015627
       0.009723      -0.010539      -0.005891
      -0.013803       0.023672       0.020538
       0.003230      -0.002685       0.021037
       0.001112      -0.003668      -0.003754
      -0.012646      -0.003222      -0.012041
      -0.000451      -0.015331      -0.005703
      -0.004070       0.014634      -0.010337
       0.006745      -0.001599       0.003007
      -0.009431      -0.001770       0.023227
      -0.010329      -0.001058       0.006208
       0.002567       0.010076      -0.016427
       0.004336       0.002152       0.006940
      -0.008209      -0.009271       0.009142
      -0.008626      -0.012111      -0.016528
       0.008619      -0.007895       0.010771
      -0.017661       0.026451       0.007424
      -0.004336      -0.002326      -0.020960
       0.008985       0.006511      -0.002537
      -0.010464      -0.007603       0.010222
       0.002912      -0.017431       0.002108
       0.004135      -0.004942       0.005212
      -0.011254      -0.010074       0.009070
       0.001123       0.019795      -0.010770
       0.006801       0.005178      -0.011162
      -0.017890       0.014938      -0.003422
      -0.017692      -0.003874       0.009362
       0.013537      -0.021051       0.017181
       0.013350      -0.000283      -0.010499
      -0.012333      -0.007895      -0.003309
      -0.000852      -0.000706       0.009970
      -0.006219       0.017790      -0.002930
      -0.012743       0.008245      -0.004677
       0.009847      -0.008139       0.000759
      -0.012353      -0.006403       0.000850
      -0.006940      -0.017464      -0.003323
       0.002839       0.019561      -0.001313
      -0.001286       0.002293       0.002239
       0.012572      -0.001746      -0.002018
      -0.004604       0.018894       0.005895
      -0.012945      -0.029697       0.023618
      -0.013373      -0.006158      -0.009850
       0.009503      -0.000507      -0.019879
       0.002833       0.015131       0.009951
      -0.008445       0.003874      -0.015734
       0.004274      -0.012900       0.001955
      -0.008782       0.016772       0.035485
       0.000482      -0.013467       0.006863
      -0.009141      -0.007339      -0.011527
      -0.006533      -0.000829      -0.022416
       0.001619      -0.003850      -0.007315
       0.006005       0.009187       0.012247
       0.000338       0.018717       0.005998
      -0.016257      -0.008269       0.007776
      -0.001996      -0.016766      -0.005088
      -0.013954       0.007149      -0.005807
       0.001700      -0.009003       0.008551
       0.014583      -0.002759      -0.003544
      -0.011126       0.002510      -0.004674
      -0.006171       0.006791      -0.003894
       0.013898       0.003909       0.002827
      -0.000859       0.004496       0.005872
      -0.028810      -0.002754      -0.005166
      -0.011847      -0.019134       0.004016
       0.009140       0.002302       0.002442
       0.012330       0.008507       0.005974
       0.001019       0.004088      -0.000143
      -0.006139       0.001373      -0.004400
       0.003663      -0.004245       0.000966
      -0.011565      -0.005469      -0.004924
      -0.023512       0.006274      -0.000024
       0.003380      -0.003911       0.006244
       0.009124      -0.015413       0.004173
       0.003125       0.006893      -0.008870
      -0.000073       0.009328       0.006023
      -0.010438       0.006699       0.003948
       0.005601      -0.002193      -0.004498
      -0.008381      -0.006234      -0.001431
      -0.010460      -0.004544       0.001655
      -0.002264      -0.011852       0.011542
      -0.001851      -0.002700      -0.014383
       0.010267       0.004033      -0.004850
      -0.013417       0.003719       0.003542
       0.002842       0.013234       0.003571
      -0.005605       0.012848       0.010643
      -0.014559      -0.019627      -0.006988
       0.000699      -0.006971       0.001403
       0.005609      -0.012811      -0.001194
       0.013346      -0.002203      -0.006184
      -0.020470       0.024311       0.011269
       0.009155       0.002442       0.009639
      -0.008674       0.013048      -0.009540
      -0.017419      -0.019271       0.003308
       0.002433      -0.010120       0.008477
      -0.010187      -0.003259       0.000633
       0.018735       0.003650      -0.004587
      -0.008676       0.012342      -0.007199
      -0.005372      -0.007849       0.005581
       0.001534       0.003853       0.003710
       0.003097      -0.008284       0.003881
      -0.013478       0.001213      -0.003308
      -0.019917      -0.009046      -0.001717
       0.007668       0.002998      -0.000315
      -0.006528       0.010509       0.000697
       0.014796      -0.000206       0.004831
       0.003292      -0.008304       0.004700
      -0.011844      -0.003826      -0.004986
      -0.011830      -0.000697       0.004394
      -0.008220      -0.001213       0.003133
       0.011093       0.006843      -0.018420
       0.009561      -0.016424       0.007664
      -0.010305       0.018572       0.005696
      -0.020033       0.001680       0.008933
       0.012787      -0.006685       0.002143
      -0.004583       0.011000       0.002407
      -0.016152      -0.010861      -0.000117
       0.002978      -0.008190      -0.022578
      -0.002324      -0.007181       0.003867
       0.003252       0.009405       0.007574
      -0.009428       0.004516       0.014818
       0.002769       0.007155       0.000576
      -0.002671      -0.005086      -0.007855
      -0.025968      -0.008816       0.007464
       0.012837       0.000714      -0.005680
       0.008106      -0.000495      -0.004966
      -0.005785       0.001409       0.001902
       0.002289      -0.009613       0.000222
      -0.006664       0.019441      -0.001233
      -0.005316       0.009109       0.020017
      -0.014597      -0.010683       0.004098
      -0.000688      -0.010031      -0.028848
       0.011037      -0.015655       0.002592
      -0.002524       0.013767       0.010875
       0.005823       0.009332      -0.002940
      -0.002087       0.008108       0.013706
      -0.023814      -0.001057       0.000261
       0.004547      -0.016003      -0.009751
       0.005233       0.000550       0.005006
      -0.016717      -0.015910       0.001853
      -0.000239       0.009831      -0.008603
      -0.000744       0.009515       0.002160
       0.003338      -0.008520       0.010189
       0.001048       0.016869      -0.008151
      -0.001050      -0.007449       0.000556
      -0.015896      -0.004009       0.002309
      -0.009018      -0.021695      -0.003407
       0.016048      -0.013985       0.016798
      -0.002731       0.035919      -0.000832
      -0.010414      -0.000756      -0.014434
      -0.013940       0.002532       0.003730
       0.011845       0.008777       0.000861
      -0.006093      -0.022026       0.006739
      -0.021719       0.001613       0.007022
       0.017038      -0.012240      -0.011505
       0.006315       0.004971       0.004523
