INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : NASCA-ICA
CODIGO  : NASC
LATITUD : -14.823
LONGITUD: -74.939

2. SISMO
FECHA LOCAL     : 2021/09/03
HORA LOCAL      : 00:06:18
LATITUD         : -14.45
LONGITUD        : -76.69
PROFUNDIDAD     : 23 km
MAGNITUD        : M5.1
DIST. EPICENTRAL: 193.1 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/09/03 05:06:40  UTC
NUMERO DE MUESTRAS         : 11001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   0.4804     0.7622        0.9021

              Z              N              E
      -0.000593      -0.001722       0.003406
      -0.000461       0.003818       0.004869
      -0.002909      -0.002762      -0.008005
      -0.000288      -0.001159      -0.003129
       0.002578       0.006417       0.007833
      -0.001220      -0.005666      -0.001441
      -0.001169      -0.003285      -0.001110
       0.002007       0.001042      -0.002364
      -0.001008       0.000820       0.000993
      -0.000841       0.002724       0.005971
      -0.002886      -0.001929      -0.003585
       0.001384      -0.001397      -0.003622
      -0.000928      -0.001577       0.003530
      -0.002513       0.001637      -0.000452
       0.002434      -0.000614      -0.001740
      -0.002743      -0.006469      -0.003433
       0.001847      -0.000091       0.002428
       0.002933       0.005779       0.002888
      -0.003900      -0.004499      -0.006516
       0.000603      -0.003989       0.004495
       0.001626       0.003968      -0.000155
      -0.008415       0.002797      -0.006800
      -0.000585      -0.003266       0.002241
       0.007444      -0.005314       0.000259
      -0.004627       0.003495      -0.000624
       0.000151      -0.000995       0.000969
       0.003531      -0.000568      -0.000246
      -0.005086       0.000460      -0.003586
      -0.000530      -0.001031       0.001738
      -0.001836       0.004032       0.000679
      -0.002531      -0.002978      -0.004070
       0.003068      -0.003163       0.003582
       0.001000       0.002404       0.002956
       0.003111      -0.001094       0.001670
      -0.003434      -0.000663      -0.003923
      -0.004299       0.001365      -0.004349
       0.002912       0.000551       0.008422
      -0.003338       0.004541      -0.002512
       0.000511      -0.004398      -0.004511
       0.005591      -0.004241       0.006326
      -0.001667       0.006403      -0.001854
      -0.005570      -0.002847      -0.002905
       0.002467      -0.003897      -0.001192
       0.000861      -0.000179      -0.002529
      -0.005375      -0.002706       0.002402
       0.001466       0.003003       0.003392
       0.003015       0.002558      -0.001308
       0.001396      -0.004425       0.000735
      -0.001168      -0.002528       0.000758
      -0.003153       0.002470      -0.005532
      -0.000721      -0.001000       0.000030
       0.004686      -0.003896       0.001287
       0.000148       0.001015       0.002729
      -0.005301       0.003684       0.003492
       0.001546       0.001247      -0.002123
      -0.001350      -0.003625       0.000695
      -0.003164      -0.000340      -0.004307
       0.000736       0.002284      -0.004373
       0.001267      -0.001206       0.003071
       0.002368      -0.001404      -0.001242
      -0.001280      -0.001065      -0.000880
      -0.004011       0.001920       0.003578
       0.000176       0.003688       0.000765
       0.002108       0.000104      -0.002030
       0.000056      -0.007499      -0.002914
      -0.002635       0.000031       0.000016
       0.002870       0.005682       0.004096
       0.003950      -0.002440       0.000067
      -0.007901      -0.000249      -0.004991
      -0.001634      -0.000610       0.002741
       0.001535      -0.000166       0.005383
      -0.000654       0.002072      -0.008273
       0.002651      -0.001725      -0.001322
      -0.002716      -0.000456       0.006351
       0.000687       0.001653       0.000358
       0.000216      -0.001268       0.001880
      -0.001937      -0.001031      -0.007894
      -0.003318      -0.001403      -0.001720
      -0.001331      -0.002511       0.007792
       0.002972       0.005032      -0.001957
       0.000063       0.000305      -0.003401
       0.002381      -0.001984      -0.002385
      -0.002233       0.000707       0.007386
      -0.001617      -0.002565       0.002187
       0.001013       0.003620      -0.008466
      -0.000093      -0.005925      -0.001052
       0.000710      -0.004292       0.001096
      -0.002778       0.007772       0.005394
       0.002804      -0.001443      -0.000075
      -0.002104      -0.000316      -0.005434
      -0.006354       0.001001      -0.001292
       0.003088      -0.001825       0.002498
       0.001886      -0.001215      -0.000228
      -0.000077      -0.002150      -0.004810
       0.001590      -0.001263       0.004484
      -0.000496       0.002670       0.003865
       0.001308       0.001330      -0.002680
      -0.000333      -0.004123      -0.001930
      -0.004659       0.002748      -0.001191
      -0.003831      -0.000016       0.000309
      -0.000201      -0.004162       0.001389
       0.003439       0.002751      -0.002278
      -0.002915      -0.000962      -0.003771
      -0.000245      -0.001874       0.004545
       0.002430       0.001245       0.001401
      -0.004574       0.000248      -0.004768
      -0.000622      -0.000699      -0.000467
      -0.002137      -0.000305       0.003661
       0.000686       0.002027       0.001672
       0.004058      -0.000750      -0.001916
      -0.000996      -0.003571       0.000062
      -0.000835       0.002859      -0.000692
      -0.002859      -0.001990      -0.003174
       0.001601      -0.004107       0.000118
      -0.001953       0.007374       0.004320
      -0.002520       0.000754      -0.005228
       0.006693      -0.004001       0.001335
       0.000648      -0.005153       0.008356
      -0.002223       0.000828      -0.013083
      -0.004167       0.007750       0.001350
       0.000896      -0.006089       0.009197
       0.001895      -0.000875      -0.004010
      -0.004415       0.003041      -0.000516
       0.002973      -0.005309      -0.001272
       0.002483       0.003097       0.004614
      -0.003450       0.001386      -0.003272
      -0.001711      -0.005262      -0.002907
       0.002138       0.003387       0.004469
      -0.001771       0.003090      -0.002790
      -0.002035      -0.006267      -0.001867
       0.003241      -0.001206      -0.000320
      -0.002765       0.002800       0.004166
      -0.003563       0.000355       0.000428
       0.003119       0.002350      -0.000015
       0.003299       0.001026      -0.002369
      -0.003277      -0.002328      -0.008523
      -0.001228      -0.000028       0.006686
      -0.001327       0.001749       0.004813
      -0.003037       0.000376      -0.007789
       0.004745      -0.003473       0.001953
       0.001502      -0.002589       0.004780
