INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : PUENTE PIEDRA-LIMA
CODIGO  : PIDR
LATITUD : -11.868
LONGITUD: -77.075

2. SISMO
FECHA LOCAL     : 2021/11/28
HORA LOCAL      : 01:32:29
LATITUD         : -12.04
LONGITUD        : -77.54
PROFUNDIDAD     : 65 km
MAGNITUD        : M5.2
DIST. EPICENTRAL: 54.2 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/11/28 06:32:34  UTC
NUMERO DE MUESTRAS         : 5001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   38.1384     61.2293        55.9104

              Z              N              E
      -0.040351      -0.036346      -0.038238
       0.065525      -0.074061      -0.007773
       0.020756       0.053350       0.041006
      -0.016164       0.083130      -0.045026
       0.049775      -0.034433      -0.022060
      -0.004191       0.047498       0.006222
      -0.044161       0.051087       0.005019
      -0.021814      -0.022868       0.046690
       0.006259      -0.058372       0.034740
       0.059861      -0.013299      -0.027206
       0.006593       0.039150      -0.013006
       0.006298      -0.025513       0.002576
       0.007729       0.044201      -0.017937
      -0.022002       0.025234       0.006507
       0.013913      -0.045601       0.033982
       0.023927      -0.005336      -0.013671
       0.060974       0.003552      -0.016639
      -0.078112       0.007644       0.002206
      -0.032364      -0.053143      -0.023590
       0.081822      -0.019555      -0.021929
      -0.002534       0.011661      -0.045793
       0.047631       0.021189       0.057769
      -0.025903       0.052356       0.039776
      -0.048940       0.007520      -0.055659
       0.007493      -0.019446      -0.018104
       0.036512      -0.043671      -0.022974
       0.031345      -0.001004      -0.001511
      -0.020664       0.001815       0.015100
       0.029857       0.029829       0.002605
       0.013573       0.028043      -0.008899
      -0.013959      -0.035846       0.001359
       0.023865       0.017579      -0.025747
       0.037290      -0.011809      -0.009774
      -0.045529      -0.026267      -0.011088
      -0.031460       0.005701      -0.004632
       0.016370       0.035445       0.020482
       0.006835       0.017890      -0.052558
       0.049343      -0.005937      -0.036989
      -0.000752       0.041855      -0.007148
      -0.004459      -0.012328       0.067902
      -0.032565       0.041969       0.074360
      -0.020291      -0.022964       0.009174
       0.089813      -0.131222      -0.004470
      -0.001960       0.042901      -0.044530
      -0.054000       0.045712      -0.002304
       0.003091      -0.001589      -0.036621
       0.053821      -0.009049      -0.041295
       0.095982       0.001160       0.067474
      -0.063564       0.008451       0.020350
      -0.041146      -0.064059      -0.012984
       0.059118       0.041441       0.045226
      -0.007158       0.014848      -0.036812
       0.050746      -0.018956      -0.070384
      -0.034700       0.060731      -0.023397
      -0.050083       0.020226       0.009129
      -0.010214      -0.003394       0.056085
       0.012019      -0.078275      -0.003366
       0.089127      -0.029611       0.006347
       0.003661       0.037517       0.007457
      -0.012522       0.030673      -0.049914
      -0.035502       0.020927      -0.045607
      -0.000460      -0.057037      -0.019921
       0.042307       0.025943       0.028292
      -0.028797       0.050752       0.001629
       0.051998      -0.044401      -0.022965
       0.057443       0.019614      -0.020478
      -0.024768       0.013630      -0.048225
      -0.004182      -0.015966      -0.009335
      -0.032756      -0.001974       0.021917
      -0.012793      -0.029259       0.009819
       0.007854       0.024188       0.073303
       0.008695       0.003314       0.035182
       0.023521       0.016058      -0.038640
      -0.023131       0.031377      -0.003242
       0.023960      -0.027725      -0.005811
       0.081718      -0.042906      -0.023665
      -0.017551       0.000769      -0.003263
      -0.061444      -0.010254       0.029542
       0.083626      -0.041910      -0.004924
      -0.026495       0.096570      -0.067509
      -0.051909      -0.015127      -0.037643
       0.101340      -0.037852       0.053450
      -0.042516       0.058609      -0.008723
       0.014895      -0.026915      -0.008714
       0.058458       0.048014       0.065429
      -0.049341      -0.024380      -0.020102
       0.005088      -0.040270      -0.011900
      -0.011657       0.025374      -0.023390
      -0.025167      -0.008283      -0.032482
       0.011487       0.061646       0.030132
      -0.012790       0.017462       0.008027
       0.029445      -0.024829      -0.044984
       0.059273       0.006224      -0.037974
       0.017211      -0.037102       0.035628
       0.009389      -0.037256       0.026798
      -0.051310       0.011666       0.004201
       0.029629      -0.019917       0.011960
       0.080420      -0.029321      -0.011754
      -0.045522       0.040778      -0.034271
      -0.028020       0.036940      -0.012958
      -0.024096       0.057644       0.025374
      -0.014014       0.019125       0.000092
       0.048579      -0.037020       0.015848
       0.030129       0.007285       0.036389
       0.033761      -0.063677      -0.039214
      -0.011859       0.001842      -0.041749
      -0.043710       0.041925      -0.015780
       0.060540      -0.052576      -0.044248
       0.063718       0.011983      -0.013434
      -0.004909       0.004321      -0.001455
      -0.027651      -0.021071      -0.027506
      -0.078348       0.021889      -0.013278
      -0.033344      -0.007986       0.014842
       0.073450       0.004377       0.018053
       0.034582       0.057057      -0.035936
      -0.004948       0.019037      -0.024074
       0.008493       0.008461       0.028511
       0.002762      -0.046813       0.034429
       0.051408      -0.054321       0.048615
      -0.002213       0.023532       0.029204
      -0.068646       0.003132       0.055331
       0.008178       0.014764       0.029432
       0.010824       0.001335      -0.064036
      -0.004669       0.007136      -0.077747
       0.056516       0.004841      -0.045214
      -0.007778       0.012863       0.001039
      -0.011962       0.002584      -0.005120
       0.127587      -0.066238       0.028007
       0.063264       0.001133       0.033136
      -0.071595       0.036886       0.013965
      -0.117974       0.044015       0.016423
      -0.097090      -0.015613      -0.073048
       0.065283      -0.045767      -0.100068
       0.121764       0.096935       0.002620
       0.017154       0.066797       0.074562
       0.006824      -0.035425       0.062045
      -0.013594      -0.013452       0.021498
      -0.055326      -0.076199      -0.064234
       0.025112      -0.101814      -0.047061
       0.067299       0.004765      -0.033128
       0.027560       0.013656      -0.077658
       0.025477       0.062632       0.007862
      -0.020517       0.085695       0.040057
      -0.070171      -0.004578       0.040173
      -0.059874      -0.008350       0.037558
      -0.017950      -0.070438      -0.015702
       0.074670      -0.033949      -0.023613
       0.006389       0.092287       0.049998
       0.017566       0.021727       0.014109
       0.093880      -0.051127      -0.063453
       0.009442      -0.036627       0.000690
       0.005304       0.014065      -0.029506
      -0.031869       0.003978       0.012766
       0.000678      -0.024266       0.054779
       0.003207       0.024702      -0.032413
      -0.053254       0.075580      -0.031032
      -0.036250       0.044445      -0.020643
       0.019399      -0.121257      -0.027447
       0.129246      -0.088084      -0.028327
       0.061685       0.056826       0.042876
      -0.040109       0.071160       0.043668
      -0.031861      -0.038848       0.005513
       0.064276      -0.055969       0.011613
      -0.020246       0.169539      -0.047288
      -0.134649       0.093219      -0.010301
      -0.004507      -0.041689       0.024929
       0.071251      -0.102348      -0.047626
       0.084149      -0.089654      -0.023361
      -0.010658       0.108032       0.065392
      -0.054771       0.036411       0.010337
       0.026238      -0.070662      -0.049042
       0.084352      -0.082047      -0.019586
       0.028008       0.015464      -0.009256
      -0.099142       0.059636       0.003020
      -0.032590      -0.030398      -0.001504
       0.047018       0.029783      -0.042279
      -0.004429      -0.003110      -0.051920
      -0.041639      -0.024453       0.044622
      -0.010552       0.055334       0.083059
       0.080603       0.023993       0.030179
       0.071293      -0.006780      -0.003961
      -0.036705       0.023032      -0.024467
      -0.006496      -0.027266      -0.013865
       0.059374      -0.082150      -0.024981
       0.025511       0.012502      -0.025330
      -0.046487       0.067458       0.001161
      -0.061914      -0.000606       0.046324
       0.058001      -0.049664       0.016976
       0.073109       0.020322      -0.061542
      -0.026301       0.019310      -0.033548
       0.004206      -0.046454       0.014972
       0.009993       0.014372       0.003440
      -0.058168       0.049109      -0.060448
      -0.022713       0.035422      -0.042417
       0.055467      -0.024121       0.045178
       0.067707      -0.041888       0.025536
      -0.009591      -0.011883      -0.015221
      -0.073251       0.007440       0.020903
      -0.050705       0.018502       0.025427
       0.022409      -0.026222      -0.013131
       0.100869      -0.027335      -0.043511
       0.051614       0.009591      -0.039894
      -0.051815       0.045053       0.027968
      -0.012474      -0.014849       0.045526
       0.053061      -0.002548      -0.000833
      -0.015391       0.058748      -0.020396
      -0.041738       0.003614       0.028592
       0.040776       0.018705       0.037370
       0.023279       0.005655      -0.031956
      -0.057370      -0.001228      -0.028792
       0.024202      -0.002896      -0.011681
       0.071760      -0.041732      -0.004578
       0.000969      -0.021203      -0.012586
       0.026312      -0.020522      -0.016119
      -0.015484       0.002701      -0.019444
      -0.030118       0.030547      -0.014102
      -0.019947       0.032646       0.024546
      -0.006404      -0.025427      -0.041185
