INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : SAN BARTOLO-LIMA
CODIGO  : SBRT
LATITUD : -12.390
LONGITUD: -76.774

2. SISMO
FECHA LOCAL     : 2021/11/28
HORA LOCAL      : 01:32:29
LATITUD         : -12.04
LONGITUD        : -77.54
PROFUNDIDAD     : 65 km
MAGNITUD        : M5.2
DIST. EPICENTRAL: 92.0 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/11/28 06:32:36  UTC
NUMERO DE MUESTRAS         : 7001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   21.3586     33.5963        23.7450

              Z              N              E
      -0.000118       0.001179      -0.004324
       0.003116      -0.001352      -0.001796
      -0.004941      -0.001354      -0.003557
      -0.006928      -0.001710      -0.000106
      -0.004126       0.002467       0.005734
       0.005178       0.000596       0.002604
       0.007207      -0.000148      -0.003307
      -0.003533       0.000783      -0.007269
      -0.002767       0.002254      -0.001948
      -0.002772       0.000212       0.001296
      -0.001503      -0.003336       0.000460
      -0.000081      -0.001104       0.000880
       0.000477       0.000552      -0.000416
       0.003361       0.000576      -0.002602
      -0.000244      -0.002940      -0.003155
      -0.003617       0.000581      -0.000660
      -0.001238       0.001871       0.001648
       0.000887      -0.002039       0.000289
       0.000153       0.001523       0.000694
       0.002071      -0.000964       0.003058
      -0.003382      -0.001998      -0.004984
      -0.002096      -0.000638      -0.002923
      -0.001901      -0.003128       0.004018
      -0.005189       0.000559       0.002541
       0.002755       0.003248      -0.000596
       0.000136      -0.000293      -0.003748
       0.004136      -0.000240       0.002848
       0.005095      -0.003423       0.000865
      -0.003527      -0.003222      -0.006716
      -0.005136       0.003743      -0.004852
      -0.003897       0.004206       0.003441
      -0.000048       0.004184       0.003780
      -0.001911      -0.002352      -0.004663
       0.001994       0.000702       0.000526
       0.003569       0.001646       0.001276
       0.003205      -0.006898      -0.003275
      -0.001724      -0.006481      -0.004515
      -0.005909      -0.001973      -0.001010
       0.002030       0.005850       0.006950
      -0.001557       0.001165       0.001213
      -0.003683       0.000856      -0.002286
      -0.000051       0.004630       0.000925
       0.003749       0.004896      -0.000224
       0.001701      -0.000653      -0.002264
      -0.000884      -0.009554      -0.002054
      -0.002172      -0.000696      -0.003002
      -0.002776       0.003166      -0.000317
       0.003653       0.000270       0.001169
      -0.000504      -0.000582      -0.001974
      -0.002644      -0.001637       0.000290
      -0.004764      -0.001021       0.002001
      -0.002516      -0.001046       0.004539
       0.001854       0.003344      -0.000782
       0.001146       0.002367      -0.005235
       0.003386      -0.002694      -0.002030
       0.001456      -0.001023      -0.001937
       0.000822      -0.000207       0.000707
      -0.005114      -0.003321      -0.000422
      -0.003932       0.001812       0.000379
       0.001965       0.002248       0.002579
       0.001976      -0.003242       0.001802
       0.000258       0.000778      -0.002649
      -0.003616      -0.001817      -0.005255
      -0.001863       0.002186       0.004540
      -0.000827       0.002806       0.000775
       0.003595      -0.004877      -0.004665
       0.001296       0.001638      -0.000570
      -0.003811      -0.000242      -0.000185
      -0.003241      -0.000224       0.001469
      -0.003153       0.001387      -0.002783
       0.002871       0.002711       0.001187
       0.002520       0.003590      -0.000612
       0.001031      -0.002545      -0.005112
      -0.000616      -0.004542       0.000143
      -0.000513      -0.006626      -0.000977
      -0.000574       0.002228       0.002465
      -0.004660       0.003819       0.001023
       0.000588      -0.004565       0.002002
      -0.001596       0.000377      -0.002377
       0.001698       0.002980      -0.007224
       0.004301      -0.000015       0.000791
      -0.001289      -0.000502       0.001413
      -0.004651      -0.000902       0.004218
      -0.005894       0.001930       0.003105
       0.003057       0.003499      -0.000703
      -0.000019      -0.001133      -0.004284
       0.000863      -0.000374      -0.000333
       0.001053       0.002941       0.002588
      -0.002602      -0.003328      -0.007907
       0.001886      -0.000775      -0.006426
      -0.000948       0.002122       0.002166
       0.001526      -0.003189       0.006456
      -0.003332      -0.001528       0.002044
      -0.003520       0.000818      -0.000901
       0.005686       0.002186      -0.000249
       0.003974       0.000127      -0.003862
      -0.000543      -0.000333      -0.005455
      -0.007156       0.001457      -0.002020
      -0.003967      -0.000720       0.007382
       0.000724      -0.004570       0.003521
       0.003000       0.001524      -0.004277
       0.005101       0.004885      -0.003469
      -0.001618      -0.002810       0.003351
      -0.002909       0.002341       0.001525
      -0.004379      -0.003221      -0.005745
      -0.000371      -0.002558      -0.001269
       0.001737       0.007275      -0.003591
      -0.000593      -0.001005       0.000041
       0.001265      -0.003457       0.001337
       0.001796      -0.006606       0.000833
       0.000702       0.000165       0.006405
      -0.004335       0.004362       0.001056
      -0.000464      -0.003565      -0.004142
       0.000927       0.002072      -0.006003
       0.002637       0.003148       0.000777
      -0.000289       0.000331       0.002497
      -0.005717      -0.000154      -0.002478
       0.001837      -0.002633       0.000946
      -0.000439      -0.001191       0.003102
      -0.000292      -0.002495      -0.002716
      -0.001466       0.001890      -0.001337
      -0.001239       0.011655       0.004180
       0.004522       0.001885      -0.001144
      -0.001269      -0.005670      -0.005475
      -0.003161       0.000168      -0.003885
       0.000605      -0.003517       0.004883
       0.001419      -0.002644       0.003696
      -0.001146      -0.006354      -0.005147
      -0.003551      -0.002674      -0.000738
       0.000015       0.005037       0.001427
       0.002388      -0.001428      -0.002446
       0.000690       0.003801      -0.004960
      -0.000179       0.004271      -0.003055
       0.000767      -0.001871       0.000213
      -0.001420      -0.004792       0.000914
      -0.002671       0.000643       0.001706
       0.000686       0.001510       0.002874
      -0.001997      -0.002311       0.001993
      -0.000571       0.003648      -0.000653
      -0.001087       0.001533      -0.001768
       0.001192       0.004059      -0.000713
       0.005135      -0.004902       0.000339
       0.000253      -0.003891      -0.001603
       0.000101       0.001750      -0.000051
      -0.005477      -0.002889       0.003780
      -0.002337       0.000514      -0.000736
      -0.002798      -0.002814      -0.005266
      -0.001741       0.007834      -0.000693
       0.005548       0.000957      -0.000861
      -0.000607      -0.000882       0.002388
       0.004859       0.005307      -0.000545
       0.001585      -0.003882      -0.006547
      -0.001099      -0.002558       0.006181
      -0.005048      -0.007618       0.000049
      -0.004883      -0.000541      -0.001787
       0.004129       0.003636      -0.000641
      -0.005494      -0.003464      -0.005776
      -0.004259       0.006335       0.002701
       0.003784       0.008923      -0.000349
       0.006207      -0.007003      -0.000033
       0.002650      -0.001000       0.001442
      -0.005157       0.000446       0.000020
       0.002605      -0.007098      -0.000607
       0.000833       0.001473      -0.005769
      -0.005221      -0.003367      -0.004569
       0.000695       0.001041      -0.002721
      -0.003836       0.001558       0.001239
      -0.001497      -0.004745       0.004860
       0.002889       0.001733       0.000047
       0.002750       0.000375       0.001949
       0.000489       0.006606       0.003274
      -0.001997       0.001779      -0.000997
      -0.000639      -0.001793       0.000072
      -0.003587       0.004488      -0.003616
      -0.002560      -0.003845      -0.000919
      -0.006234       0.004173       0.002112
       0.004065       0.002193      -0.001779
       0.010974      -0.004551       0.000886
       0.000772      -0.003068       0.002687
      -0.001658      -0.007734      -0.002107
      -0.002407       0.001493      -0.007242
      -0.000576      -0.000588      -0.005595
      -0.000973       0.001417       0.002422
      -0.006191       0.007430       0.004276
      -0.003064      -0.001995      -0.000650
       0.005889      -0.003431      -0.001305
       0.000820      -0.001199      -0.001719
      -0.000965       0.000404       0.002392
       0.005591       0.001035       0.002942
      -0.000231      -0.003218      -0.004962
      -0.007066      -0.000060      -0.006524
      -0.006483       0.003958      -0.003929
      -0.003900      -0.000260      -0.001298
       0.001673       0.001625       0.004767
       0.000666      -0.000621       0.003928
      -0.000377      -0.004418      -0.000659
       0.011857      -0.000995       0.002355
       0.008769      -0.003489      -0.001090
      -0.004687       0.000284      -0.004286
      -0.009785       0.006790      -0.005916
      -0.007956       0.003444      -0.000039
      -0.001511      -0.001142       0.004155
       0.001090      -0.003793      -0.001651
       0.003864       0.000244       0.004331
       0.006492       0.000724       0.002673
       0.006626      -0.002897      -0.000897
      -0.002456      -0.001552      -0.001372
      -0.006974       0.002231      -0.005333
      -0.003025       0.006140      -0.001419
      -0.004395       0.004475      -0.000556
       0.002109      -0.000233       0.002024
      -0.002357      -0.003851       0.001949
      -0.000685      -0.003515       0.000728
       0.005677      -0.005197      -0.000029
       0.000133       0.001807      -0.001923
       0.007546       0.000213      -0.001017
      -0.003192      -0.002086      -0.006967
      -0.008935       0.004581      -0.008710
      -0.007398      -0.003825      -0.003819
      -0.000859      -0.001402       0.007225
       0.006872      -0.001383       0.008370
       0.000610       0.002860      -0.000029
       0.008322       0.006982       0.001339
      -0.001378      -0.005388      -0.001359
      -0.004973      -0.004437      -0.001221
      -0.004662       0.000462      -0.008754
      -0.001112       0.000917      -0.005382
       0.006019       0.004748       0.003858
      -0.004222       0.002434       0.002678
       0.004279       0.001797       0.008115
      -0.000997       0.000470       0.000693
      -0.005499      -0.011167      -0.003179
       0.000279       0.005464      -0.004610
      -0.002733       0.009263      -0.002130
