INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : CAMACHO-LIMA
CODIGO  : CAMA
LATITUD : -12.070
LONGITUD: -76.967

2. SISMO
FECHA LOCAL     : 2021/11/28
HORA LOCAL      : 05:52:12
LATITUD         : -4.44
LONGITUD        : -77
PROFUNDIDAD     : 131 km
MAGNITUD        : M7.5
DIST. EPICENTRAL: 849.4 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/11/28 10:53:42  UTC
NUMERO DE MUESTRAS         : 25001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   4.9119     7.0241        8.1675

              Z              N              E
      -0.003644      -0.007339      -0.014556
      -0.003402      -0.015196       0.011611
       0.006271       0.006190       0.022534
       0.010465      -0.018208      -0.019533
       0.005405       0.019414      -0.012163
      -0.005233       0.020047       0.010690
      -0.011906      -0.017010      -0.031781
      -0.013272       0.034897      -0.015128
       0.000935      -0.001087       0.025878
       0.009584      -0.019548      -0.004523
       0.000035       0.020401      -0.006216
      -0.001853       0.000671       0.009224
      -0.003242      -0.008145      -0.012995
      -0.001601       0.007610      -0.013128
       0.001823       0.018109       0.020381
      -0.004829      -0.002212       0.001335
      -0.008849       0.017265      -0.036712
       0.002560      -0.001497       0.007601
       0.006209      -0.033543       0.012810
      -0.000560       0.004342      -0.025340
      -0.003868       0.005078       0.009690
      -0.005969       0.016113      -0.002044
       0.003532       0.012614      -0.020304
       0.000231      -0.010517       0.017943
      -0.008964       0.006659      -0.019505
       0.001482      -0.004820      -0.022766
       0.008423      -0.017635       0.028839
      -0.004618       0.021248      -0.009424
      -0.009517       0.014750      -0.022499
       0.003406      -0.015758       0.023038
       0.000056       0.021825      -0.002524
      -0.001160       0.023107      -0.009668
       0.003357      -0.008523       0.030882
      -0.005096      -0.009508      -0.007810
      -0.003309       0.000365      -0.034950
       0.006153       0.003892       0.002775
       0.007290      -0.003946      -0.005591
      -0.001914       0.009446      -0.021037
      -0.007902       0.007125       0.011434
      -0.004685       0.005810       0.001625
      -0.003239       0.019834      -0.020525
      -0.005148       0.004647       0.015605
      -0.004152      -0.009482       0.005376
      -0.000935      -0.007851      -0.026190
      -0.001670      -0.000802       0.004420
       0.001930      -0.000651       0.016061
       0.007563       0.001806      -0.011104
       0.003099      -0.004229      -0.021523
      -0.002743       0.004427      -0.003313
      -0.003735       0.023409       0.002406
       0.000846      -0.003154       0.000746
       0.004032      -0.001056       0.008578
      -0.001574       0.014695      -0.016840
      -0.009268      -0.000132      -0.015431
      -0.011429      -0.016749       0.008269
      -0.002804      -0.004224      -0.009305
       0.007129       0.014522      -0.007612
       0.009719      -0.010995       0.007202
       0.005307       0.017308      -0.002919
      -0.003570       0.025702      -0.015784
      -0.010495      -0.018732       0.001562
      -0.007937       0.008078       0.010336
      -0.001370       0.024879      -0.010957
       0.005703       0.002125      -0.001591
       0.005634      -0.019180       0.001654
      -0.004852      -0.014235      -0.017077
      -0.006172       0.006780       0.000732
      -0.005847       0.004362       0.002929
      -0.001133       0.015935      -0.010146
       0.005267       0.029568       0.021191
       0.001113      -0.006319      -0.003022
      -0.001607      -0.019211      -0.033076
      -0.006972       0.008236       0.011784
      -0.005705      -0.001492      -0.001212
      -0.000942      -0.001834      -0.021633
      -0.001190       0.012173      -0.000559
      -0.001749       0.011767      -0.002796
      -0.003942       0.004435       0.000015
      -0.002791       0.001531      -0.010733
       0.006110      -0.005709      -0.002488
       0.007784      -0.005590       0.024307
      -0.003571       0.009976      -0.009453
      -0.000034      -0.012388      -0.006358
       0.006634      -0.006366       0.017875
      -0.000545       0.012702      -0.031182
      -0.003094      -0.000619      -0.020039
       0.000656       0.021566       0.019973
      -0.006834       0.026687      -0.009792
      -0.007446      -0.015719       0.003782
       0.005674      -0.001272       0.026854
      -0.000693       0.005174      -0.029489
      -0.002475      -0.024901      -0.018802
       0.000016       0.014710       0.011535
