INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : CHOSICA-LIMA
CODIGO  : CHSC
LATITUD : -11.942
LONGITUD: -76.697

2. SISMO
FECHA LOCAL     : 2021/11/28
HORA LOCAL      : 05:52:12
LATITUD         : -4.44
LONGITUD        : -77
PROFUNDIDAD     : 131 km
MAGNITUD        : M7.5
DIST. EPICENTRAL: 835.8 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/11/28 10:53:43  UTC
NUMERO DE MUESTRAS         : 25001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   5.9508     10.1640        10.8266

              Z              N              E
      -0.004585      -0.009608       0.010040
       0.005283      -0.009227       0.008073
      -0.008234      -0.003694       0.006177
      -0.007563       0.001848      -0.002569
       0.004539       0.008562      -0.007946
       0.003393       0.008298      -0.008066
       0.008110      -0.003951      -0.008002
       0.002683      -0.005586       0.002082
      -0.005629      -0.009263       0.012999
      -0.010398      -0.000944       0.008997
      -0.001129      -0.000978      -0.002313
       0.006672       0.005823      -0.020153
      -0.000719       0.000255      -0.009096
       0.002945      -0.003735       0.005028
       0.001345       0.008082       0.002561
      -0.001176      -0.008985       0.010823
       0.000101      -0.001023      -0.001726
      -0.009839      -0.003541      -0.001752
      -0.007577      -0.006443       0.000280
       0.004153       0.003211      -0.004329
       0.007112       0.001887      -0.004832
       0.005318       0.007915      -0.009061
      -0.002997       0.001075       0.007418
      -0.005994       0.000305       0.005234
      -0.006208      -0.012117      -0.000165
      -0.003859      -0.007310      -0.005536
       0.006621       0.009456      -0.014695
       0.006007      -0.005232       0.009590
       0.002097      -0.000074       0.009312
       0.002512       0.006106      -0.003786
      -0.003123      -0.001172       0.004325
      -0.002868      -0.001158      -0.004999
      -0.001281      -0.009741      -0.002691
      -0.007421      -0.009949      -0.001812
      -0.004964       0.005333      -0.014963
       0.002569       0.007261      -0.004676
       0.009976       0.002343       0.008416
       0.005835      -0.003841       0.012426
      -0.006903      -0.007640       0.003947
      -0.004328       0.000072      -0.010315
      -0.002271      -0.004800      -0.012943
      -0.000460      -0.005022       0.000447
       0.000988       0.004471       0.010800
      -0.003176       0.011066       0.002955
      -0.000603       0.008996       0.001724
       0.006570      -0.007457      -0.001393
       0.001728      -0.009785      -0.004008
      -0.013564      -0.006764       0.001979
      -0.001757       0.003327      -0.014088
       0.005226      -0.001074      -0.004261
       0.004406      -0.001706       0.006462
       0.006154       0.018922      -0.007462
      -0.007714      -0.003222       0.014320
      -0.004313      -0.010150       0.002080
      -0.005415      -0.006433      -0.010260
      -0.001118      -0.007160      -0.004022
       0.007206       0.003740      -0.009116
      -0.000612      -0.006028       0.007719
      -0.000931       0.004312      -0.001141
      -0.002410       0.003272       0.004080
       0.002344       0.001344       0.002039
       0.002681       0.000184      -0.007606
      -0.004833      -0.013445       0.004168
      -0.001749       0.000449      -0.004597
      -0.001602      -0.002473       0.002297
       0.000243       0.000482      -0.007352
       0.007019       0.007697      -0.009829
      -0.000362      -0.002082       0.008713
      -0.008195       0.000298       0.001856
      -0.003702      -0.010731       0.004092
       0.005231      -0.005660      -0.004875
       0.007847       0.005238      -0.004762
       0.001618      -0.005711       0.012225
      -0.006154       0.005653      -0.001920
      -0.008174       0.006004      -0.006617
       0.000010      -0.003132      -0.006407
      -0.000320      -0.003495      -0.004122
      -0.003213      -0.012048       0.009920
       0.000948       0.005154      -0.001873
       0.004870       0.009818      -0.004687
       0.006869       0.002613       0.000040
      -0.003378      -0.003652      -0.000456
      -0.010045      -0.016669       0.003784
      -0.000457      -0.003716      -0.007236
       0.000409      -0.004380      -0.004778
       0.004673       0.003970      -0.007372
       0.006513       0.009446      -0.000701
      -0.004318      -0.000653       0.010103
      -0.005325       0.001183      -0.002049
      -0.006003      -0.010627       0.001034
       0.001032       0.002813      -0.010584
       0.005361      -0.000040       0.006884
       0.001177      -0.009832       0.011831
      -0.002542       0.003397      -0.012600
      -0.006221       0.002669      -0.002930
       0.004114       0.013399      -0.014720
       0.004935      -0.004264       0.008504
      -0.002146      -0.011386       0.008052
      -0.008314      -0.004494      -0.008310
      -0.006345      -0.010866       0.009189
       0.006028       0.013579      -0.008295
       0.004347       0.000936       0.007714
      -0.001254      -0.002454       0.000980
      -0.006712       0.000526      -0.011708
       0.002116      -0.015949       0.000214
       0.003401       0.007215      -0.005173
      -0.004380       0.002158       0.012577
       0.005150       0.003307      -0.010953
      -0.003557      -0.000506      -0.011343
      -0.005552      -0.013734       0.002759
      -0.002841       0.007464      -0.002883
      -0.002832      -0.001513       0.014906
       0.011272      -0.000033      -0.007475
       0.003413      -0.007643       0.002549
       0.003174      -0.008984       0.004492
      -0.001688       0.010671      -0.010383
      -0.017180       0.000343       0.003552
      -0.002360       0.003868      -0.009388
       0.004977      -0.004373      -0.001579
       0.005232      -0.005265      -0.002968
       0.000729      -0.000432       0.009007
      -0.002373      -0.007138       0.017678
       0.004920       0.008632      -0.015449
      -0.005424      -0.002070      -0.010734
      -0.005549      -0.013804       0.000486
       0.005341       0.002361      -0.001601
       0.000429       0.002709       0.004579
       0.001034       0.007150      -0.000805
       0.004284       0.010250      -0.003426
      -0.010635      -0.011682       0.011384
      -0.004771      -0.005961      -0.008278
       0.004838       0.001192      -0.014441
      -0.001017      -0.006477       0.007033
       0.008020       0.006524      -0.005607
      -0.003984      -0.003959       0.003593
      -0.005419      -0.010386       0.008778
       0.002430       0.001495      -0.001262
      -0.003780      -0.000780      -0.002605
       0.006404       0.001456      -0.010434
       0.001789       0.000723       0.003158
      -0.002694      -0.002613       0.006459
       0.001964      -0.002133      -0.007421
      -0.005126       0.000597       0.000161
      -0.003880       0.005036       0.003065
       0.002893      -0.002747      -0.002612
      -0.001567      -0.006476      -0.003758
      -0.004908       0.003716      -0.005820
       0.000628      -0.005201       0.002813
       0.006705      -0.007913       0.005354
       0.003967       0.011772      -0.005407
      -0.003481       0.003831       0.000608
      -0.004125      -0.007371       0.006530
      -0.003715       0.000202      -0.008841
       0.002553       0.000380      -0.012080
       0.003514      -0.003003      -0.000006
      -0.004941      -0.009673       0.010866
      -0.008913       0.000354       0.003183
      -0.002260       0.004443      -0.003805
       0.008126      -0.002442       0.002605
       0.003401       0.002731       0.000084
      -0.003047      -0.010150       0.003470
      -0.001502      -0.000362      -0.014402
      -0.004742      -0.001148      -0.003208
       0.000265       0.000080       0.002259
       0.007297       0.012038      -0.010641
      -0.005898      -0.014760       0.021179
      -0.000099       0.006938      -0.006780
       0.004775      -0.000912      -0.003300
      -0.000866      -0.011844       0.003931
      -0.000748       0.013362      -0.022520
      -0.013624      -0.009696       0.015409
       0.004560       0.002270      -0.002121
       0.007761       0.003653      -0.006843
      -0.000538      -0.004439       0.007515
       0.005563       0.002934      -0.004364
      -0.008935      -0.010021       0.007342
      -0.007822       0.002850      -0.007285
      -0.003616       0.001309      -0.004822
       0.002686       0.000465      -0.007994
       0.003616       0.000742       0.002198
      -0.002137      -0.010632       0.013045
       0.001295       0.002602      -0.008318
      -0.002196      -0.005433       0.006459
