INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : FE Y ALEGRIA-LIMA
CODIGO  : FEAL
LATITUD : -11.917
LONGITUD: -77.040

2. SISMO
FECHA LOCAL     : 2021/11/28
HORA LOCAL      : 05:52:12
LATITUD         : -4.44
LONGITUD        : -77
PROFUNDIDAD     : 131 km
MAGNITUD        : M7.5
DIST. EPICENTRAL: 832.3 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/11/28 10:53:42  UTC
NUMERO DE MUESTRAS         : 25001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   5.4961     9.1421        7.9959

              Z              N              E
       0.060156       0.001486       0.003591
       0.013118       0.083154       0.000217
      -0.042391       0.013603      -0.084196
      -0.044030       0.010202      -0.019181
       0.068908       0.003410       0.050519
       0.019961       0.024029       0.041452
      -0.108496       0.056485       0.032468
      -0.019676       0.002985      -0.031374
      -0.015699       0.010361      -0.057360
       0.086246       0.031760      -0.021604
       0.019740      -0.005884       0.042382
      -0.084826       0.048329      -0.015881
       0.009579       0.082091       0.056823
      -0.013302      -0.001021       0.004350
       0.000686      -0.085556      -0.075537
      -0.013658       0.098983       0.009946
      -0.008366       0.028209      -0.013207
       0.011057      -0.048442       0.003847
      -0.038238       0.153661       0.078486
      -0.013608      -0.047114       0.026522
       0.028365      -0.003943      -0.132595
       0.007475       0.052365      -0.015096
      -0.030341      -0.004704       0.042062
      -0.018805       0.030753       0.048766
      -0.001362       0.019202       0.031546
       0.010912       0.101380      -0.049830
       0.005241      -0.079579       0.007040
      -0.034909      -0.009005      -0.061375
      -0.015207       0.094950       0.011666
      -0.010977       0.028005      -0.004503
      -0.032989       0.043144       0.027523
       0.030798      -0.020833       0.074415
       0.037526       0.002874      -0.046659
       0.002636       0.020799      -0.010605
      -0.052594       0.060290      -0.059247
      -0.074358      -0.026760       0.011035
       0.036485       0.038409       0.041280
       0.024908       0.094426       0.004414
      -0.010209      -0.033488      -0.012311
      -0.002243       0.021879      -0.033983
      -0.004338      -0.014206       0.049286
      -0.024099       0.036561      -0.012171
      -0.046352       0.071174       0.009564
       0.006352       0.023708      -0.011438
      -0.002442      -0.031303      -0.025626
       0.060242      -0.005416       0.045438
       0.016738       0.061992      -0.051910
      -0.089848       0.000399      -0.045754
      -0.042593       0.110015       0.043363
       0.008916      -0.012269       0.101162
       0.073924      -0.060263      -0.038084
      -0.027470       0.077378      -0.061465
      -0.080517       0.013874       0.015176
      -0.000170       0.014623      -0.035323
       0.042835       0.007343       0.038402
       0.046129       0.070760      -0.009011
      -0.041073       0.035982       0.011248
      -0.040198      -0.011717      -0.013394
      -0.071590       0.029113       0.004572
       0.029614      -0.025271       0.036230
       0.096874      -0.002035      -0.067100
      -0.068922       0.057590       0.005667
      -0.023474       0.105020       0.017288
      -0.001509       0.044246       0.042072
      -0.019735      -0.066014      -0.040579
      -0.012140      -0.051220      -0.030993
       0.018379       0.056546       0.027903
       0.037157       0.099210       0.005043
      -0.052782       0.007339       0.036424
      -0.057375      -0.014115      -0.041372
       0.033261      -0.007908      -0.029385
       0.066660       0.072040       0.002622
      -0.074352       0.056115       0.054347
      -0.054559      -0.031228      -0.012008
       0.027044       0.034608      -0.048932
       0.033187       0.006103       0.020064
       0.004611       0.087849       0.006224
      -0.055346      -0.001815       0.023804
       0.005214      -0.082064      -0.045062
      -0.046833       0.094830       0.003385
       0.039690       0.041343       0.037017
       0.036725      -0.008288      -0.034710
      -0.088013      -0.004606       0.020328
       0.020986       0.092760      -0.013681
      -0.001939       0.054248      -0.012203
      -0.012055      -0.060470       0.032788
      -0.018976       0.007923      -0.006167
       0.020643      -0.013679      -0.015186
       0.024050       0.067795      -0.010902
      -0.050018       0.090307       0.014809
      -0.038808      -0.016843      -0.013995
