INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : MAYORAZGO-LIMA
CODIGO  : MAYA
LATITUD : -12.060
LONGITUD: -76.944

2. SISMO
FECHA LOCAL     : 2021/11/28
HORA LOCAL      : 05:52:12
LATITUD         : -4.44
LONGITUD        : -77
PROFUNDIDAD     : 131 km
MAGNITUD        : M7.5
DIST. EPICENTRAL: 848.3 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/11/28 10:53:44  UTC
NUMERO DE MUESTRAS         : 25001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   4.1043     2.5761        2.5263

              Z              N              E
      -0.009613       0.007300      -0.019234
      -0.013260      -0.005332      -0.002330
      -0.000668       0.017091       0.006653
       0.007541      -0.001100      -0.009882
       0.003961      -0.008468       0.011037
      -0.004166       0.005424      -0.003059
      -0.007814      -0.007098      -0.009406
      -0.008731       0.007555       0.012754
       0.007389       0.011063      -0.006427
       0.032821      -0.012574      -0.003485
       0.013133       0.011038       0.014606
      -0.009575       0.005543      -0.004811
      -0.017698      -0.014256      -0.001762
      -0.026797       0.012994       0.002164
      -0.012432      -0.000366      -0.009600
      -0.007745      -0.008884       0.005395
      -0.024044       0.013670      -0.001170
      -0.019597       0.002570      -0.012716
      -0.019547       0.002589       0.009010
      -0.014191       0.006096       0.003016
      -0.015857      -0.007162      -0.003008
      -0.033982       0.004427       0.006967
      -0.025073       0.008141      -0.007661
      -0.011455      -0.005254       0.001580
      -0.009626       0.007316       0.006372
      -0.004229       0.004337      -0.009217
      -0.005949      -0.006365       0.006180
      -0.010574       0.006655       0.007313
       0.007508       0.001643      -0.001977
      -0.008564      -0.000712       0.006446
      -0.014254       0.009130      -0.004683
       0.005773       0.003993      -0.003744
      -0.019447      -0.000336       0.009934
      -0.009769       0.005217      -0.005394
       0.003991      -0.002414       0.001109
      -0.005130      -0.008528       0.006897
       0.011125       0.006329      -0.008992
      -0.000463       0.004409       0.006873
      -0.009644       0.003438       0.002315
      -0.005069       0.007646      -0.013020
      -0.013216      -0.008212       0.011009
      -0.003366       0.000937       0.004338
       0.003965       0.007196      -0.012196
      -0.005056      -0.003763       0.010413
      -0.005112       0.011676      -0.001344
      -0.008639      -0.001309      -0.007267
      -0.020447      -0.010735       0.020243
      -0.010571       0.017836      -0.003480
      -0.010472       0.001955      -0.011110
      -0.008780      -0.007009       0.007871
       0.005736       0.008115      -0.009513
      -0.005000       0.000189       0.001467
      -0.013246       0.005481       0.010857
      -0.000638       0.006179      -0.011939
       0.003974       0.001484      -0.001059
      -0.003257       0.000929       0.007540
      -0.003291      -0.002923      -0.001835
      -0.003266       0.009913       0.002653
      -0.006871       0.007620      -0.004528
      -0.013179      -0.004372      -0.005636
      -0.018636       0.008992       0.006670
      -0.016839       0.007726       0.003138
      -0.015062      -0.001372      -0.002383
       0.002937       0.008772      -0.001041
       0.009441       0.002334      -0.002239
      -0.006858      -0.001598       0.000981
       0.001172       0.003793       0.001473
       0.004896       0.002116      -0.005032
      -0.004155       0.009112       0.003192
       0.000279       0.001291       0.004996
       0.011165       0.004214      -0.002895
       0.004030       0.009287      -0.000531
      -0.007764      -0.009185      -0.004192
      -0.008701       0.004338      -0.002467
      -0.005114       0.007809       0.002831
       0.001242      -0.003061      -0.005467
      -0.006823       0.006388      -0.002213
      -0.010540      -0.001820       0.005339
       0.000309       0.003320      -0.006150
      -0.000529       0.009833       0.000922
      -0.005075      -0.008297       0.006342
       0.002082       0.004432      -0.009318
       0.011206       0.007440       0.001061
      -0.004083      -0.010237       0.004520
      -0.009618       0.013608      -0.004575
      -0.010451       0.008142       0.004905
      -0.013270      -0.009893       0.002023
       0.005716       0.016151      -0.003344
      -0.004962       0.004539       0.002647
      -0.010574      -0.000949      -0.002468
       0.005752       0.014838      -0.005211
      -0.004102      -0.004303       0.002985
      -0.009586      -0.002005      -0.000435
      -0.014976       0.006499      -0.000676
      -0.009695      -0.000556       0.006820
       0.009372       0.015899      -0.002475
      -0.009448       0.002386      -0.001685
      -0.016904      -0.011281       0.008563
       0.001235       0.017030       0.000254
      -0.006852      -0.002266       0.000632
       0.007456      -0.003059       0.007074
       0.013103       0.022871      -0.006209
      -0.011328      -0.004879      -0.005020
      -0.005154      -0.000670       0.003849
       0.003979       0.011823      -0.006131
      -0.002329      -0.008188       0.005831
      -0.003268       0.006078       0.006830
