INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : PALPA-ICA
CODIGO  : PALP
LATITUD : -14.538
LONGITUD: -75.187

2. SISMO
FECHA LOCAL     : 2021/11/28
HORA LOCAL      : 05:52:12
LATITUD         : -4.44
LONGITUD        : -77
PROFUNDIDAD     : 131 km
MAGNITUD        : M7.5
DIST. EPICENTRAL: 1141.5 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/11/28 10:54:13  UTC
NUMERO DE MUESTRAS         : 30001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   0.9294     1.9797        2.5475

              Z              N              E
       0.006556       0.074699      -0.072536
      -0.035043       0.167184      -0.121720
      -0.027559       0.114898      -0.125311
       0.035956      -0.072668      -0.084624
       0.071528      -0.212081      -0.013600
       0.055717      -0.160845       0.064958
       0.019461      -0.018308       0.094379
      -0.026852       0.059728       0.047764
      -0.061225       0.048727      -0.039302
      -0.057437      -0.010657      -0.123075
      -0.022923      -0.052605      -0.165662
       0.011410      -0.043834      -0.141876
       0.013423      -0.013469      -0.042394
      -0.011496      -0.000753       0.064119
      -0.017517      -0.014692       0.074103
       0.003963      -0.041446      -0.003809
       0.018923      -0.070780      -0.079189
       0.011650      -0.075101      -0.102034
      -0.002658      -0.032150      -0.079424
      -0.007275       0.018074      -0.038649
      -0.007807       0.017697      -0.009741
      -0.020700      -0.001186       0.009090
      -0.027522      -0.008281       0.005719
      -0.006080      -0.038308      -0.046946
       0.011447      -0.071471      -0.104968
       0.001661      -0.076729      -0.119838
      -0.003223      -0.048233      -0.095330
       0.016135       0.005604      -0.034779
       0.025421       0.031409       0.054883
       0.002451       0.017965       0.109582
      -0.028360      -0.015350       0.040795
      -0.038283      -0.048577      -0.110941
      -0.023468      -0.062572      -0.201511
      -0.003438      -0.079745      -0.167738
       0.004298      -0.075243      -0.063647
       0.002991      -0.005944       0.023349
       0.000331       0.055955       0.063648
      -0.002394       0.024008       0.060512
      -0.002921      -0.054047       0.009387
