INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : PISCO-ICA
CODIGO  : PISC
LATITUD : -13.711
LONGITUD: -76.207

2. SISMO
FECHA LOCAL     : 2021/11/28
HORA LOCAL      : 05:52:12
LATITUD         : -4.44
LONGITUD        : -77
PROFUNDIDAD     : 131 km
MAGNITUD        : M7.5
DIST. EPICENTRAL: 1035.7 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/11/28 10:53:57  UTC
NUMERO DE MUESTRAS         : 35001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   1.6680     3.3166        4.8518

              Z              N              E
       0.001239       0.004020      -0.013521
       0.001948       0.012620      -0.012096
       0.001284       0.015745      -0.003197
       0.004303       0.006485      -0.002513
       0.003162       0.005839       0.002513
       0.001694       0.012408      -0.002315
       0.002918       0.008228      -0.010013
      -0.001387       0.007220      -0.009551
       0.003197       0.012592      -0.008009
       0.003966       0.006127       0.001419
       0.003050       0.003607       0.002780
       0.001629       0.011650      -0.010492
      -0.001960       0.012339      -0.013001
       0.005227       0.011730      -0.003301
       0.005967       0.007832       0.000848
       0.000822       0.001319      -0.000192
       0.003476       0.008385      -0.001963
      -0.000383       0.015827      -0.015246
      -0.000286       0.013757      -0.014950
       0.010449       0.010872       0.002631
       0.002352       0.006485       0.005758
      -0.000518       0.001290      -0.003010
       0.002614       0.008985      -0.011145
      -0.000985       0.015953      -0.005854
       0.005600       0.005083      -0.006793
       0.004254       0.000781      -0.009715
      -0.000981       0.009083      -0.002617
       0.000801       0.017551       0.002403
       0.006669       0.012221      -0.004691
       0.001562       0.007443      -0.012170
      -0.004998       0.007393      -0.000897
       0.004819       0.006807      -0.007358
       0.007322       0.009015      -0.004835
       0.003820       0.003941      -0.001334
      -0.000813       0.011856      -0.012183
      -0.003065       0.015277      -0.001444
       0.004644       0.005488       0.001108
       0.006262       0.007684      -0.004129
       0.004738       0.012128      -0.009156
      -0.001281       0.009312      -0.007008
      -0.000929       0.007919      -0.003798
       0.005982       0.006899      -0.005133
       0.002460      -0.000224      -0.005078
       0.006866       0.009440      -0.000625
       0.002917       0.019456      -0.001853
      -0.005275       0.012188      -0.016873
       0.002964       0.009730      -0.004439
       0.003732       0.004903       0.006191
       0.003603       0.000790      -0.006772
       0.004230       0.010743      -0.010078
       0.000884       0.013966      -0.006916
      -0.000750       0.007531      -0.001413
       0.000500       0.008839       0.000354
       0.006038       0.007386      -0.007742
       0.004436       0.008097      -0.004423
      -0.002673       0.012391      -0.004993
       0.001355       0.008365      -0.016101
       0.004171       0.003012      -0.003383
       0.001056       0.009515       0.003677
       0.004343       0.013219       0.001375
       0.003278       0.004978      -0.006340
      -0.002370       0.008837      -0.015731
       0.002316       0.015172      -0.008813
       0.005211       0.007725      -0.001901
       0.003520       0.001999      -0.001524
       0.004262       0.010792      -0.000809
      -0.001008       0.008890      -0.000846
      -0.002121       0.005183      -0.009067
       0.003558       0.014879      -0.010305
       0.004612       0.009295      -0.006054
       0.004385       0.007122       0.002325
       0.001978       0.009249       0.002872
      -0.002028       0.004502      -0.008510
      -0.001165       0.007031      -0.014868
       0.005903       0.014915      -0.008026
       0.005622       0.010450       0.002759
      -0.002180       0.005864      -0.003908
       0.002357       0.010495      -0.000976
       0.004575       0.009121      -0.001803
       0.000306       0.007721      -0.013865
       0.002551       0.006044      -0.007025
       0.001769       0.007131      -0.001086
      -0.000129       0.008376      -0.002166
       0.003388       0.012000      -0.001505
       0.003276       0.007240      -0.006050
      -0.003364       0.005568      -0.010179
       0.004063       0.017033      -0.001652
       0.008322       0.010732      -0.002427
       0.000691       0.006625      -0.007688
       0.000413       0.005812      -0.004785
      -0.002408       0.010082      -0.004497
       0.003987       0.010163      -0.005549
       0.007845       0.003000      -0.002177
      -0.001983       0.008384      -0.000511
      -0.000879       0.013142      -0.006254
       0.007802       0.011486      -0.006736
       0.001959       0.009580      -0.006087
       0.000043       0.008068      -0.002584
       0.004700       0.001641       0.001348
      -0.004992       0.012214      -0.003270
       0.002523       0.011474      -0.010284
       0.008854       0.008456      -0.011862
       0.002682       0.014220      -0.002492
       0.001534       0.000755       0.001205
      -0.002189       0.006923      -0.004331
       0.000772       0.010987      -0.004306
       0.005577       0.014354      -0.000759
       0.007333       0.013811      -0.011643
      -0.000860       0.003622      -0.013568
      -0.000893       0.010070       0.002081
       0.006232       0.007834       0.004179
       0.001473       0.008021      -0.000335
       0.000199       0.004175      -0.010164
       0.002980       0.011396      -0.009551
       0.002011       0.019001       0.000391
      -0.000649       0.003727      -0.006040
       0.002640       0.004621      -0.007929
       0.003241       0.010956      -0.004084
       0.000460       0.011651      -0.008369
       0.000633       0.010042      -0.003243
       0.004606       0.005763       0.004376
       0.003971       0.002094      -0.005422
      -0.004022       0.012140      -0.008838
      -0.000933       0.017160      -0.002714
       0.006888       0.005017      -0.006395
       0.004612       0.004984      -0.007413
       0.000986       0.011892       0.001546
      -0.000374       0.013286      -0.000537
      -0.000682       0.005056      -0.014027
       0.006369       0.006793      -0.006866
       0.006241       0.011717       0.006073
      -0.000173       0.010118      -0.001004
      -0.001997       0.011651      -0.012953
       0.005671       0.004086      -0.006086
       0.008114       0.006876       0.000223
      -0.005871       0.012281      -0.009066
      -0.000871       0.004918      -0.003408
       0.007802       0.008263      -0.001345
       0.002843       0.013123      -0.005310
       0.001908       0.008996      -0.007673
      -0.001398       0.012095      -0.010323
      -0.000813       0.010789       0.000156
       0.007601       0.004951       0.002216
       0.006261       0.003397      -0.001694
      -0.003480       0.007661      -0.011957
      -0.000335       0.012201      -0.017269
       0.004172       0.008742       0.005244
       0.005700       0.010708       0.008916
       0.002158       0.007809      -0.015787
      -0.004909       0.010143      -0.010416
       0.003400       0.012991      -0.001024
       0.005777       0.006403      -0.009730
       0.002343       0.005014      -0.001679
       0.004688       0.005557       0.005807
       0.002931       0.011811      -0.004029
      -0.002046       0.010921      -0.012611
       0.000462       0.009044      -0.006739
       0.006270       0.008610       0.002028
       0.003887       0.008627      -0.000938
       0.002951       0.009547      -0.010628
      -0.004075       0.008113      -0.014652
       0.001537       0.010076      -0.005376
       0.008846       0.005571       0.006271
       0.000382       0.006668       0.003610
       0.002241       0.011268      -0.008252
       0.004615       0.007609      -0.012876
       0.003784       0.009050      -0.003901
       0.000201       0.012707      -0.001168
       0.002715       0.007755      -0.006553
       0.003180       0.006953       0.001759
       0.002799       0.008664      -0.003823
       0.005265       0.010473      -0.012684
      -0.001981       0.012751      -0.002420
       0.002638       0.003253      -0.002345
       0.006237       0.005215      -0.001250
       0.004526       0.013763      -0.004233
      -0.001319       0.010152      -0.010901
      -0.001058       0.006205      -0.000375
       0.008483       0.006733       0.002313
       0.002021       0.010684      -0.011471
      -0.000432       0.009931      -0.013565
       0.002392       0.011929      -0.001506
       0.002302       0.006117       0.001905
       0.003402       0.001698      -0.005704
       0.003271       0.011680      -0.007883
       0.004351       0.007985       0.000482
       0.001536       0.011199      -0.002299
      -0.000952       0.013780      -0.010348
       0.001569       0.003866      -0.003041
       0.007374       0.004665       0.002805
       0.003796       0.010532      -0.010581
       0.000139       0.011596      -0.016545
       0.000596       0.012488       0.002857
      -0.000479       0.010116       0.009660
       0.006964       0.001171      -0.005911
       0.007312       0.008535      -0.015841
      -0.002411       0.011426      -0.007345
      -0.001739       0.008066      -0.004057
       0.006046       0.012954       0.000598
       0.006102       0.006096       0.008920
       0.000775       0.003323      -0.011723
      -0.002398       0.009381      -0.014991
       0.001419       0.017816       0.001012
       0.008338       0.009299      -0.004408
       0.003349      -0.006032      -0.008405
      -0.003701       0.006017       0.000195
       0.003346       0.018040       0.002526
       0.005286       0.011356      -0.008028
       0.001934       0.003823      -0.012589
       0.005287       0.008180      -0.001416
      -0.001117       0.011961       0.004976
      -0.001667       0.003659      -0.013241
       0.005901       0.007768      -0.016166
       0.004808       0.011491       0.001143
       0.003579       0.007134       0.010531
      -0.000730       0.010373      -0.000142
      -0.001884       0.006507      -0.023747
       0.004616       0.007633      -0.007731
       0.004021       0.012210       0.010680
      -0.000786       0.007691      -0.010022
