INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : SAYAN-LIMA
CODIGO  : SAYH
LATITUD : -11.133
LONGITUD: -77.192

2. SISMO
FECHA LOCAL     : 2021/11/28
HORA LOCAL      : 05:52:12
LATITUD         : -4.44
LONGITUD        : -77
PROFUNDIDAD     : 131 km
MAGNITUD        : M7.5
DIST. EPICENTRAL: 745.4 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/11/28 10:53:30  UTC
NUMERO DE MUESTRAS         : 25001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   6.5840     11.9696        10.3479

              Z              N              E
      -0.002690       0.003501       0.000278
      -0.001530      -0.003937      -0.005030
      -0.000752      -0.003717       0.002608
      -0.000696       0.005974       0.003564
      -0.003020      -0.000375      -0.002932
      -0.001395      -0.007367      -0.001380
      -0.000140       0.001887       0.002555
      -0.000544       0.001535       0.002115
      -0.001461      -0.003595      -0.001008
      -0.003404       0.001654      -0.000991
      -0.000175      -0.001005       0.001535
       0.000274      -0.002183       0.000740
      -0.001307       0.004170       0.000590
      -0.002375      -0.001859       0.000247
      -0.002894      -0.005187      -0.000151
      -0.000513       0.001191      -0.000778
      -0.000361       0.001132      -0.000943
      -0.000851      -0.000615       0.003568
      -0.002639      -0.000160       0.001185
      -0.003379      -0.000460      -0.002491
      -0.000144      -0.002241       0.000119
       0.002066      -0.002639       0.000311
      -0.000809       0.002724       0.001030
      -0.004208       0.002152      -0.000747
      -0.002646      -0.003614       0.001636
      -0.001018      -0.001905       0.003854
       0.000789       0.000815      -0.004070
       0.001445       0.000493      -0.003456
      -0.004022      -0.002043       0.003436
      -0.005654      -0.003107       0.004456
       0.000348       0.003570      -0.000791
       0.000969       0.003149      -0.000247
      -0.001314      -0.007943      -0.000445
      -0.002066      -0.004916      -0.002645
      -0.001377       0.004005       0.002673
       0.001118       0.001772       0.002532
      -0.001240      -0.001608      -0.000747
      -0.003486      -0.000561      -0.002105
      -0.003202      -0.000584       0.000533
      -0.001149      -0.003559       0.002345
       0.000604       0.000727      -0.000159
      -0.000869       0.003899       0.001067
      -0.001550      -0.003823      -0.000578
      -0.002313      -0.002927      -0.000697
      -0.001636       0.001080       0.002498
       0.000352      -0.003099       0.000623
      -0.002718       0.001180      -0.001363
      -0.003226       0.002068      -0.000377
       0.001174      -0.004209       0.000327
      -0.000489       0.000835       0.001081
      -0.001976       0.000737       0.001249
      -0.002097      -0.001371       0.000796
      -0.002437       0.001904      -0.000348
      -0.001036      -0.003365      -0.003073
      -0.000751      -0.003172       0.000854
       0.000675       0.003049       0.001893
      -0.001537       0.001302      -0.002684
      -0.003832      -0.002968       0.003759
      -0.000749      -0.003086       0.002237
      -0.001380       0.002680      -0.003725
      -0.000916       0.000338      -0.000792
      -0.000466      -0.004535       0.001687
      -0.002760       0.001680       0.003845
      -0.001951      -0.001032      -0.001170
      -0.000759      -0.002742      -0.001595
       0.000202       0.001408       0.001395
       0.000387      -0.001890      -0.000912
      -0.001766       0.001602       0.000660
      -0.005423       0.001854       0.001227
      -0.001963      -0.004801       0.000500
       0.001304       0.000105      -0.001492
      -0.000074       0.004542       0.000162
      -0.000387      -0.007558       0.004856
      -0.003178      -0.006441      -0.000025
      -0.004525       0.010354      -0.002667
       0.002068      -0.000215       0.001161
       0.004271      -0.008812       0.001878
      -0.007702       0.003006      -0.001544
      -0.004470       0.001340      -0.000832
       0.003053      -0.003489       0.003906
      -0.002582      -0.001218       0.000092
      -0.000293       0.002686       0.000050
       0.000907       0.001861      -0.000074
      -0.004153      -0.005874      -0.004321
      -0.003858      -0.002384       0.004395
       0.002693       0.002905       0.005150
      -0.000191       0.000755      -0.003515
      -0.003850       0.000040      -0.004157
      -0.002001      -0.002575       0.000330
      -0.001494      -0.004921       0.004734
      -0.001082       0.000745       0.002978
      -0.001206       0.004681      -0.002036
       0.000140      -0.002333      -0.002425
      -0.002174      -0.000692       0.001086
      -0.003118       0.001782       0.000710
      -0.000438      -0.007831       0.000369
       0.000271       0.000038       0.000729
      -0.003341       0.009051      -0.001002
      -0.001714      -0.005664      -0.000984
       0.001235      -0.006705       0.003120
      -0.002081       0.003569       0.001951
      -0.001992      -0.003396      -0.001222
      -0.002803       0.000376       0.002518
      -0.001030       0.007072      -0.001250
       0.002043      -0.006972      -0.002537
      -0.001799      -0.004923       0.001681
      -0.004278       0.006031      -0.000716
       0.000360      -0.000842       0.000966
       0.000141      -0.003497       0.001605
      -0.003424       0.000750      -0.000943
      -0.001140      -0.001988      -0.000318
       0.000669      -0.000349       0.000984
      -0.000481       0.001489      -0.000746
      -0.003482      -0.003815      -0.000011
      -0.001341       0.000964       0.001084
       0.000087       0.001761      -0.003212
      -0.000762      -0.005981      -0.000757
      -0.001151      -0.000137       0.004937
      -0.002700       0.004692       0.003079
      -0.000682      -0.002757       0.001005
       0.000124      -0.005950      -0.000802
      -0.000832       0.002445      -0.002639
      -0.001811       0.004190      -0.001725
      -0.001960      -0.007327       0.003539
      -0.000751      -0.003317       0.005042
      -0.000590       0.011203      -0.003304
