INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : SAN JUAN DE LURIGANCHO-LIMA
CODIGO  : SJLJ
LATITUD : -11.995
LONGITUD: -77.016

2. SISMO
FECHA LOCAL     : 2021/11/28
HORA LOCAL      : 05:52:12
LATITUD         : -4.44
LONGITUD        : -77
PROFUNDIDAD     : 131 km
MAGNITUD        : M7.5
DIST. EPICENTRAL: 841.0 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/11/28 10:53:42  UTC
NUMERO DE MUESTRAS         : 25001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   5.2275     9.3353        9.1838

              Z              N              E
       0.015445      -0.032925      -0.009294
       0.005314      -0.003955      -0.004124
       0.004922      -0.004781      -0.008293
       0.012029      -0.002985      -0.013044
      -0.017600      -0.036072       0.008351
      -0.022894      -0.013468      -0.027146
      -0.016291      -0.026875      -0.007462
       0.017646      -0.029723       0.009794
       0.023525       0.025047      -0.022265
      -0.013418       0.002560       0.013683
      -0.028746      -0.022723      -0.013366
      -0.007522      -0.039569      -0.018742
       0.013644      -0.027731      -0.001030
       0.020340       0.029840      -0.008536
      -0.010588       0.004497      -0.001848
      -0.028034      -0.034896      -0.002707
       0.000722      -0.029338      -0.001446
       0.004698       0.002508      -0.016665
       0.002926      -0.003632       0.005294
      -0.007052      -0.035792      -0.017088
       0.006015       0.000098      -0.025759
      -0.012259       0.001887       0.003824
      -0.042450      -0.039678       0.010767
       0.030999      -0.020423      -0.001588
       0.027329       0.006239      -0.004354
      -0.024825      -0.020578       0.002351
      -0.009556      -0.011407      -0.039828
      -0.020741       0.000540      -0.030047
       0.007259      -0.041646      -0.004952
       0.014795      -0.011853       0.018743
      -0.020694       0.019936       0.006911
       0.004112       0.000484      -0.009604
       0.014387      -0.023889      -0.002033
      -0.020513      -0.032307      -0.014470
      -0.032964      -0.008151       0.008275
       0.021037      -0.020807      -0.029812
       0.013702      -0.005580      -0.019590
      -0.003774      -0.007746       0.009706
      -0.011123      -0.000310      -0.008192
      -0.013228      -0.000253       0.002581
       0.010677      -0.048378       0.003168
      -0.041516      -0.013938      -0.002768
       0.018043      -0.018332      -0.023938
       0.034763      -0.006374      -0.017146
      -0.011786      -0.004674      -0.028387
      -0.013293      -0.018968       0.012659
      -0.034138       0.007939       0.023616
       0.009751      -0.041488      -0.029645
      -0.000176      -0.020256      -0.010653
       0.002157       0.015902      -0.001302
      -0.011325      -0.000516       0.002533
      -0.006115      -0.028891      -0.015384
       0.032933      -0.027067      -0.013493
      -0.008349       0.010896      -0.000507
      -0.031682      -0.026826      -0.000867
      -0.014082      -0.019231      -0.014299
       0.022524       0.003344      -0.019431
      -0.006367      -0.017266       0.006608
      -0.013449      -0.017382      -0.006437
       0.003851      -0.000933       0.002949
      -0.009718       0.013584       0.005568
      -0.003771      -0.026766      -0.025374
