INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : CALLAO-LIMA
CODIGO  : SLN1
LATITUD : -12.074
LONGITUD: -77.233

2. SISMO
FECHA LOCAL     : 2021/11/28
HORA LOCAL      : 05:52:12
LATITUD         : -4.44
LONGITUD        : -77
PROFUNDIDAD     : 131 km
MAGNITUD        : M7.5
DIST. EPICENTRAL: 850.2 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/11/28 10:53:42  UTC
NUMERO DE MUESTRAS         : 25001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   2.8761     6.8406        7.6829

              Z              N              E
       0.000708      -0.001810      -0.000245
      -0.000347       0.000773       0.001058
       0.000792      -0.002014      -0.001423
       0.002086      -0.000706      -0.000196
       0.001207      -0.000520       0.001665
       0.000135      -0.002197       0.000056
       0.001093      -0.002583       0.000468
      -0.000172      -0.000618       0.001242
      -0.000137       0.000382       0.000504
       0.001695      -0.002019      -0.000607
       0.001932       0.002205       0.001407
       0.001345      -0.001282      -0.001983
      -0.000097      -0.002937      -0.002912
       0.000365       0.000194       0.000908
       0.002083      -0.002173      -0.000909
       0.000627       0.000661      -0.000654
      -0.000756      -0.000634      -0.002903
       0.001910      -0.001026      -0.000862
       0.000979      -0.001866       0.001600
      -0.000628      -0.000687       0.000838
       0.002833      -0.000705       0.000910
       0.001487      -0.002183      -0.000336
       0.000847       0.002550       0.004312
       0.003010      -0.000507      -0.002573
       0.001091      -0.001291      -0.001704
       0.000806      -0.001018       0.002664
       0.001884      -0.002390      -0.002304
      -0.000195      -0.000051       0.000623
       0.000403      -0.001330      -0.000898
       0.001418       0.000103       0.001735
      -0.000062      -0.000529      -0.000580
       0.001466      -0.000406      -0.001493
       0.002114      -0.000585       0.001008
      -0.001136      -0.001921      -0.001641
       0.001203      -0.000203       0.000973
       0.002697      -0.001688      -0.001553
       0.000308       0.000581       0.000978
       0.000772      -0.001864      -0.000056
       0.001463      -0.002543      -0.001546
       0.000357       0.000325       0.001579
       0.000280      -0.000687      -0.001202
       0.002855       0.000850       0.002674
       0.003687      -0.001046      -0.000018
       0.001675      -0.000337       0.001155
       0.001022      -0.000572       0.003596
       0.001056      -0.001405      -0.000995
       0.002208       0.000345       0.001113
       0.002123       0.000344      -0.000123
      -0.000639       0.000505       0.000104
       0.001047      -0.001767       0.000660
       0.001632       0.000113       0.002109
      -0.001030      -0.001117       0.000802
       0.000408      -0.001303      -0.003962
       0.001010      -0.000390       0.001604
       0.002317      -0.002238       0.000502
       0.003192      -0.002055      -0.000836
       0.000695      -0.002010       0.000697
       0.000721      -0.001069       0.000451
       0.000934      -0.001074       0.001547
       0.001257       0.000356      -0.001507
       0.002332      -0.002828       0.000420
      -0.000255      -0.003490       0.002009
       0.001682      -0.001892       0.000619
       0.002976      -0.003698       0.000197
      -0.001259       0.001810       0.000361
       0.000632      -0.001616      -0.001239
       0.001242      -0.001375      -0.003199
       0.001421      -0.000917       0.001776
       0.003175      -0.004220      -0.001038
      -0.000874       0.000181      -0.001519
       0.001260      -0.001388      -0.000064
       0.002614       0.001251      -0.001806
       0.000398      -0.001110       0.002516
       0.000610      -0.002455      -0.000975
       0.001151       0.001194      -0.000507
       0.001403      -0.002568       0.000898
       0.001089      -0.001223      -0.001128
       0.000676      -0.002642       0.000434
      -0.002511      -0.002434       0.000893
       0.000299       0.000144       0.001482
       0.001169      -0.002225      -0.001385
      -0.000359      -0.000420       0.001310
      -0.000040      -0.001420      -0.000623
      -0.000690      -0.000894      -0.003139
       0.002334      -0.000869       0.000460
       0.001013      -0.001009      -0.001987
       0.000320      -0.001489      -0.000686
       0.001406      -0.002885       0.000170
      -0.000044       0.000166       0.000475
       0.000727      -0.001143       0.001160
       0.000988      -0.001207       0.000693
       0.001042       0.001294      -0.000489
       0.001032       0.000012      -0.000235
       0.001523      -0.001433       0.002684
       0.000299      -0.002401      -0.000789
       0.001539       0.000600       0.000422
       0.002475      -0.001158       0.000566
      -0.000921      -0.000091      -0.003643
       0.003591       0.000070      -0.000591
       0.000964      -0.004023       0.000230
      -0.000205       0.000566       0.000814
       0.003245       0.000770      -0.000410
      -0.000842      -0.001265       0.001854
       0.000400      -0.001026       0.001973
      -0.000766       0.000395      -0.002311
       0.000109      -0.002383      -0.000951
       0.001252      -0.003337      -0.001741
       0.000297       0.002635      -0.000995
       0.003088      -0.000561      -0.001749
       0.000425      -0.001897       0.000367
      -0.000071      -0.002419       0.000798
       0.002160      -0.002076      -0.000320
       0.002319       0.000206       0.003247
       0.000789      -0.001117      -0.001032
       0.001911       0.000855      -0.001103
       0.002576      -0.002275      -0.000617
       0.000569      -0.002653      -0.002385
       0.002556      -0.001197      -0.000721
       0.000092      -0.001492      -0.002537
       0.000988      -0.000082       0.001956
       0.001131       0.000383       0.000384
       0.000314       0.000428      -0.000507
       0.001929      -0.003498       0.002966
       0.000412      -0.001371      -0.001691
       0.001102      -0.000734       0.000398
       0.000483      -0.003390      -0.000998
       0.002336       0.000222      -0.003778
       0.002054      -0.001122      -0.000878
       0.000532      -0.000689      -0.001790
       0.000394       0.001043      -0.000865
       0.000344      -0.002677      -0.000853
       0.002480      -0.002531      -0.000248
       0.000217       0.001030       0.002138
       0.002009      -0.000137      -0.001167
       0.001984      -0.001712       0.001105
       0.001434      -0.002179       0.002540
       0.004298      -0.001878      -0.002489
       0.001033       0.000008      -0.000699
       0.002401       0.000191      -0.000320
       0.001962      -0.000344      -0.000132
       0.000734      -0.001837      -0.001421
       0.002479      -0.001343       0.000584
       0.001309      -0.000213       0.003969
       0.001580      -0.000054       0.000814
       0.001353       0.000549       0.001369
       0.000372      -0.002468      -0.000766
      -0.000379      -0.001174      -0.001212
       0.001302      -0.001670       0.001337
       0.000642      -0.003197       0.000614
       0.000506       0.000609       0.000147
       0.004033      -0.001112      -0.000686
       0.001425      -0.000832       0.000457
       0.001882      -0.000386       0.000018
       0.002037      -0.000493      -0.001827
       0.000040      -0.000547      -0.001232
       0.000473      -0.002484       0.002025
       0.000326       0.001302       0.000686
       0.003709       0.000029      -0.001055
       0.001901      -0.003100       0.000983
       0.001793      -0.001325      -0.000174
       0.001488      -0.001331      -0.002055
      -0.000192      -0.002062       0.000786
       0.002547      -0.000975       0.000786
      -0.000463      -0.000708      -0.001020
       0.000629      -0.000004       0.002027
       0.001669      -0.000062       0.000179
       0.000102      -0.003403      -0.000369
       0.001658      -0.002067      -0.000093
       0.002001      -0.001477      -0.001941
       0.002345      -0.003498       0.000943
       0.001477      -0.001307      -0.002216
       0.003723      -0.001879      -0.000232
       0.002201      -0.001848       0.002933
      -0.000920      -0.000009      -0.000077
       0.001362       0.000114      -0.000776
       0.001278      -0.001962      -0.000890
       0.001152      -0.001733       0.002522
       0.001949       0.000289       0.000660
       0.001375      -0.002043       0.001334
       0.000950      -0.001642       0.002668
       0.001102       0.001421      -0.000796
       0.001384      -0.000884       0.002042
       0.000549      -0.003451      -0.000371
       0.002804      -0.000104      -0.000163
       0.001878       0.000451       0.000908
       0.000287      -0.001272      -0.000534
       0.003055      -0.001053       0.001229
       0.000467       0.000617      -0.000304
       0.000394       0.001461       0.001408
       0.001385      -0.000886      -0.001297
       0.001100       0.000570      -0.000445
       0.001352      -0.000081       0.001269
       0.001225       0.000195      -0.002130
       0.002825       0.002054       0.002439
      -0.000396       0.000054       0.002066
       0.001755       0.000208       0.000317
       0.002850      -0.001908       0.000695
      -0.001113      -0.000192       0.002168
       0.001603      -0.000757       0.003063
       0.003373      -0.001637      -0.002678
       0.002608       0.001760       0.000160
      -0.000329      -0.000421      -0.000015
       0.001122       0.001448      -0.003411
       0.001969      -0.001993      -0.000336
      -0.000823      -0.001814      -0.000775
       0.003486       0.000952       0.000512
       0.001674      -0.002205       0.000087
       0.000394       0.001269       0.001029
       0.001717      -0.000424      -0.000401
      -0.001076      -0.001852      -0.002812
       0.000932      -0.000842       0.001206
       0.000760      -0.002620       0.000411
       0.001368      -0.000187       0.000423
       0.002840       0.001159      -0.000563
       0.001789       0.000018      -0.000166
       0.000132      -0.001241       0.002591
      -0.001190      -0.000488      -0.000661
       0.001874       0.000349       0.000809
       0.001713       0.001285       0.001290
       0.000921      -0.000832      -0.000627
      -0.000059      -0.002850       0.001425
       0.001409       0.000700       0.000460
       0.002211      -0.000124       0.000468
       0.001016      -0.000467       0.001782
       0.001913       0.000113       0.001497
      -0.000958      -0.001283      -0.000539
      -0.000858      -0.001713      -0.000983
       0.002025      -0.001309       0.000404
      -0.000369       0.001357       0.000777
      -0.000036      -0.001863       0.000590
       0.002062      -0.001323      -0.000150
       0.001244       0.002575       0.001296
       0.001237      -0.001767      -0.001889
       0.003537       0.000035      -0.003132
       0.001314       0.001329      -0.000535
      -0.000170      -0.000720      -0.000504
       0.003309      -0.000299       0.001919
       0.002329      -0.000375       0.000941
      -0.000531       0.002726       0.000755
       0.002028      -0.002093      -0.001078
       0.003099      -0.001199      -0.000714
       0.000124       0.001262       0.001209
       0.000435      -0.002111       0.001496
       0.003028       0.001692       0.003463
       0.000299       0.000229      -0.001564
      -0.001650      -0.000640      -0.001409
       0.001419      -0.001860       0.001016
       0.001771       0.000501      -0.001145
       0.000946       0.000395       0.001472
       0.001002      -0.003909      -0.000635
       0.000976       0.000783       0.001459
       0.000365      -0.002484       0.002055
       0.000258      -0.002994      -0.000558
       0.002647      -0.001250       0.002397
       0.000969      -0.001390       0.000856
       0.000309      -0.001028       0.000205
