INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : SAN MARTIN DE PORRES-LIMA
CODIGO  : SMDP
LATITUD : -12.027
LONGITUD: -77.080

2. SISMO
FECHA LOCAL     : 2021/11/28
HORA LOCAL      : 05:52:12
LATITUD         : -4.44
LONGITUD        : -77
PROFUNDIDAD     : 131 km
MAGNITUD        : M7.5
DIST. EPICENTRAL: 844.6 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/11/28 10:53:42  UTC
NUMERO DE MUESTRAS         : 25001
MUESTREO                   : 100muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   4.0672     6.8726        6.3656

              Z              N              E
      -0.007067       0.008058       0.002463
      -0.011868      -0.021714      -0.002904
       0.001390       0.004126      -0.002825
       0.003799       0.017421      -0.003164
      -0.000796       0.006594       0.004692
      -0.002634      -0.012084       0.002643
      -0.006158       0.010438      -0.006720
      -0.003408       0.016960       0.005208
      -0.001986      -0.013501      -0.001749
      -0.003931       0.002266      -0.007856
       0.000139       0.015518       0.002545
      -0.005208       0.002979       0.004882
      -0.005593      -0.009166       0.000129
      -0.003571       0.007687      -0.005450
      -0.001797       0.017765       0.004654
       0.003463      -0.015632      -0.000300
      -0.002757      -0.009966      -0.013591
      -0.005619       0.025872       0.003814
      -0.006046       0.009625       0.011645
      -0.000318      -0.009869      -0.002155
       0.002825       0.001880      -0.009357
      -0.003933       0.005634      -0.004545
      -0.008763      -0.001288       0.002768
      -0.009156       0.001912       0.000159
       0.000584       0.015035       0.000099
       0.002971       0.003324       0.002106
       0.000610      -0.010704      -0.004171
      -0.005036       0.003857      -0.006063
      -0.006688       0.016652       0.003869
      -0.001952       0.000061       0.003992
      -0.005408      -0.011044      -0.004178
       0.004913       0.013662      -0.004938
       0.003233       0.010628      -0.002626
      -0.008427      -0.007851       0.002785
      -0.003669       0.005147       0.003991
      -0.000145       0.011985      -0.002104
       0.000685      -0.004442      -0.004961
      -0.007104      -0.010329      -0.001986
      -0.004305       0.015655       0.007938
       0.001417       0.018722       0.007637
      -0.003214      -0.009189      -0.013030
      -0.002446      -0.008991      -0.007642
      -0.003709       0.017579       0.002390
      -0.002410       0.008987       0.000035
      -0.005161      -0.014039       0.005105
      -0.003285       0.010854      -0.005489
       0.004859       0.010388      -0.000023
      -0.004889      -0.011849       0.000116
      -0.005304       0.001173      -0.005268
       0.000207       0.015509       0.001743
      -0.004702       0.005690      -0.000364
      -0.002457      -0.013305      -0.000123
      -0.000083       0.005194      -0.005170
      -0.002703       0.013851       0.003578
      -0.006256      -0.005153       0.002429
      -0.000035       0.000653      -0.007459
       0.003555       0.010333       0.000023
      -0.004550       0.003170       0.004316
      -0.009449      -0.008217      -0.003358
      -0.004207       0.013648      -0.004165
       0.000777       0.023003       0.007250
      -0.002422      -0.012159      -0.009203
      -0.000507      -0.016642      -0.007336
      -0.004991       0.012581       0.005068
      -0.006060       0.012140       0.005221
      -0.003870      -0.003860       0.002737
      -0.003761       0.006534      -0.008923
       0.003132       0.011116       0.001193
      -0.001782      -0.005426      -0.002164
      -0.002743      -0.006862      -0.001064
      -0.004018       0.017013       0.004345
      -0.005192       0.012258      -0.006244
       0.001381      -0.015262      -0.001522
      -0.003178       0.000488       0.000224
      -0.002893       0.017347       0.001024
      -0.000642       0.000171       0.002189
      -0.001824      -0.005786      -0.000532
       0.001277       0.014105      -0.002781
      -0.001369       0.006769      -0.001384
      -0.007379      -0.014253      -0.004135
      -0.004756       0.007546       0.002094
       0.001807       0.014291       0.007719
       0.000112      -0.006387      -0.006519
      -0.005669      -0.006299      -0.004065
      -0.005070       0.009800      -0.001046
      -0.006063       0.017874       0.000976
      -0.006824      -0.005851       0.001420
       0.001452      -0.007956      -0.010005
       0.005180       0.015515      -0.003779
      -0.005532       0.008489       0.006159
      -0.005838      -0.007805       0.001646
      -0.000186       0.006920      -0.002014
      -0.002538       0.019243       0.003157
       0.002874      -0.011184      -0.007008
       0.000263      -0.014149      -0.009706
      -0.004803       0.013600       0.007820
      -0.005330       0.011427       0.006470
      -0.006009      -0.006471      -0.007486
       0.002190       0.006261      -0.011603
       0.001577       0.013227       0.002527
      -0.004587      -0.011032       0.008169
      -0.007241      -0.004004      -0.001924
      -0.002041       0.015069      -0.003208
       0.002283       0.011691      -0.000785
      -0.001385      -0.010183      -0.010305
      -0.003681       0.001593       0.001039
      -0.003361       0.011640       0.015151
      -0.003565      -0.007317      -0.005734
      -0.004736      -0.000008      -0.007006
      -0.000886       0.014488       0.000087
      -0.001878       0.013622       0.004959
      -0.002010      -0.009714       0.004045
      -0.000304       0.003123      -0.013299
       0.000740       0.012777      -0.006180
       0.002888      -0.007382       0.007834
      -0.005739      -0.002067      -0.000098
      -0.005859       0.010729      -0.004277
       0.000396       0.008544       0.008383
      -0.002853      -0.011456      -0.004463
      -0.003274       0.004466      -0.012970
      -0.002911       0.019432       0.004061
      -0.008011      -0.002468       0.006654
      -0.006840      -0.007601      -0.005010
       0.003778       0.010526      -0.007638
       0.004404       0.009398       0.003284
      -0.002944      -0.008485       0.002469
      -0.002495       0.008047       0.001461
      -0.005985       0.017879       0.004640
      -0.002782      -0.005695      -0.007971
      -0.001940      -0.010720      -0.013182
      -0.005403       0.007285       0.000017
       0.002319       0.009951       0.003437
      -0.006029      -0.001760       0.003485
      -0.002015       0.005081      -0.002839
       0.005772       0.017977      -0.006084
      -0.005586      -0.001981      -0.002395
      -0.004315      -0.013437      -0.007045
      -0.000924       0.005446       0.002182
       0.002390       0.011716       0.008269
       0.001314       0.002161       0.002711
      -0.004618      -0.005070      -0.009936
      -0.002871       0.009597      -0.004270
      -0.006001       0.007057       0.007158
      -0.007820      -0.011068       0.000916
       0.003001       0.004564      -0.001499
       0.002246       0.011237      -0.005002
      -0.002051      -0.004145      -0.002190
      -0.002204       0.000232      -0.001254
      -0.006053       0.017723       0.004844
      -0.003550       0.003919       0.002042
      -0.002374      -0.015296      -0.006698
       0.000071       0.004655      -0.001323
      -0.001114       0.017645      -0.002771
      -0.001608      -0.001404       0.003738
      -0.001785      -0.003031       0.003317
       0.000087       0.011507      -0.007188
       0.001789       0.002772      -0.001281
      -0.007031      -0.006474       0.003978
      -0.005475      -0.001522      -0.001934
      -0.000430       0.017746       0.000932
       0.000434       0.007664      -0.001429
      -0.002072      -0.015963      -0.012888
      -0.002627       0.009899      -0.000375
      -0.004650       0.013990       0.010628
      -0.005525      -0.004801       0.002955
       0.000067      -0.002690      -0.007644
       0.000823       0.016510      -0.005199
       0.000921       0.006973       0.000313
      -0.007551      -0.016484      -0.002994
      -0.003185       0.009700       0.007649
       0.003012       0.012233       0.004595
      -0.004260      -0.009110      -0.006595
      -0.005452       0.002797      -0.004562
      -0.006926       0.018877      -0.003937
      -0.000979       0.000678       0.004947
      -0.002045      -0.017168      -0.000364
      -0.003070       0.009416      -0.006291
      -0.001393       0.020505      -0.000198
      -0.008459      -0.000771      -0.002831
       0.000508      -0.004217       0.000608
       0.006917       0.006292       0.000861
      -0.001999       0.006253      -0.001056
      -0.005360      -0.006638      -0.004207
      -0.006631       0.002970      -0.006672
      -0.003774       0.012599       0.006153
       0.001146      -0.010346       0.005914
      -0.002996      -0.009773      -0.002507
      -0.007023       0.023334      -0.006555
      -0.003869       0.018805      -0.003868
      -0.000840      -0.020810       0.000669
      -0.002002      -0.003221      -0.002009
       0.004465       0.020628      -0.000507
       0.001677      -0.001099      -0.006206
      -0.010247       0.000825      -0.002662
      -0.004295       0.016701       0.005470
       0.001767      -0.000373       0.004970
      -0.002882      -0.013040       0.000877
      -0.003323       0.012027      -0.006445
       0.003057       0.013764      -0.003361
      -0.001390      -0.009157      -0.001517
      -0.010067      -0.009260       0.002525
      -0.001890       0.020335       0.001694
       0.002067       0.009156      -0.005247
      -0.004447      -0.014685      -0.007405
      -0.002164       0.005624       0.004338
      -0.001815       0.008271       0.010799
      -0.007022       0.005082      -0.001038
      -0.002244       0.000151      -0.009584
       0.003083       0.009149      -0.012660
      -0.002979       0.000696       0.006244
      -0.010374      -0.012531       0.006223
      -0.004187       0.017908      -0.004498
       0.000958       0.015590      -0.001192
       0.001531      -0.010691      -0.002980
      -0.000844      -0.008967      -0.001454
      -0.006854       0.013389      -0.003343
      -0.004857       0.007117       0.004315
       0.001099      -0.000196      -0.000519
       0.005395       0.006115      -0.010533
      -0.005382      -0.008435       0.001410
      -0.013078      -0.003905       0.010559
      -0.003898       0.015972      -0.001676
       0.002997       0.016216      -0.008891
       0.003375      -0.008372      -0.000327
       0.000165      -0.014562      -0.002404
      -0.008391       0.011046       0.001181
      -0.008719       0.010028       0.001210
       0.001756       0.001027      -0.002153
       0.003766       0.012986      -0.001841
      -0.000283       0.000518      -0.003648
      -0.006443      -0.007400       0.005716
      -0.004223       0.002959       0.000569
       0.002107       0.013346      -0.007088
       0.003564       0.004015      -0.000269
      -0.003296      -0.015211      -0.002329
      -0.012365       0.016580      -0.002478
      -0.005487       0.007129       0.003211
       0.002983      -0.009326       0.003496
       0.001722       0.014285      -0.004921
      -0.004453      -0.002234      -0.004754
      -0.008398      -0.008152       0.007481
      -0.002463       0.008793      -0.001018
       0.003675       0.018906      -0.011342
       0.002320      -0.006880      -0.002185
      -0.002303      -0.007230       0.005062
      -0.009093       0.018204       0.000499
      -0.006197       0.002807       0.000924
      -0.000312      -0.001711      -0.003212
       0.003236      -0.002533      -0.003442
      -0.001532       0.004697       0.002127
      -0.007447      -0.003723      -0.006442
       0.000743       0.003775       0.002257
      -0.000342       0.029103       0.005507
      -0.003763      -0.011307       0.000477
      -0.001902      -0.016892      -0.000963
      -0.002271       0.007498      -0.006399
      -0.003614       0.010488      -0.001116
      -0.001802       0.009060       0.006891
      -0.000460       0.000989       0.003821
       0.000242       0.004161      -0.007991
      -0.005482      -0.009596      -0.003593
      -0.011770      -0.000910      -0.000016
      -0.000322       0.026331      -0.000539
      -0.000929      -0.000407      -0.001264
      -0.001028      -0.019739      -0.005017
       0.006300       0.012280      -0.010146
      -0.003883       0.010988      -0.000462
      -0.007818       0.001120       0.014289
      -0.003334       0.011353       0.002215
       0.003034       0.003024      -0.008330
      -0.002063      -0.006090      -0.004411
      -0.006775      -0.010519      -0.001391
       0.003062       0.017953      -0.005503
      -0.000839       0.014400       0.005368
      -0.000747      -0.016123       0.004033
      -0.000195       0.003778      -0.007332
      -0.012493       0.012738       0.000767
      -0.005095       0.000291      -0.001589
       0.002532       0.000590      -0.001082
       0.001320       0.007106      -0.000600
      -0.002339      -0.005551      -0.003286
      -0.013387      -0.003340      -0.002870
      -0.005178       0.021238       0.004756
      -0.000286       0.005958       0.003855
       0.000610      -0.019547      -0.010913
       0.006670       0.004079      -0.005739
      -0.006915       0.019128       0.000854
      -0.009256      -0.003493       0.007579
      -0.003632       0.001230       0.001111
       0.000779       0.011986      -0.003712
       0.007145       0.004577      -0.000584
      -0.001178      -0.016629      -0.012859
      -0.005930       0.006058       0.004810
      -0.002952       0.021406       0.010430
       0.000806      -0.013889      -0.005628
      -0.001481       0.005515      -0.002304
      -0.004533       0.011796      -0.004111
      -0.004214      -0.001503       0.005221
      -0.003867      -0.001794       0.000829
       0.000728       0.000525      -0.007729
      -0.003693       0.002131       0.003154
      -0.003424      -0.000253      -0.005792
       0.001518       0.025456       0.003248
      -0.004573       0.007045       0.007536
      -0.002657      -0.022471      -0.014759
       0.003355       0.007844      -0.003126
      -0.000744       0.016811       0.002423
      -0.005489      -0.007547       0.004427
      -0.007131       0.003752       0.004963
      -0.000266       0.008794      -0.012377
       0.002313      -0.003109      -0.005696
      -0.003535      -0.005172      -0.000990
       0.000677       0.012576       0.009137
      -0.002070       0.016835       0.008228
      -0.003442      -0.012444      -0.011049
       0.001799       0.009814      -0.009839
      -0.005565       0.007130      -0.004656
      -0.010290      -0.018915       0.003170
      -0.003299       0.001148       0.000938
       0.005901       0.021792       0.004546
       0.000171       0.011466       0.004187
      -0.007516      -0.015280      -0.009796
      -0.007000       0.005362      -0.007782
      -0.003505       0.010674       0.000365
       0.002154      -0.006291       0.008375
      -0.002424       0.004446       0.001104
      -0.002605       0.010592      -0.000956
      -0.001240      -0.001471      -0.003150
      -0.005505      -0.000292      -0.012230
      -0.000874       0.016756       0.004339
       0.001299      -0.001305       0.000633
      -0.001968      -0.016020      -0.006356
      -0.002400       0.011630       0.000720
      -0.003238       0.016771       0.000299
      -0.005164      -0.012332       0.007812
      -0.004037      -0.000049      -0.002937
       0.004030       0.018965      -0.003866
       0.004452      -0.003549      -0.000655
      -0.004956      -0.005708      -0.005282
      -0.011671       0.010463       0.003668
      -0.010539       0.008159       0.001680
       0.004920       0.001666       0.001326
       0.004758       0.001275      -0.004977
      -0.002787       0.006681      -0.006410
      -0.003398      -0.001800       0.002222
      -0.006026      -0.003386       0.003815
       0.001422       0.021498       0.002283
      -0.002460      -0.000952      -0.004754
      -0.006419      -0.015182      -0.007720
       0.000367       0.007683      -0.007384
      -0.003437       0.005279       0.005445
      -0.008591      -0.002536       0.013386
       0.002622       0.007458      -0.004894
      -0.001077       0.015499      -0.013399
      -0.008158      -0.012641      -0.003985
