codigo,latitud_estacion,longitud_estacion,fecha_local,hora_local,latitud_sismo,longitud_sismo,profundidad,magnitud,dist_epicentral,tiempo_inicio,num_muestras,muestreo,unidades,pga_z,pga_n,pga_e,acel_z,acel_n,acel_e
PAVE,-11.832,-77.154,2021/01/20,17:59:13,-15.04,-75.64,42,M5.2,393.0,2021/01/20 22:59:55  UTC,18001,100muestras/segundo,cm/s2,0.9811,1.3029,1.3462,-0.000838,0.027656,0.009155
PAVE,-11.832,-77.154,2021/01/20,17:59:13,-15.04,-75.64,42,M5.2,393.0,2021/01/20 22:59:55  UTC,18001,100muestras/segundo,cm/s2,0.9811,1.3029,1.3462,-0.010746,0.015466,0.012998
PAVE,-11.832,-77.154,2021/01/20,17:59:13,-15.04,-75.64,42,M5.2,393.0,2021/01/20 22:59:55  UTC,18001,100muestras/segundo,cm/s2,0.9811,1.3029,1.3462,-0.029717,0.017156,0.004853
PAVE,-11.832,-77.154,2021/01/20,17:59:13,-15.04,-75.64,42,M5.2,393.0,2021/01/20 22:59:55  UTC,18001,100muestras/segundo,cm/s2,0.9811,1.3029,1.3462,-0.021636,0.007542,-0.015579
PAVE,-11.832,-77.154,2021/01/20,17:59:13,-15.04,-75.64,42,M5.2,393.0,2021/01/20 22:59:55  UTC,18001,100muestras/segundo,cm/s2,0.9811,1.3029,1.3462,-0.023107,-0.003303,0.001638
PAVE,-11.832,-77.154,2021/01/20,17:59:13,-15.04,-75.64,42,M5.2,393.0,2021/01/20 22:59:55  UTC,18001,100muestras/segundo,cm/s2,0.9811,1.3029,1.3462,-0.004101,0.024928,0.005133
PAVE,-11.832,-77.154,2021/01/20,17:59:13,-15.04,-75.64,42,M5.2,393.0,2021/01/20 22:59:55  UTC,18001,100muestras/segundo,cm/s2,0.9811,1.3029,1.3462,-0.002992,0.011476,0.004673
PAVE,-11.832,-77.154,2021/01/20,17:59:13,-15.04,-75.64,42,M5.2,393.0,2021/01/20 22:59:55  UTC,18001,100muestras/segundo,cm/s2,0.9811,1.3029,1.3462,-0.002730,0.016542,0.012584
PAVE,-11.832,-77.154,2021/01/20,17:59:13,-15.04,-75.64,42,M5.2,393.0,2021/01/20 22:59:55  UTC,18001,100muestras/segundo,cm/s2,0.9811,1.3029,1.3462,-0.004808,0.031989,0.006938
PAVE,-11.832,-77.154,2021/01/20,17:59:13,-15.04,-75.64,42,M5.2,393.0,2021/01/20 22:59:55  UTC,18001,100muestras/segundo,cm/s2,0.9811,1.3029,1.3462,-0.019781,0.008969,0.000691
PAVE,-11.832,-77.154,2021/01/20,17:59:13,-15.04,-75.64,42,M5.2,393.0,2021/01/20 22:59:55  UTC,18001,100muestras/segundo,cm/s2,0.9811,1.3029,1.3462,-0.007114,-0.007175,-0.013438
PAVE,-11.832,-77.154,2021/01/20,17:59:13,-15.04,-75.64,42,M5.2,393.0,2021/01/20 22:59:55  UTC,18001,100muestras/segundo,cm/s2,0.9811,1.3029,1.3462,-0.005924,-0.008986,-0.003475
PAVE,-11.832,-77.154,2021/01/20,17:59:13,-15.04,-75.64,42,M5.2,393.0,2021/01/20 22:59:55  UTC,18001,100muestras/segundo,cm/s2,0.9811,1.3029,1.3462,-0.004311,0.011519,0.016954
PAVE,-11.832,-77.154,2021/01/20,17:59:13,-15.04,-75.64,42,M5.2,393.0,2021/01/20 22:59:55  UTC,18001,100muestras/segundo,cm/s2,0.9811,1.3029,1.3462,-0.027012,-0.019015,-0.001713
PAVE,-11.832,-77.154,2021/01/20,17:59:13,-15.04,-75.64,42,M5.2,393.0,2021/01/20 22:59:55  UTC,18001,100muestras/segundo,cm/s2,0.9811,1.3029,1.3462,-0.050011,-0.021641,-0.005186
PAVE,-11.832,-77.154,2021/01/20,17:59:13,-15.04,-75.64,42,M5.2,393.0,2021/01/20 22:59:55  UTC,18001,100muestras/segundo,cm/s2,0.9811,1.3029,1.3462,-0.015919,0.002248,0.008509
PAVE,-11.832,-77.154,2021/01/20,17:59:13,-15.04,-75.64,42,M5.2,393.0,2021/01/20 22:59:55  UTC,18001,100muestras/segundo,cm/s2,0.9811,1.3029,1.3462,0.015567,-0.008978,0.008282
PAVE,-11.832,-77.154,2021/01/20,17:59:13,-15.04,-75.64,42,M5.2,393.0,2021/01/20 22:59:55  UTC,18001,100muestras/segundo,cm/s2,0.9811,1.3029,1.3462,0.013233,0.012744,0.013114
PAVE,-11.832,-77.154,2021/01/20,17:59:13,-15.04,-75.64,42,M5.2,393.0,2021/01/20 22:59:55  UTC,18001,100muestras/segundo,cm/s2,0.9811,1.3029,1.3462,-0.019557,-0.011309,-0.015718
PAVE,-11.832,-77.154,2021/01/20,17:59:13,-15.04,-75.64,42,M5.2,393.0,2021/01/20 22:59:55  UTC,18001,100muestras/segundo,cm/s2,0.9811,1.3029,1.3462,-0.031545,-0.031316,-0.026862
PAVE,-11.832,-77.154,2021/01/20,17:59:13,-15.04,-75.64,42,M5.2,393.0,2021/01/20 22:59:55  UTC,18001,100muestras/segundo,cm/s2,0.9811,1.3029,1.3462,-0.009613,0.002657,0.003367
PAVE,-11.832,-77.154,2021/01/20,17:59:13,-15.04,-75.64,42,M5.2,393.0,2021/01/20 22:59:55  UTC,18001,100muestras/segundo,cm/s2,0.9811,1.3029,1.3462,-0.003394,0.018302,0.010082
PAVE,-11.832,-77.154,2021/01/20,17:59:13,-15.04,-75.64,42,M5.2,393.0,2021/01/20 22:59:55  UTC,18001,100muestras/segundo,cm/s2,0.9811,1.3029,1.3462,-0.000487,0.019456,0.022032
PAVE,-11.832,-77.154,2021/01/20,17:59:13,-15.04,-75.64,42,M5.2,393.0,2021/01/20 22:59:55  UTC,18001,100muestras/segundo,cm/s2,0.9811,1.3029,1.3462,-0.001975,-0.001125,0.011675
