codigo,latitud_estacion,longitud_estacion,fecha_local,hora_local,latitud_sismo,longitud_sismo,profundidad,magnitud,dist_epicentral,tiempo_inicio,num_muestras,muestreo,unidades,pga_z,pga_n,pga_e,acel_z,acel_n,acel_e
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,-0.009651,0.018219,-0.039421
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,-0.000658,-0.028531,0.023288
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,-0.002885,0.044026,-0.011908
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,0.030945,-0.067534,0.007535
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,-0.012221,0.022992,0.015176
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,-0.029555,0.045729,-0.005439
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,0.003935,-0.073797,-0.003871
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,0.012688,0.048627,-0.006008
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,0.007504,-0.034136,0.002528
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,-0.009705,-0.019882,-0.010287
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,0.011127,0.011722,0.005968
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,-0.010134,0.003048,-0.038296
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,-0.008783,0.021642,0.013597
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,0.010863,-0.033755,0.026343
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,0.009456,0.004390,0.004144
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,-0.011509,-0.006520,-0.014476
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,-0.020904,0.021554,-0.015359
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,0.019096,-0.026865,0.029264
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,0.016926,0.004432,-0.042287
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,0.005113,0.006398,-0.007140
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,-0.012015,0.001070,0.022323
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,-0.008892,0.024431,0.015746
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,-0.012096,-0.025551,0.001043
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,-0.004976,-0.016737,-0.009454
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,0.008721,-0.009141,0.014244
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,-0.004067,0.024215,-0.035534
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,0.025183,-0.022512,0.013549
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,-0.030049,0.024682,0.010156
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,0.004969,-0.037333,-0.017205
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,0.052700,-0.008161,0.003789
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,-0.026639,0.035094,-0.018980
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,-0.023252,-0.035424,0.015928
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,-0.029344,0.021220,0.004765
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,0.015959,-0.046809,0.002566
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,0.020525,0.037320,-0.001553
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,0.010728,0.040207,-0.019030
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,0.023385,-0.033987,-0.003713
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,-0.028673,-0.036747,0.007022
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,0.004798,-0.014086,0.029315
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,-0.022042,0.059678,-0.047124
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,-0.017878,-0.023262,0.005943
HJUN,-12.051,-76.999,2021/01/20,18:09:16,-15.28,-75.9,43,M5.5,378.6,2021/01/20 23:09:54  UTC,16001,100muestras/segundo,cm/s2,0.2725,0.4351,0.3828,0.025678,-0.012112,0.030394
