codigo,latitud_estacion,longitud_estacion,fecha_local,hora_local,latitud_sismo,longitud_sismo,profundidad,magnitud,dist_epicentral,tiempo_inicio,num_muestras,muestreo,unidades,pga_z,pga_n,pga_e,acel_z,acel_n,acel_e
INDE,-11.996,-77.052,2021/03/09,14:16:30,-8.87,-75.94,132,M5.4,368.7,2021/03/09 19:17:06  UTC,11001,100muestras/segundo,cm/s2,0.5866,1.0679,1.2553,-0.001324,-0.057297,-0.002246
INDE,-11.996,-77.052,2021/03/09,14:16:30,-8.87,-75.94,132,M5.4,368.7,2021/03/09 19:17:06  UTC,11001,100muestras/segundo,cm/s2,0.5866,1.0679,1.2553,-0.025187,0.007639,-0.021655
INDE,-11.996,-77.052,2021/03/09,14:16:30,-8.87,-75.94,132,M5.4,368.7,2021/03/09 19:17:06  UTC,11001,100muestras/segundo,cm/s2,0.5866,1.0679,1.2553,0.007605,0.031195,0.029671
INDE,-11.996,-77.052,2021/03/09,14:16:30,-8.87,-75.94,132,M5.4,368.7,2021/03/09 19:17:06  UTC,11001,100muestras/segundo,cm/s2,0.5866,1.0679,1.2553,0.025159,0.001342,0.014948
INDE,-11.996,-77.052,2021/03/09,14:16:30,-8.87,-75.94,132,M5.4,368.7,2021/03/09 19:17:06  UTC,11001,100muestras/segundo,cm/s2,0.5866,1.0679,1.2553,0.011148,-0.026502,-0.010771
INDE,-11.996,-77.052,2021/03/09,14:16:30,-8.87,-75.94,132,M5.4,368.7,2021/03/09 19:17:06  UTC,11001,100muestras/segundo,cm/s2,0.5866,1.0679,1.2553,-0.002162,-0.039438,-0.001307
INDE,-11.996,-77.052,2021/03/09,14:16:30,-8.87,-75.94,132,M5.4,368.7,2021/03/09 19:17:06  UTC,11001,100muestras/segundo,cm/s2,0.5866,1.0679,1.2553,-0.004273,0.011760,-0.052767
INDE,-11.996,-77.052,2021/03/09,14:16:30,-8.87,-75.94,132,M5.4,368.7,2021/03/09 19:17:06  UTC,11001,100muestras/segundo,cm/s2,0.5866,1.0679,1.2553,-0.007388,0.037778,0.013279
INDE,-11.996,-77.052,2021/03/09,14:16:30,-8.87,-75.94,132,M5.4,368.7,2021/03/09 19:17:06  UTC,11001,100muestras/segundo,cm/s2,0.5866,1.0679,1.2553,0.014942,0.007902,0.017832
INDE,-11.996,-77.052,2021/03/09,14:16:30,-8.87,-75.94,132,M5.4,368.7,2021/03/09 19:17:06  UTC,11001,100muestras/segundo,cm/s2,0.5866,1.0679,1.2553,-0.006029,-0.023765,-0.023044
INDE,-11.996,-77.052,2021/03/09,14:16:30,-8.87,-75.94,132,M5.4,368.7,2021/03/09 19:17:06  UTC,11001,100muestras/segundo,cm/s2,0.5866,1.0679,1.2553,-0.006213,-0.030603,0.012747
INDE,-11.996,-77.052,2021/03/09,14:16:30,-8.87,-75.94,132,M5.4,368.7,2021/03/09 19:17:06  UTC,11001,100muestras/segundo,cm/s2,0.5866,1.0679,1.2553,0.032304,-0.011688,0.012838
INDE,-11.996,-77.052,2021/03/09,14:16:30,-8.87,-75.94,132,M5.4,368.7,2021/03/09 19:17:06  UTC,11001,100muestras/segundo,cm/s2,0.5866,1.0679,1.2553,0.007088,0.003739,-0.037925
INDE,-11.996,-77.052,2021/03/09,14:16:30,-8.87,-75.94,132,M5.4,368.7,2021/03/09 19:17:06  UTC,11001,100muestras/segundo,cm/s2,0.5866,1.0679,1.2553,-0.026465,0.017195,-0.045596
INDE,-11.996,-77.052,2021/03/09,14:16:30,-8.87,-75.94,132,M5.4,368.7,2021/03/09 19:17:06  UTC,11001,100muestras/segundo,cm/s2,0.5866,1.0679,1.2553,0.007226,-0.009068,0.078033
INDE,-11.996,-77.052,2021/03/09,14:16:30,-8.87,-75.94,132,M5.4,368.7,2021/03/09 19:17:06  UTC,11001,100muestras/segundo,cm/s2,0.5866,1.0679,1.2553,0.017450,0.005237,0.016594
INDE,-11.996,-77.052,2021/03/09,14:16:30,-8.87,-75.94,132,M5.4,368.7,2021/03/09 19:17:06  UTC,11001,100muestras/segundo,cm/s2,0.5866,1.0679,1.2553,-0.007313,0.011311,-0.066656
INDE,-11.996,-77.052,2021/03/09,14:16:30,-8.87,-75.94,132,M5.4,368.7,2021/03/09 19:17:06  UTC,11001,100muestras/segundo,cm/s2,0.5866,1.0679,1.2553,-0.004257,-0.014502,0.007199
INDE,-11.996,-77.052,2021/03/09,14:16:30,-8.87,-75.94,132,M5.4,368.7,2021/03/09 19:17:06  UTC,11001,100muestras/segundo,cm/s2,0.5866,1.0679,1.2553,-0.008229,0.002747,-0.006676
INDE,-11.996,-77.052,2021/03/09,14:16:30,-8.87,-75.94,132,M5.4,368.7,2021/03/09 19:17:06  UTC,11001,100muestras/segundo,cm/s2,0.5866,1.0679,1.2553,0.023620,-0.044225,0.001360
INDE,-11.996,-77.052,2021/03/09,14:16:30,-8.87,-75.94,132,M5.4,368.7,2021/03/09 19:17:06  UTC,11001,100muestras/segundo,cm/s2,0.5866,1.0679,1.2553,0.015446,-0.025671,-0.027538
INDE,-11.996,-77.052,2021/03/09,14:16:30,-8.87,-75.94,132,M5.4,368.7,2021/03/09 19:17:06  UTC,11001,100muestras/segundo,cm/s2,0.5866,1.0679,1.2553,0.000831,0.030001,-0.009610
INDE,-11.996,-77.052,2021/03/09,14:16:30,-8.87,-75.94,132,M5.4,368.7,2021/03/09 19:17:06  UTC,11001,100muestras/segundo,cm/s2,0.5866,1.0679,1.2553,0.004980,-0.014160,0.050414
INDE,-11.996,-77.052,2021/03/09,14:16:30,-8.87,-75.94,132,M5.4,368.7,2021/03/09 19:17:06  UTC,11001,100muestras/segundo,cm/s2,0.5866,1.0679,1.2553,-0.013724,0.023633,0.006560
INDE,-11.996,-77.052,2021/03/09,14:16:30,-8.87,-75.94,132,M5.4,368.7,2021/03/09 19:17:06  UTC,11001,100muestras/segundo,cm/s2,0.5866,1.0679,1.2553,-0.011806,0.029938,-0.018414
