codigo,latitud_estacion,longitud_estacion,fecha_local,hora_local,latitud_sismo,longitud_sismo,profundidad,magnitud,dist_epicentral,tiempo_inicio,num_muestras,muestreo,unidades,pga_z,pga_n,pga_e,acel_z,acel_n,acel_e
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.003903,0.012746,0.002936
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.008010,0.003825,-0.015785
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.007668,-0.021046,0.008481
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.002426,-0.009311,0.000175
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,-0.004548,-0.017423,-0.006685
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,-0.003960,0.003998,0.012984
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.000911,0.005337,0.003386
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,-0.002210,-0.004544,0.001969
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.000067,0.007697,-0.000115
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.002148,-0.008648,-0.008184
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.001009,-0.009006,-0.007664
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,-0.001693,-0.005516,-0.002803
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,-0.004664,-0.007658,-0.001901
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,-0.000321,0.001752,-0.000020
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,-0.001120,-0.005190,0.008765
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,-0.002017,-0.001767,0.001133
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,-0.001576,0.001203,-0.006135
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,-0.002955,-0.015429,0.005997
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.001964,0.005481,0.004652
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.002848,0.004503,-0.000748
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.002375,-0.010280,0.006237
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.002260,0.004221,-0.006986
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,-0.002501,-0.025174,-0.001669
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,-0.002807,-0.014998,0.008688
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,-0.001818,0.024461,-0.009783
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.002574,-0.001684,0.006655
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.005754,-0.004619,0.009519
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.002441,0.014134,-0.016569
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.002526,-0.015173,-0.008963
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.000578,-0.005946,0.000913
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,-0.001612,0.000075,0.004410
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,-0.002665,-0.022320,0.007410
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,-0.008102,0.003634,0.004704
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,-0.003477,-0.014012,-0.000381
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.005350,-0.011990,-0.001764
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.000691,0.009819,0.003309
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,-0.001989,-0.008271,-0.014150
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.000399,0.016617,-0.006527
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.004513,0.004750,0.003761
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.007715,-0.007506,-0.019811
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.003832,0.003398,0.011938
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.000743,-0.025806,0.016982
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,-0.007387,-0.011519,-0.000167
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,-0.008106,0.003324,0.016596
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,-0.002690,-0.005433,-0.017556
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,-0.003042,0.004826,-0.008138
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.000440,-0.007831,0.016314
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.001196,-0.000295,-0.010300
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.001623,0.011515,0.000694
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.001593,-0.017063,0.001650
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,-0.000344,-0.015388,-0.001919
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.002634,-0.003274,0.010332
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.003379,-0.003535,-0.007129
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.002219,0.000810,0.001526
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,-0.000494,-0.001425,0.008433
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,-0.005620,-0.000167,-0.011521
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,-0.003063,0.002315,-0.003227
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.001018,0.001522,-0.005136
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.002464,0.001092,-0.006845
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.006700,-0.004813,0.007740
CAMA,-12.070,-76.967,2021/04/19,23:53:29,-12.61,-76.87,44,M5,61.0,2021/04/20 04:53:25  UTC,10001,100muestras/segundo,cm/s2,7.9127,10.3573,14.8378,0.003531,-0.017234,0.014307
