codigo,latitud_estacion,longitud_estacion,fecha_local,hora_local,latitud_sismo,longitud_sismo,profundidad,magnitud,dist_epicentral,tiempo_inicio,num_muestras,muestreo,unidades,pga_z,pga_n,pga_e,acel_z,acel_n,acel_e
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,-0.003270,0.003232,-0.003931
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,-0.005827,-0.004810,-0.001576
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,-0.002390,-0.007301,0.003560
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.000868,-0.005426,0.005395
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.005601,-0.001481,0.010724
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.002428,0.002110,0.009136
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,-0.001802,-0.003721,0.007856
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.004015,-0.002384,-0.001301
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.002698,0.003926,-0.011797
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,-0.001049,0.005784,-0.009936
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.006429,0.004575,-0.007013
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.010576,-0.000843,-0.002582
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.009479,-0.003656,-0.001155
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.008238,-0.000732,-0.001336
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.001538,-0.001278,0.004694
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,-0.003364,-0.002361,0.008022
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,-0.006637,0.000337,0.002144
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,-0.007150,-0.001074,0.000868
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,-0.000287,0.000415,0.001931
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.002941,-0.001737,-0.002358
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,-0.002190,-0.000198,-0.000726
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,-0.005023,0.004144,0.004137
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.007914,0.000819,0.002289
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.014352,0.001748,-0.004698
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.011083,0.003082,-0.005384
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.005759,0.003280,0.000028
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,-0.002853,0.000687,0.000058
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,-0.003628,-0.001247,-0.001016
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,-0.007232,-0.000388,-0.000798
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,-0.001677,-0.001927,-0.000254
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.007645,-0.004409,0.000415
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.010707,-0.006701,0.001021
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.008426,-0.004504,0.002567
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.005423,0.001452,-0.001122
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.004363,0.007017,-0.006268
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,-0.004655,0.003933,-0.006235
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,-0.002989,-0.001066,-0.000718
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,-0.000568,-0.000839,0.004411
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.005072,-0.001639,0.005837
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.009307,-0.003123,0.004302
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.001333,-0.003344,-0.001697
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,-0.004601,0.001847,-0.002655
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,-0.010281,0.002510,-0.002039
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,-0.003812,-0.004006,0.000220
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.000558,-0.006624,0.004295
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.004680,-0.003210,0.001410
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.016674,0.003264,-0.002371
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.019632,0.003799,-0.004503
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.006697,-0.000947,-0.003881
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,-0.010822,-0.000870,-0.002772
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,-0.009186,0.003235,-0.001609
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,-0.002630,0.005264,0.002042
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.003470,0.003915,0.005239
PNEG,-12.367,-76.794,2021/04/19,23:53:29,-12.61,-76.87,44,M5,28.3,2021/04/20 04:53:26  UTC,8001,100muestras/segundo,cm/s2,41.0259,42.8764,39.7103,0.009233,0.001355,0.008042
