codigo,latitud_estacion,longitud_estacion,fecha_local,hora_local,latitud_sismo,longitud_sismo,profundidad,magnitud,dist_epicentral,tiempo_inicio,num_muestras,muestreo,unidades,pga_z,pga_n,pga_e,acel_z,acel_n,acel_e
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.026086,0.004880,-0.006987
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.004568,0.015156,0.005033
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.032199,0.001387,-0.001900
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.003898,-0.013608,-0.003421
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.014186,-0.001309,-0.011925
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.001903,-0.018218,0.012814
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.011438,0.015997,0.013978
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.035226,-0.003790,-0.013308
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.024849,-0.025760,0.004500
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.023562,0.035613,-0.013481
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.021962,0.001216,0.016179
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.019313,-0.011319,0.019700
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.017036,-0.012115,-0.018736
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.024529,-0.021169,0.000665
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.024202,0.002966,-0.005903
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.000801,0.004772,-0.002297
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.002743,0.021163,-0.008276
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.023572,-0.023298,-0.014297
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.007824,-0.040974,0.012000
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.013787,0.015991,0.028990
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.020479,0.010100,0.024581
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.022209,0.013459,-0.029203
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.016642,0.020157,-0.035946
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.031685,-0.024057,-0.001917
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.000187,-0.021334,-0.003310
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.014430,-0.002973,0.015224
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.010886,0.006479,0.011470
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.017392,0.013596,-0.010428
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.023439,-0.018360,0.003013
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.014361,-0.020404,-0.006701
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.015681,-0.000842,-0.011853
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.001812,0.026256,0.004692
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.010387,0.012696,0.012028
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.007842,-0.021087,0.023092
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.007903,0.000385,-0.000772
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.015938,-0.010409,-0.009884
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.008716,-0.000706,0.003642
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.002711,0.012683,-0.018658
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.012369,-0.007986,-0.017613
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.002070,0.009686,-0.000213
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.041644,-0.009256,0.018560
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.013164,-0.026296,0.031347
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.030783,0.005765,-0.003093
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.000742,0.018917,-0.010722
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.022868,0.016345,-0.010004
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.025988,-0.020424,-0.020118
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.029917,-0.031971,0.002414
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.014171,0.007077,-0.006866
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.016301,0.000324,0.006299
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.005304,-0.004483,0.017763
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.009521,-0.018493,-0.010458
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.006919,-0.009010,-0.012025
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.010423,0.026325,-0.000421
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.005978,-0.009932,0.024776
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.000607,0.003412,0.007866
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.006545,0.005225,-0.011114
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.002474,-0.012366,-0.004368
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.008738,0.001589,-0.020360
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.004691,-0.014615,-0.006147
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.002984,0.015141,0.008968
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.001308,0.012954,0.014066
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.010517,-0.019854,0.008825
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.023491,-0.013097,-0.016630
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,-0.007320,-0.010544,0.014568
SANI,-12.046,-76.973,2021/04/25,18:50:33,-15.63,-74.66,44,M5.4,470.9,2021/04/25 23:51:26  UTC,18001,100muestras/segundo,cm/s2,0.3039,0.5497,0.5134,0.032411,0.002468,0.002734
