codigo,latitud_estacion,longitud_estacion,fecha_local,hora_local,latitud_sismo,longitud_sismo,profundidad,magnitud,dist_epicentral,tiempo_inicio,num_muestras,muestreo,unidades,pga_z,pga_n,pga_e,acel_z,acel_n,acel_e
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,0.000169,-0.000949,-0.001223
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,-0.000225,0.000176,0.000308
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,0.000224,-0.000574,0.001903
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,0.000517,-0.000217,0.001110
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,0.001196,0.000672,0.000189
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,0.000687,0.000705,-0.000327
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,0.000487,0.000625,-0.001058
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,0.000436,-0.000556,-0.002073
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,-0.000559,-0.000253,-0.002960
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,-0.000966,-0.000079,-0.001933
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,-0.000500,0.000011,-0.000735
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,0.000039,0.000912,0.000777
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,0.000958,-0.000119,0.001610
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,0.000701,-0.000490,0.000421
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,0.000442,-0.000360,0.000456
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,-0.000275,-0.001252,-0.000380
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,0.000012,-0.000228,-0.000927
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,-0.000062,0.000700,0.000973
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,-0.000210,0.000905,0.000602
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,0.000719,0.000171,-0.000547
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,0.000170,0.000512,-0.001049
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,-0.000235,0.001407,-0.000964
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,-0.000330,0.000885,-0.000058
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,-0.001205,-0.000095,-0.000823
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,0.000307,-0.000783,-0.000710
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,0.000927,-0.000505,-0.000088
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,0.000998,0.000225,-0.000765
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,0.000876,0.000689,-0.000016
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,-0.000512,0.000661,-0.000620
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,0.000021,-0.000379,-0.000921
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,-0.000071,-0.001496,0.000411
CANT,-11.471,-76.624,2021/05/10,10:36:14,-10.13,-75.67,23,M5,182.1,2021/05/10 15:36:36  UTC,11001,100muestras/segundo,cm/s2,0.2673,0.4444,0.3947,0.000080,-0.000747,-0.000540
