codigo,latitud_estacion,longitud_estacion,fecha_local,hora_local,latitud_sismo,longitud_sismo,profundidad,magnitud,dist_epicentral,tiempo_inicio,num_muestras,muestreo,unidades,pga_z,pga_n,pga_e,acel_z,acel_n,acel_e
ATIC,-16.228,-73.613,2021/06/08,02:21:47,-16.7,-73.95,48,M5.1,63.7,2021/06/08 07:21:50  UTC,5001,100muestras/segundo,cm/s2,6.8157,10.9870,8.4252,0.001676,0.000000,0.000000
ATIC,-16.228,-73.613,2021/06/08,02:21:47,-16.7,-73.95,48,M5.1,63.7,2021/06/08 07:21:50  UTC,5001,100muestras/segundo,cm/s2,6.8157,10.9870,8.4252,0.001252,0.000000,0.000000
ATIC,-16.228,-73.613,2021/06/08,02:21:47,-16.7,-73.95,48,M5.1,63.7,2021/06/08 07:21:50  UTC,5001,100muestras/segundo,cm/s2,6.8157,10.9870,8.4252,-0.001971,0.000000,0.000000
ATIC,-16.228,-73.613,2021/06/08,02:21:47,-16.7,-73.95,48,M5.1,63.7,2021/06/08 07:21:50  UTC,5001,100muestras/segundo,cm/s2,6.8157,10.9870,8.4252,0.002393,0.000000,0.000000
ATIC,-16.228,-73.613,2021/06/08,02:21:47,-16.7,-73.95,48,M5.1,63.7,2021/06/08 07:21:50  UTC,5001,100muestras/segundo,cm/s2,6.8157,10.9870,8.4252,0.001046,0.000000,0.000000
ATIC,-16.228,-73.613,2021/06/08,02:21:47,-16.7,-73.95,48,M5.1,63.7,2021/06/08 07:21:50  UTC,5001,100muestras/segundo,cm/s2,6.8157,10.9870,8.4252,-0.000800,0.000000,0.000000
ATIC,-16.228,-73.613,2021/06/08,02:21:47,-16.7,-73.95,48,M5.1,63.7,2021/06/08 07:21:50  UTC,5001,100muestras/segundo,cm/s2,6.8157,10.9870,8.4252,0.000626,0.000000,0.000000
ATIC,-16.228,-73.613,2021/06/08,02:21:47,-16.7,-73.95,48,M5.1,63.7,2021/06/08 07:21:50  UTC,5001,100muestras/segundo,cm/s2,6.8157,10.9870,8.4252,0.003088,0.000000,0.000000
ATIC,-16.228,-73.613,2021/06/08,02:21:47,-16.7,-73.95,48,M5.1,63.7,2021/06/08 07:21:50  UTC,5001,100muestras/segundo,cm/s2,6.8157,10.9870,8.4252,-0.000185,0.000000,0.000000
ATIC,-16.228,-73.613,2021/06/08,02:21:47,-16.7,-73.95,48,M5.1,63.7,2021/06/08 07:21:50  UTC,5001,100muestras/segundo,cm/s2,6.8157,10.9870,8.4252,-0.005235,0.000000,0.000000
ATIC,-16.228,-73.613,2021/06/08,02:21:47,-16.7,-73.95,48,M5.1,63.7,2021/06/08 07:21:50  UTC,5001,100muestras/segundo,cm/s2,6.8157,10.9870,8.4252,0.002499,0.000000,0.000000
ATIC,-16.228,-73.613,2021/06/08,02:21:47,-16.7,-73.95,48,M5.1,63.7,2021/06/08 07:21:50  UTC,5001,100muestras/segundo,cm/s2,6.8157,10.9870,8.4252,0.001665,0.000000,0.000000
