codigo,latitud_estacion,longitud_estacion,fecha_local,hora_local,latitud_sismo,longitud_sismo,profundidad,magnitud,dist_epicentral,tiempo_inicio,num_muestras,muestreo,unidades,pga_z,pga_n,pga_e,acel_z,acel_n,acel_e
SNIS,-12.102,-77.033,2021/06/22,21:54:18,-12.77,-76.91,32,M5.8,75.5,2021/06/23 02:54:24  UTC,5853,100muestras/segundo,cm/s2,36.3533,70.2589,64.7760,0.010592,-0.001265,-0.011760
SNIS,-12.102,-77.033,2021/06/22,21:54:18,-12.77,-76.91,32,M5.8,75.5,2021/06/23 02:54:24  UTC,5853,100muestras/segundo,cm/s2,36.3533,70.2589,64.7760,0.002562,0.012871,0.001830
SNIS,-12.102,-77.033,2021/06/22,21:54:18,-12.77,-76.91,32,M5.8,75.5,2021/06/23 02:54:24  UTC,5853,100muestras/segundo,cm/s2,36.3533,70.2589,64.7760,-0.004101,-0.018252,-0.010778
SNIS,-12.102,-77.033,2021/06/22,21:54:18,-12.77,-76.91,32,M5.8,75.5,2021/06/23 02:54:24  UTC,5853,100muestras/segundo,cm/s2,36.3533,70.2589,64.7760,-0.001133,-0.005267,0.000442
SNIS,-12.102,-77.033,2021/06/22,21:54:18,-12.77,-76.91,32,M5.8,75.5,2021/06/23 02:54:24  UTC,5853,100muestras/segundo,cm/s2,36.3533,70.2589,64.7760,-0.003035,0.006694,0.015850
SNIS,-12.102,-77.033,2021/06/22,21:54:18,-12.77,-76.91,32,M5.8,75.5,2021/06/23 02:54:24  UTC,5853,100muestras/segundo,cm/s2,36.3533,70.2589,64.7760,-0.001389,-0.009441,-0.022433
SNIS,-12.102,-77.033,2021/06/22,21:54:18,-12.77,-76.91,32,M5.8,75.5,2021/06/23 02:54:24  UTC,5853,100muestras/segundo,cm/s2,36.3533,70.2589,64.7760,0.003888,0.014650,0.008289
SNIS,-12.102,-77.033,2021/06/22,21:54:18,-12.77,-76.91,32,M5.8,75.5,2021/06/23 02:54:24  UTC,5853,100muestras/segundo,cm/s2,36.3533,70.2589,64.7760,-0.003575,-0.012195,-0.000318
SNIS,-12.102,-77.033,2021/06/22,21:54:18,-12.77,-76.91,32,M5.8,75.5,2021/06/23 02:54:24  UTC,5853,100muestras/segundo,cm/s2,36.3533,70.2589,64.7760,0.002790,0.000082,0.005265
SNIS,-12.102,-77.033,2021/06/22,21:54:18,-12.77,-76.91,32,M5.8,75.5,2021/06/23 02:54:24  UTC,5853,100muestras/segundo,cm/s2,36.3533,70.2589,64.7760,-0.004399,0.002832,0.001726
SNIS,-12.102,-77.033,2021/06/22,21:54:18,-12.77,-76.91,32,M5.8,75.5,2021/06/23 02:54:24  UTC,5853,100muestras/segundo,cm/s2,36.3533,70.2589,64.7760,-0.000191,-0.014184,-0.024370
SNIS,-12.102,-77.033,2021/06/22,21:54:18,-12.77,-76.91,32,M5.8,75.5,2021/06/23 02:54:24  UTC,5853,100muestras/segundo,cm/s2,36.3533,70.2589,64.7760,0.017387,0.020290,0.004917
SNIS,-12.102,-77.033,2021/06/22,21:54:18,-12.77,-76.91,32,M5.8,75.5,2021/06/23 02:54:24  UTC,5853,100muestras/segundo,cm/s2,36.3533,70.2589,64.7760,-0.006790,-0.012215,-0.004471
SNIS,-12.102,-77.033,2021/06/22,21:54:18,-12.77,-76.91,32,M5.8,75.5,2021/06/23 02:54:24  UTC,5853,100muestras/segundo,cm/s2,36.3533,70.2589,64.7760,-0.000813,-0.003817,0.014190
SNIS,-12.102,-77.033,2021/06/22,21:54:18,-12.77,-76.91,32,M5.8,75.5,2021/06/23 02:54:24  UTC,5853,100muestras/segundo,cm/s2,36.3533,70.2589,64.7760,-0.004631,0.003434,0.004199
SNIS,-12.102,-77.033,2021/06/22,21:54:18,-12.77,-76.91,32,M5.8,75.5,2021/06/23 02:54:24  UTC,5853,100muestras/segundo,cm/s2,36.3533,70.2589,64.7760,-0.012549,-0.019629,-0.008634
SNIS,-12.102,-77.033,2021/06/22,21:54:18,-12.77,-76.91,32,M5.8,75.5,2021/06/23 02:54:24  UTC,5853,100muestras/segundo,cm/s2,36.3533,70.2589,64.7760,0.004579,0.007677,-0.007081
SNIS,-12.102,-77.033,2021/06/22,21:54:18,-12.77,-76.91,32,M5.8,75.5,2021/06/23 02:54:24  UTC,5853,100muestras/segundo,cm/s2,36.3533,70.2589,64.7760,0.003210,0.012335,-0.007632
SNIS,-12.102,-77.033,2021/06/22,21:54:18,-12.77,-76.91,32,M5.8,75.5,2021/06/23 02:54:24  UTC,5853,100muestras/segundo,cm/s2,36.3533,70.2589,64.7760,0.006020,-0.004662,0.009049
SNIS,-12.102,-77.033,2021/06/22,21:54:18,-12.77,-76.91,32,M5.8,75.5,2021/06/23 02:54:24  UTC,5853,100muestras/segundo,cm/s2,36.3533,70.2589,64.7760,0.000831,-0.010838,-0.004132
