codigo,latitud_estacion,longitud_estacion,fecha_local,hora_local,latitud_sismo,longitud_sismo,profundidad,magnitud,dist_epicentral,tiempo_inicio,num_muestras,muestreo,unidades,pga_z,pga_n,pga_e,acel_z,acel_n,acel_e
PUCA,-8.390,-74.665,2021/09/06,16:42:49,-8.1,-76,149,M5,150.6,2021/09/06 21:43:08  UTC,9001,100muestras/segundo,cm/s2,0.8790,0.8497,0.5890,-0.000029,-0.004604,0.002009
PUCA,-8.390,-74.665,2021/09/06,16:42:49,-8.1,-76,149,M5,150.6,2021/09/06 21:43:08  UTC,9001,100muestras/segundo,cm/s2,0.8790,0.8497,0.5890,0.000239,-0.002734,0.000847
PUCA,-8.390,-74.665,2021/09/06,16:42:49,-8.1,-76,149,M5,150.6,2021/09/06 21:43:08  UTC,9001,100muestras/segundo,cm/s2,0.8790,0.8497,0.5890,0.003147,0.001669,0.002609
PUCA,-8.390,-74.665,2021/09/06,16:42:49,-8.1,-76,149,M5,150.6,2021/09/06 21:43:08  UTC,9001,100muestras/segundo,cm/s2,0.8790,0.8497,0.5890,0.000949,-0.000694,-0.001075
PUCA,-8.390,-74.665,2021/09/06,16:42:49,-8.1,-76,149,M5,150.6,2021/09/06 21:43:08  UTC,9001,100muestras/segundo,cm/s2,0.8790,0.8497,0.5890,-0.002467,-0.001592,-0.000581
PUCA,-8.390,-74.665,2021/09/06,16:42:49,-8.1,-76,149,M5,150.6,2021/09/06 21:43:08  UTC,9001,100muestras/segundo,cm/s2,0.8790,0.8497,0.5890,-0.001571,0.003034,-0.000627
PUCA,-8.390,-74.665,2021/09/06,16:42:49,-8.1,-76,149,M5,150.6,2021/09/06 21:43:08  UTC,9001,100muestras/segundo,cm/s2,0.8790,0.8497,0.5890,-0.000872,0.004932,-0.002089
PUCA,-8.390,-74.665,2021/09/06,16:42:49,-8.1,-76,149,M5,150.6,2021/09/06 21:43:08  UTC,9001,100muestras/segundo,cm/s2,0.8790,0.8497,0.5890,0.000314,0.001338,0.001221
PUCA,-8.390,-74.665,2021/09/06,16:42:49,-8.1,-76,149,M5,150.6,2021/09/06 21:43:08  UTC,9001,100muestras/segundo,cm/s2,0.8790,0.8497,0.5890,-0.001751,-0.001486,-0.000734
PUCA,-8.390,-74.665,2021/09/06,16:42:49,-8.1,-76,149,M5,150.6,2021/09/06 21:43:08  UTC,9001,100muestras/segundo,cm/s2,0.8790,0.8497,0.5890,-0.003099,-0.000776,0.001136
PUCA,-8.390,-74.665,2021/09/06,16:42:49,-8.1,-76,149,M5,150.6,2021/09/06 21:43:08  UTC,9001,100muestras/segundo,cm/s2,0.8790,0.8497,0.5890,-0.003155,-0.005190,-0.004073
PUCA,-8.390,-74.665,2021/09/06,16:42:49,-8.1,-76,149,M5,150.6,2021/09/06 21:43:08  UTC,9001,100muestras/segundo,cm/s2,0.8790,0.8497,0.5890,-0.001870,-0.003412,-0.003276
PUCA,-8.390,-74.665,2021/09/06,16:42:49,-8.1,-76,149,M5,150.6,2021/09/06 21:43:08  UTC,9001,100muestras/segundo,cm/s2,0.8790,0.8497,0.5890,0.000294,0.003511,-0.001994
PUCA,-8.390,-74.665,2021/09/06,16:42:49,-8.1,-76,149,M5,150.6,2021/09/06 21:43:08  UTC,9001,100muestras/segundo,cm/s2,0.8790,0.8497,0.5890,-0.000214,0.003387,-0.003889
PUCA,-8.390,-74.665,2021/09/06,16:42:49,-8.1,-76,149,M5,150.6,2021/09/06 21:43:08  UTC,9001,100muestras/segundo,cm/s2,0.8790,0.8497,0.5890,0.000461,-0.000131,0.003433
PUCA,-8.390,-74.665,2021/09/06,16:42:49,-8.1,-76,149,M5,150.6,2021/09/06 21:43:08  UTC,9001,100muestras/segundo,cm/s2,0.8790,0.8497,0.5890,-0.001468,-0.000558,0.002289
PUCA,-8.390,-74.665,2021/09/06,16:42:49,-8.1,-76,149,M5,150.6,2021/09/06 21:43:08  UTC,9001,100muestras/segundo,cm/s2,0.8790,0.8497,0.5890,-0.002401,0.001524,-0.001529
PUCA,-8.390,-74.665,2021/09/06,16:42:49,-8.1,-76,149,M5,150.6,2021/09/06 21:43:08  UTC,9001,100muestras/segundo,cm/s2,0.8790,0.8497,0.5890,-0.001875,-0.000254,-0.002693
PUCA,-8.390,-74.665,2021/09/06,16:42:49,-8.1,-76,149,M5,150.6,2021/09/06 21:43:08  UTC,9001,100muestras/segundo,cm/s2,0.8790,0.8497,0.5890,-0.000240,0.001422,0.000153
PUCA,-8.390,-74.665,2021/09/06,16:42:49,-8.1,-76,149,M5,150.6,2021/09/06 21:43:08  UTC,9001,100muestras/segundo,cm/s2,0.8790,0.8497,0.5890,0.001509,0.004254,0.001760
PUCA,-8.390,-74.665,2021/09/06,16:42:49,-8.1,-76,149,M5,150.6,2021/09/06 21:43:08  UTC,9001,100muestras/segundo,cm/s2,0.8790,0.8497,0.5890,0.000741,0.000145,0.001345
