codigo,latitud_estacion,longitud_estacion,fecha_local,hora_local,latitud_sismo,longitud_sismo,profundidad,magnitud,dist_epicentral,tiempo_inicio,num_muestras,muestreo,unidades,pga_z,pga_n,pga_e,acel_z,acel_n,acel_e
MAGD,-12.095,-77.072,2021/10/13,04:07:40,-9.25,-79.15,57,M5.1,389.8,2021/10/13 09:07:57  UTC,22426,100muestras/segundo,cm/s2,0.1722,0.1589,0.1398,0.000005,-0.002316,-0.000034
MAGD,-12.095,-77.072,2021/10/13,04:07:40,-9.25,-79.15,57,M5.1,389.8,2021/10/13 09:07:57  UTC,22426,100muestras/segundo,cm/s2,0.1722,0.1589,0.1398,-0.001345,-0.000346,-0.003771
MAGD,-12.095,-77.072,2021/10/13,04:07:40,-9.25,-79.15,57,M5.1,389.8,2021/10/13 09:07:57  UTC,22426,100muestras/segundo,cm/s2,0.1722,0.1589,0.1398,-0.000071,-0.001786,-0.005641
MAGD,-12.095,-77.072,2021/10/13,04:07:40,-9.25,-79.15,57,M5.1,389.8,2021/10/13 09:07:57  UTC,22426,100muestras/segundo,cm/s2,0.1722,0.1589,0.1398,0.000328,-0.002476,-0.001674
MAGD,-12.095,-77.072,2021/10/13,04:07:40,-9.25,-79.15,57,M5.1,389.8,2021/10/13 09:07:57  UTC,22426,100muestras/segundo,cm/s2,0.1722,0.1589,0.1398,0.001451,-0.001435,-0.000768
MAGD,-12.095,-77.072,2021/10/13,04:07:40,-9.25,-79.15,57,M5.1,389.8,2021/10/13 09:07:57  UTC,22426,100muestras/segundo,cm/s2,0.1722,0.1589,0.1398,0.001605,-0.002120,-0.002157
MAGD,-12.095,-77.072,2021/10/13,04:07:40,-9.25,-79.15,57,M5.1,389.8,2021/10/13 09:07:57  UTC,22426,100muestras/segundo,cm/s2,0.1722,0.1589,0.1398,-0.001843,-0.003210,-0.004364
MAGD,-12.095,-77.072,2021/10/13,04:07:40,-9.25,-79.15,57,M5.1,389.8,2021/10/13 09:07:57  UTC,22426,100muestras/segundo,cm/s2,0.1722,0.1589,0.1398,0.000248,-0.004197,-0.002949
MAGD,-12.095,-77.072,2021/10/13,04:07:40,-9.25,-79.15,57,M5.1,389.8,2021/10/13 09:07:57  UTC,22426,100muestras/segundo,cm/s2,0.1722,0.1589,0.1398,0.000441,-0.001261,-0.002890
MAGD,-12.095,-77.072,2021/10/13,04:07:40,-9.25,-79.15,57,M5.1,389.8,2021/10/13 09:07:57  UTC,22426,100muestras/segundo,cm/s2,0.1722,0.1589,0.1398,-0.000529,-0.000206,-0.000729
