codigo,latitud_estacion,longitud_estacion,fecha_local,hora_local,latitud_sismo,longitud_sismo,profundidad,magnitud,dist_epicentral,tiempo_inicio,num_muestras,muestreo,unidades,pga_z,pga_n,pga_e,acel_z,acel_n,acel_e
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,0.000286,-0.011584,0.004664
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,-0.001634,0.006685,0.006890
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,-0.004213,0.004071,-0.008813
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,-0.014311,-0.010206,0.001571
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,0.016345,0.013154,0.003395
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,0.013894,-0.010488,0.000486
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,0.000188,-0.004158,0.006244
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,0.008353,0.010843,-0.008088
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,0.000237,-0.013660,-0.006164
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,0.009175,0.009515,0.013109
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,0.012915,0.004860,-0.002819
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,0.002944,-0.008073,-0.001936
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,0.002048,0.014341,0.009866
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,-0.008773,-0.005878,-0.001955
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,-0.006171,-0.010951,0.004686
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,0.002909,0.009652,-0.005730
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,0.008297,-0.010221,-0.013260
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,0.017374,0.004698,0.012428
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,0.012005,0.014488,-0.001743
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,0.006561,-0.014266,-0.009385
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,-0.001528,0.006012,0.008096
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,-0.011521,0.001596,-0.007323
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,-0.002576,-0.008814,0.002678
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,0.007454,0.013190,0.009151
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,-0.005118,-0.001815,-0.015719
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,-0.010692,-0.005568,0.003359
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,0.014552,0.008908,0.009186
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,0.015683,-0.005943,-0.007297
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,0.001098,-0.002429,0.001511
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,0.011077,0.008465,-0.002398
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,-0.014984,-0.002293,-0.007351
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,-0.020662,0.005829,0.001351
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,-0.011473,0.000652,-0.001410
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,-0.023307,-0.004011,-0.003440
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,-0.001685,0.006354,0.005531
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,-0.005131,-0.005388,0.003304
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,-0.000811,-0.004144,0.001216
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,0.016491,0.007678,0.000430
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,0.005677,0.000044,-0.009051
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,0.004746,0.006430,-0.001219
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,-0.005146,0.011079,0.005474
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,-0.006160,-0.012173,-0.001648
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,0.005600,-0.000864,-0.003775
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,0.005668,0.004446,-0.008613
MAYA,-12.060,-76.944,2021/11/28,01:32:29,-12.04,-77.54,65,M5.2,64.9,2021/11/28 06:32:35  UTC,6001,100muestras/segundo,cm/s2,31.7096,15.1116,13.5428,0.002010,-0.008775,-0.009471
